steps: 980
ax: -1.0963 | ay: 1.33592 | az: -0.00582886
ax: 0.468353 | ay: 0.335266 | az: -0.0629272
ax: 0.414413 | ay: 0.313583 | az: -0.0367432
ax: 0.31842 | ay: 0.263947 | az: -0.0539856
ax: 0.233017 | ay: 0.233047 | az: 0.00596619
ax: 0.0569 | ay: 0.183548 | az: 0.048172
ax: -0.183258 | ay: 0.0157318 | az: 0.060791
ax: -0.484329 | ay: -0.299423 | az: 0.0249786
ax: -0.775528 | ay: -0.644424 | az: 0.0745544
ax: -1.065 | ay: -0.96138 | az: 0.0820923
ax: -1.0992 | ay: -1.44879 | az: 0.0414124
ax: -1.03397 | ay: -1.71149 | az: -0.164719
ax: -0.708023 | ay: -1.96019 | az: -0.163406
ax: -0.547638 | ay: -2.14191 | az: 0.349716
ax: -0.38205 | ay: -1.65575 | az: 0.342239
ax: -0.747406 | ay: -0.913422 | az: -0.0583344
ax: 0.541061 | ay: 0.172928 | az: -0.239136
ax: -0.0566559 | ay: 0.862274 | az: 0.196014
ax: -0.407166 | ay: 0.349777 | az: 0.838272
ax: -0.576752 | ay: -0.357437 | az: 0.162735
ax: -0.426666 | ay: -0.232697 | az: 0.109634
ax: -0.151718 | ay: -0.231308 | az: -0.128143
ax: -0.166061 | ay: -0.512848 | az: -0.283737
ax: 0.0696716 | ay: -0.148849 | az: -0.000732422
ax: -0.0398865 | ay: -0.329742 | az: -0.131409
ax: -0.0114441 | ay: 0.124023 | az: 0.00218201
ax: -0.0851898 | ay: 0.00282288 | az: -0.0277863
ax: 0.00210571 | ay: -0.0128937 | az: -0.0328369
ax: -0.00790405 | ay: 0.057251 | az: -0.0594025
ax: -0.00758362 | ay: -0.0115051 | az: -0.0709686
ax: 0.0221405 | ay: -0.0143585 | az: -0.0405579
ax: 0.00460815 | ay: 0.00149536 | az: 0.0482025
ax: 0.00906372 | ay: 0.0166473 | az: 0.0214233
ax: 0.0236816 | ay: 0.00993347 | az: -0.0531464
ax: 0.0115051 | ay: 0.0611267 | az: -0.0603485
ax: 0.029892 | ay: 0.0408478 | az: -0.0455627
ax: 0.0107422 | ay: 0.0490875 | az: -0.0164032
ax: -0.0137329 | ay: 0.0980377 | az: -0.00337219
ax: -0.00550842 | ay: 0.0869141 | az: -0.0224762
ax: 0.0402069 | ay: 0.0756836 | az: -0.0792542
ax: 0.029129 | ay: 0.014679 | az: -0.0535583
ax: -0.0877533 | ay: -0.104324 | az: 0.0292664
ax: -0.12088 | ay: 0.0679626 | az: 0.069458
ax: -0.14859 | ay: 0.144318 | az: 0.0606689
ax: -0.190933 | ay: 0.0856323 | az: 0.025177
ax: -0.254578 | ay: 0.129349 | az: 0.0113678
ax: -0.305771 | ay: 0.111267 | az: -0.0204315
ax: -0.342712 | ay: 0.160355 | az: -0.0783844
ax: -0.510803 | ay: 0.218506 | az: -0.11911
ax: -0.755585 | ay: 0.218613 | az: -0.103287
time: 1
[20210805061110.799]
> sum ax: -10.5117 | sum ay: -7.85216 | sum az: 0.388336
>> avg ax: -0.210233 | avg ay: -0.157043 | avg az: 0.00776672
>>> vx: -1.03014 | vy: -0.769511 | vz: 0.0380569
>>> sx: -0.598011 | sy: -0.611873 | sz: 0.0554065
>>> a: 0.262528
>>> v: 1.28639
>>> s: 0.857366

steps: 981
ax: -1.06749 | ay: 0.794327 | az: -0.518021
ax: -1.07994 | ay: 1.38943 | az: -0.49147
ax: -1.08052 | ay: 0.967606 | az: 0.00482178
ax: -0.826843 | ay: 0.778305 | az: -0.110565
ax: -0.739319 | ay: 0.65773 | az: -0.377869
ax: -0.192093 | ay: 0.707489 | az: -0.953201
ax: 0.624237 | ay: 0.167831 | az: -0.194107
ax: 0.100494 | ay: -0.564178 | az: -0.287064
ax: 0.303741 | ay: 0.19545 | az: 0.0924683
ax: 0.782257 | ay: 0.581161 | az: -0.0683746
ax: 0.750214 | ay: 0.707779 | az: -0.0597229
ax: 0.803802 | ay: 0.655136 | az: -0.129456
ax: 0.796631 | ay: 0.466232 | az: -0.107376
ax: 0.694824 | ay: 0.293335 | az: -0.00338745
ax: 0.600708 | ay: 0.190308 | az: 0.0416412
ax: 0.546051 | ay: 0.121155 | az: -0.0275574
ax: 0.422165 | ay: 0.134048 | az: -0.0487518
ax: 0.203568 | ay: 0.193695 | az: -0.0486603
ax: -0.173447 | ay: -0.028656 | az: 0.100784
ax: -0.606873 | ay: -0.457916 | az: 0.154999
ax: -1.07645 | ay: -0.760803 | az: 0.0633545
ax: -1.14127 | ay: -1.29199 | az: -0.215363
ax: -1.19185 | ay: -2.06519 | az: -0.541595
ax: -0.969131 | ay: -2.20006 | az: -0.99826
ax: -0.900421 | ay: -2.63075 | az: -0.176422
ax: -0.553543 | ay: -2.43466 | az: 0.715561
ax: -1.0623 | ay: -1.72926 | az: -0.408554
ax: 0.636673 | ay: 0.144287 | az: -0.383331
ax: -0.105652 | ay: 1.4279 | az: 0.62233
ax: -0.750061 | ay: 0.156631 | az: 0.780594
ax: -1.00755 | ay: -0.749771 | az: 0.0340271
ax: -0.324661 | ay: -0.244659 | az: 0.107971
ax: -0.0240631 | ay: -0.848892 | az: -0.59996
ax: -0.38327 | ay: -0.639557 | az: -0.147995
ax: -0.0103302 | ay: -0.170166 | az: 0.00567627
ax: 0.13942 | ay: -0.220978 | az: -0.0621796
ax: -0.0833588 | ay: -0.301697 | az: 0.0354156
ax: -0.19046 | ay: -0.25061 | az: 0.13678
ax: -0.0877991 | ay: -0.100327 | az: 0.0331726
ax: -0.0212555 | ay: -0.0124969 | az: -0.059967
ax: 0.0358887 | ay: -0.013031 | az: -0.0618591
ax: 0.0313568 | ay: -0.098587 | az: -0.0189972
ax: 0.00759888 | ay: -0.0832825 | az: 0.12149
ax: 0.00718689 | ay: -0.0524139 | az: -0.0142822
ax: -0.0135803 | ay: -0.0367279 | az: -0.0435181
ax: -0.00445557 | ay: -0.0214081 | az: 0.00926208
ax: 0.0113373 | ay: -0.0662079 | az: -0.00392151
ax: -0.0401154 | ay: -0.0442352 | az: -0.017807
ax: -0.0229797 | ay: 0.018219 | az: 0.0383911
ax: -0.0197296 | ay: -0.0155029 | az: -0.0135651
time: 2
[20210805061111.800]
> sum ax: -8.25266 | sum ay: -7.38596 | sum az: -4.09442
>> avg ax: -0.165053 | avg ay: -0.147719 | avg az: -0.0818884
>>> vx: -0.80876 | vy: -0.723823 | vz: -0.401253
>>> sx: -0.460877 | sy: -0.0318275 | sz: -0.338335
>>> a: 0.236155
>>> v: 1.15716
>>> s: 0.572618

steps: 982
ax: -0.0461426 | ay: -0.0523987 | az: -0.0479279
ax: -0.0509491 | ay: 0.0419769 | az: -0.0065155
ax: -0.154343 | ay: -0.00144958 | az: 0.0158539
ax: -0.191574 | ay: 0.0439453 | az: 0.00323486
ax: -0.222656 | ay: 0.0661163 | az: 0.014328
ax: -0.409897 | ay: 0.0788422 | az: 0.0623932
ax: -0.339294 | ay: 0.138794 | az: 0.0114288
ax: -0.489777 | ay: 0.128036 | az: -0.116806
ax: -0.713425 | ay: 0.25708 | az: -0.208527
ax: -0.992813 | ay: 0.37764 | az: -0.248474
ax: -1.06924 | ay: 1.09448 | az: -0.512619
ax: -1.0379 | ay: 1.18271 | az: 0.0144196
ax: -0.972137 | ay: 0.688965 | az: -0.185669
ax: -0.682983 | ay: 0.855652 | az: -0.170959
ax: -0.337494 | ay: 0.59787 | az: -0.562378
ax: 0.604523 | ay: 0.40918 | az: -0.146896
ax: 0.208191 | ay: -0.39917 | az: -0.252594
ax: 0.148483 | ay: -0.0550079 | az: 0.059433
ax: 0.694321 | ay: 0.612793 | az: 0.00469971
ax: 0.721924 | ay: 0.888412 | az: -0.0463104
ax: 0.733536 | ay: 0.724792 | az: -0.0467682
ax: 0.71785 | ay: 0.47789 | az: -0.0635071
ax: 0.731247 | ay: 0.225464 | az: -0.105133
ax: 0.665253 | ay: 0.134567 | az: -0.152115
ax: 0.612839 | ay: 0.157043 | az: -0.135681
ax: 0.527939 | ay: 0.0847321 | az: -0.0943604
ax: 0.372833 | ay: 0.0446472 | az: -0.0467072
ax: 0.152908 | ay: -0.0489044 | az: -0.0452271
ax: -0.240616 | ay: -0.180557 | az: -0.00105286
ax: -0.705475 | ay: -0.444458 | az: 0.0428314
ax: -1.1055 | ay: -0.884644 | az: 0.133316
ax: -1.15736 | ay: -1.47887 | az: 0.238083
ax: -1.20367 | ay: -1.88727 | az: 0.179184
ax: -1.06256 | ay: -2.20076 | az: -0.252884
ax: -0.858963 | ay: -2.58148 | az: 0.464905
ax: -0.876892 | ay: -2.24229 | az: 0.436783
ax: -0.304932 | ay: -0.844818 | az: 0.126511
ax: -0.495529 | ay: 1.5304 | az: 0.426987
ax: -0.56955 | ay: 0.12001 | az: 0.698517
ax: -0.843277 | ay: -0.852295 | az: -0.115219
ax: -0.252182 | ay: -0.258911 | az: 0.134613
ax: -0.0182495 | ay: -0.785126 | az: -0.5634
ax: -0.305313 | ay: -0.78447 | az: 0.0867462
ax: -0.221039 | ay: -0.411667 | az: -0.0679626
ax: 0.0588989 | ay: -0.067688 | az: 0.135071
