ax: 0.103226 | ay: 0.604431 | az: -0.449234
ax: 0.704086 | ay: -0.14856 | az: -0.0574036
ax: 0.808731 | ay: -0.0840912 | az: -0.157547
ax: 0.831055 | ay: 0.0389709 | az: -0.170074
ax: 0.735031 | ay: 0.217407 | az: -0.183121
ax: 0.706818 | ay: 0.297623 | az: -0.248474
ax: 0.63887 | ay: 0.332977 | az: -0.337021
ax: 0.543213 | ay: 0.405289 | az: -0.424286
ax: 0.425705 | ay: 0.528336 | az: -0.478561
ax: 0.262924 | ay: 0.565292 | az: -0.465591
ax: 0.096283 | ay: 0.650452 | az: -0.446564
ax: -0.0376587 | ay: 0.715973 | az: -0.449219
ax: -0.0986328 | ay: 0.738358 | az: -0.430969
ax: -0.0478821 | ay: 0.736374 | az: -0.367355
ax: 0.0101166 | ay: 0.719894 | az: -0.326324
ax: 0.0325317 | ay: 0.690796 | az: -0.32811
ax: 0.0415192 | ay: 0.618561 | az: -0.306305
ax: 0.111053 | ay: 0.566818 | az: -0.274261
ax: 0.202286 | ay: 0.575714 | az: -0.182297
ax: 0.244446 | ay: 0.540649 | az: -0.14241
ax: 0.244141 | ay: 0.445908 | az: -0.101791
ax: 0.269287 | ay: 0.327759 | az: -0.0532379
ax: 0.296021 | ay: 0.22258 | az: -0.00860596
ax: 0.41893 | ay: 0.147247 | az: 0.02388
ax: 0.658127 | ay: 0.047348 | az: -0.0121307
ax: 0.708603 | ay: -0.0811462 | az: 0.00169373
ax: 0.562424 | ay: -0.230209 | az: 0.134521
ax: 0.526855 | ay: -0.331543 | az: 0.27507
ax: 0.505829 | ay: -0.43425 | az: 0.3694
ax: 0.513214 | ay: -0.502655 | az: 0.430801
ax: 0.61644 | ay: -0.596298 | az: 0.485413
ax: 0.657013 | ay: -0.747131 | az: 0.511551
ax: 0.505798 | ay: -0.819077 | az: 0.526993
ax: 0.306961 | ay: -0.807709 | az: 0.52713
ax: 0.107834 | ay: -0.731903 | az: 0.560837
ax: 0.0445099 | ay: -0.676987 | az: 0.536133
ax: 0.0308685 | ay: -0.629028 | az: 0.529938
ax: 0.0204468 | ay: -0.673828 | az: 0.557343
ax: -0.00119019 | ay: -0.728271 | az: 0.592468
ax: -0.019928 | ay: -0.800766 | az: 0.609497
ax: -0.0371552 | ay: -0.873322 | az: 0.597366
ax: -0.0464172 | ay: -0.894394 | az: 0.558792
ax: -0.0550995 | ay: -0.861496 | az: 0.561234
ax: -0.0380096 | ay: -0.771561 | az: 0.520035
ax: -0.00762939 | ay: -0.687073 | az: 0.482834
ax: 0.0426483 | ay: -0.622665 | az: 0.448837
ax: 0.108292 | ay: -0.565491 | az: 0.400009
ax: 0.180695 | ay: -0.487625 | az: 0.336563
ax: 0.217407 | ay: -0.410492 | az: 0.265839
ax: 0.25296 | ay: -0.305283 | az: 0.197144
1: [20200927202654.220]
> sum ax: 13.9036 | sum ay: -4.7681 | sum az: 4.64043
>> avg ax: 0.278072 | avg ay: -0.0953619 | avg az: 0.0928085
>>> vx: 2.7251 | vy: -0.934547 | vz: 0.909523
>>> sx: 1.72553 | sy: 0.792347 | sz: -0.461579
>>> a: 0.308271
>>> v: 3.02106
>>> s: 1.95406

ax: 0.393433 | ay: -0.244217 | az: 0.161011
ax: 0.590454 | ay: -0.234589 | az: 0.241684
ax: 0.523285 | ay: -0.11377 | az: 0.207611
ax: 0.540268 | ay: -0.064682 | az: 0.0799713
ax: 0.84079 | ay: -0.0652313 | az: -0.195206
ax: 1.06554 | ay: 0.0238953 | az: -0.325317
ax: 1.06679 | ay: 0.155334 | az: -0.339935
ax: 0.956985 | ay: 0.278534 | az: -0.306915
ax: 0.68454 | ay: 0.318283 | az: -0.326828
ax: 0.458359 | ay: 0.385162 | az: -0.361877
ax: 0.344147 | ay: 0.404373 | az: -0.421875
ax: 0.292801 | ay: 0.460114 | az: -0.444092
ax: 0.322205 | ay: 0.557587 | az: -0.514496
ax: 0.33313 | ay: 0.649414 | az: -0.55069
ax: 0.301544 | ay: 0.652618 | az: -0.531921
ax: 0.22049 | ay: 0.63739 | az: -0.47699
ax: 0.140198 | ay: 0.678268 | az: -0.451187
ax: 0.0493622 | ay: 0.77182 | az: -0.439575
ax: 0.0310516 | ay: 0.862228 | az: -0.451004
ax: 0.0661621 | ay: 0.796921 | az: -0.416183
ax: 0.138321 | ay: 0.709991 | az: -0.319504
ax: 0.16655 | ay: 0.705765 | az: -0.219589
ax: 0.12178 | ay: 0.788116 | az: -0.150955
ax: 0.120132 | ay: 0.72261 | az: -0.137253
ax: 0.144638 | ay: 0.608078 | az: -0.0992889
ax: 0.21196 | ay: 0.486847 | az: -0.0332489
ax: 0.486221 | ay: 0.350662 | az: 0.00787354
ax: 0.900177 | ay: 0.188446 | az: 0.000427246
ax: 0.85939 | ay: 0.0439758 | az: -0.00158691
ax: 0.502823 | ay: 0.0554199 | az: 0.067215
ax: 0.635803 | ay: 0.00297546 | az: 0.0931396
ax: 0.896942 | ay: -0.322281 | az: 0.205597
ax: 0.932327 | ay: -0.667282 | az: 0.43129
ax: 0.865906 | ay: -0.845108 | az: 0.597336
ax: 0.68103 | ay: -1.0834 | az: 0.476257
ax: 0.312958 | ay: -1.03333 | az: 0.376953
ax: 0.101822 | ay: -0.762238 | az: 0.345871
ax: 0.0540009 | ay: -0.568069 | az: 0.359756
ax: 0.0304718 | ay: -0.527802 | az: 0.38765
ax: 0.00827026 | ay: -0.451462 | az: 0.384079
ax: -0.000366211 | ay: -0.432343 | az: 0.38797
ax: -0.0544281 | ay: -0.521973 | az: 0.4366
ax: -0.0952606 | ay: -0.607956 | az: 0.4487
ax: -0.129135 | ay: -0.666458 | az: 0.453796
ax: -0.152527 | ay: -0.705734 | az: 0.460648
ax: -0.151947 | ay: -0.693802 | az: 0.510757
ax: -0.144379 | ay: -0.669159 | az: 0.546127
ax: -0.0743866 | ay: -0.662262 | az: 0.511154
ax: -0.0310669 | ay: -0.650543 | az: 0.450745
ax: 0.0321045 | ay: -0.605652 | az: 0.367889
2: [20200927202655.220]
> sum ax: 16.5917 | sum ay: -0.90451 | sum az: 1.48259
>> avg ax: 0.331833 | avg ay: -0.0180902 | avg az: 0.0296518
>>> vx: 3.25197 | vy: -0.177284 | vz: 0.290587
>>> sx: 2.19693 | sy: 0.935142 | sz: -0.624654
>>> a: 0.333646
>>> v: 3.26973
>>> s: 2.46803

