>>> vx: -0.545759 | vy: 2.82579 | vz: -0.336956
>>> sx: -0.389428 | sy: 0.866791 | sz: -0.205755
>>> a: 0.295681
>>> v: 2.89767
>>> s: 0.972273

ax: -0.0162964 | ay: 0.354507 | az: -0.0681915
ax: -0.276138 | ay: -0.0224304 | az: -0.1978
ax: -0.46701 | ay: -0.776642 | az: -0.338013
ax: -0.898727 | ay: -0.546036 | az: -0.491776
ax: -1.06766 | ay: -1.40648 | az: -0.564758
ax: -1.09944 | ay: -1.92163 | az: -0.500992
ax: -0.728851 | ay: -1.69745 | az: -0.567459
ax: -0.68837 | ay: -1.97455 | az: -0.646378
ax: -0.39978 | ay: -2.18321 | az: -0.332214
ax: -0.418625 | ay: -1.51289 | az: 0.135208
ax: -0.229431 | ay: 1.59081 | az: 0.220215
ax: -0.0800476 | ay: 0.933289 | az: 0.659622
ax: -0.677078 | ay: -0.759125 | az: 0.595261
ax: -0.420349 | ay: -0.355667 | az: 0.178864
ax: -0.179184 | ay: -0.309555 | az: -0.155548
ax: -0.0999908 | ay: -0.00152588 | az: -0.388824
ax: 0.0426025 | ay: -0.174637 | az: -0.0651398
ax: -0.0462494 | ay: -0.285126 | az: -0.0757751
ax: -0.140686 | ay: -0.211899 | az: -0.11998
ax: -0.013382 | ay: -0.0445709 | az: -0.0141907
ax: -0.0912476 | ay: -0.0284882 | az: -0.0352783
ax: -0.0112305 | ay: 0.102966 | az: -0.0362244
ax: 0.0293274 | ay: 0.0973663 | az: -0.00517273
ax: 0.00242615 | ay: 0.0671539 | az: -0.0635834
ax: 0.0142059 | ay: 0.0558472 | az: -0.0519867
ax: 0.0290222 | ay: 0.0886841 | az: 0.0100555
ax: 0.0255585 | ay: 0.0715637 | az: -0.0288849
ax: 0.0229034 | ay: 0.065567 | az: -0.000411987
ax: 0.0088501 | ay: 0.0580597 | az: -0.033905
ax: 0.0355682 | ay: 0.0597687 | az: -0.0491333
ax: -0.0137329 | ay: 0.0889435 | az: 0.00570679
ax: -0.0220184 | ay: 0.0658264 | az: 0.0230408
ax: -0.0233154 | ay: 0.0602875 | az: 0.00166321
ax: -0.0147247 | ay: 0.0943298 | az: 0.00619507
ax: -0.0501251 | ay: 0.0462494 | az: -0.0156097
ax: -0.0672913 | ay: 0.069458 | az: 0.0235748
ax: -0.0751038 | ay: 0.0723114 | az: 0.0307465
ax: -0.093689 | ay: 0.120789 | az: 0.0537262
ax: -0.132584 | ay: 0.150253 | az: 0.0485077
ax: -0.203751 | ay: 0.146957 | az: 0.0748901
ax: -0.241333 | ay: 0.138489 | az: 0.119629
ax: -0.267792 | ay: 0.155289 | az: 0.102783
ax: -0.36377 | ay: 0.24968 | az: 0.0361176
ax: -0.6147 | ay: 0.390213 | az: -0.0614166
ax: -0.947037 | ay: 0.441132 | az: -0.177551
ax: -1.09618 | ay: 1.01617 | az: -0.308044
ax: -0.965744 | ay: 1.65779 | az: 0.198227
ax: -0.83786 | ay: 0.832764 | az: 0.3815
ax: -0.637985 | ay: 0.840942 | az: -0.114532
ax: -0.321091 | ay: 0.789429 | az: -0.416626
time: 3
[20201124141324.738]
> sum ax: -14.8291 | sum ay: -3.23903 | sum az: -3.01987
>> avg ax: -0.296583 | avg ay: -0.0647806 | avg az: -0.0603973
>>> vx: -2.90651 | vy: -0.63485 | vz: -0.591894
>>> sx: -1.49426 | sy: -1.6897 | sz: -0.510092
>>> a: 0.309525
>>> v: 3.03334
>>> s: 2.3126

ax: 0.0746307 | ay: 0.550003 | az: -0.0867615
ax: 0.0144958 | ay: 0.396759 | az: -0.0240479
ax: 0.225723 | ay: 0.0891724 | az: -0.127167
ax: 0.379898 | ay: 0.30249 | az: 0.155396
ax: 0.549942 | ay: 0.704468 | az: 0.203751
ax: 0.623444 | ay: 0.852219 | az: 0.195847
ax: 0.606827 | ay: 0.730865 | az: 0.0919189
ax: 0.575653 | ay: 0.641693 | az: 0.0671082
