>>> sx: 1.29319 | sy: -1.03743 | sz: -0.279049
>>> a: 0.32197
>>> v: 3.1553
>>> s: 1.68121

ax: 0.982071 | ay: 2.02472 | az: -0.428619
ax: 0.928467 | ay: 1.47336 | az: 0.195114
ax: -0.0773773 | ay: 0.661728 | az: -0.0875244
ax: 0.245407 | ay: 0.764206 | az: -0.0318604
ax: 0.0762482 | ay: 0.047287 | az: -0.0782013
ax: 0.0408325 | ay: -0.0927429 | az: 0.0623474
ax: 0.0862427 | ay: -0.149994 | az: 0.0730896
ax: -0.022171 | ay: -0.210159 | az: -0.184586
ax: -0.0643921 | ay: -0.153244 | az: -0.168747
ax: -0.0956879 | ay: -0.0299683 | az: -0.34581
ax: -0.024231 | ay: -0.0355377 | az: -0.11113
ax: 0.0590363 | ay: -0.0608978 | az: 0.00953674
ax: 0.100357 | ay: -0.106781 | az: 0.134079
ax: 0.0500488 | ay: -0.13237 | az: 0.0694275
ax: 0.0471802 | ay: -0.185928 | az: -0.0578613
ax: 0.136993 | ay: -0.148712 | az: -0.119415
ax: 0.203583 | ay: -0.183029 | az: -0.131119
ax: 0.266571 | ay: -0.320847 | az: 0.0214691
ax: 0.530762 | ay: -0.449097 | az: 0.0198212
ax: 0.67601 | ay: -0.485855 | az: 0.151978
ax: 0.753738 | ay: -0.615799 | az: 0.211823
ax: 0.830429 | ay: -0.820999 | az: -0.101852
ax: 1.06284 | ay: -1.03308 | az: -0.26004
ax: 1.08128 | ay: -2.38109 | az: -0.701889
ax: 1.10728 | ay: -1.40709 | az: -0.389725
ax: 1.14653 | ay: -1.74002 | az: -0.667084
ax: 0.434158 | ay: -1.16682 | az: -0.633896
ax: 0.578827 | ay: 0.739609 | az: -0.0587311
ax: 0.386566 | ay: -0.270813 | az: -0.252121
ax: -0.350891 | ay: -1.03633 | az: -0.109222
ax: -0.800903 | ay: -1.03139 | az: 0.1474
ax: -0.630661 | ay: -0.790741 | az: 0.0557404
ax: -0.650955 | ay: -0.564468 | az: -0.1241
ax: -0.51088 | ay: -0.312164 | az: -0.105301
ax: -0.439087 | ay: -0.211899 | az: 0.0307159
