>>> sx: 1.6334 | sy: 1.15031 | sz: 1.00194
>>> a: 0.340706
>>> v: 3.33892
>>> s: 2.23497

ax: -0.259308 | ay: -0.128342 | az: -0.800568
ax: -0.0801086 | ay: -0.00300598 | az: -0.327286
ax: -0.583054 | ay: 0.519913 | az: 0.12291
ax: -0.349274 | ay: -0.409195 | az: -0.403641
ax: -0.794113 | ay: -0.321381 | az: -0.600555
ax: -0.903671 | ay: -0.562851 | az: -0.600861
ax: -0.872177 | ay: -0.462555 | az: -0.533035
ax: -0.798584 | ay: -0.334061 | az: -0.379379
ax: -0.729416 | ay: -0.204773 | az: -0.294983
ax: -0.654037 | ay: -0.100021 | az: -0.266922
ax: -0.55484 | ay: -0.0449677 | az: -0.245575
ax: -0.407883 | ay: -0.00790405 | az: -0.16655
ax: -0.161331 | ay: 0.00308228 | az: -0.118851
ax: 0.248962 | ay: 0.180649 | az: -0.102646
ax: 0.798935 | ay: 0.310364 | az: 0.197174
ax: 1.13872 | ay: 0.583969 | az: 0.499954
ax: 1.20566 | ay: 1.28412 | az: 0.804016
ax: 1.26369 | ay: 1.7636 | az: 1.40236
ax: 1.2988 | ay: 1.95248 | az: 1.73929
ax: 1.00739 | ay: 1.45955 | az: 2.32149
ax: 0.840759 | ay: 1.24767 | az: 1.89362
ax: 0.897568 | ay: 1.23209 | az: 1.29904
ax: -0.0702057 | ay: -1.58626 | az: 0.463806
ax: -0.0152893 | ay: -1.00209 | az: -1.06964
ax: 0.365997 | ay: -0.643127 | az: 0.503387
ax: 0.665558 | ay: -0.0921173 | az: -0.388275
ax: 0.77916 | ay: 0.383316 | az: 0.669067
ax: 0.211014 | ay: 0.52652 | az: 0.341614
ax: 0.423706 | ay: 0.249283 | az: 0.244919
ax: 0.0821381 | ay: 0.33403 | az: 0.205093
ax: -0.043335 | ay: 0.0962372 | az: 0.12883
ax: 0.115356 | ay: 0.0579071 | az: 0.145584
ax: 0.0474854 | ay: 0.150024 | az: 0.0640869
ax: 0.0183105 | ay: 0.142349 | az: -0.00697327
ax: 0.0353699 | ay: 0.141586 | az: -0.0213013
ax: -0.0117493 | ay: 0.0190735 | az: 0.0864868
ax: 0.00367737 | ay: 0.029953 | az: 0.106735
ax: 0.0122986 | ay: 0.0774689 | az: 0.0934296
ax: 0.0248566 | ay: 0.115784 | az: 0.0278625
ax: 0.0395966 | ay: 0.0481567 | az: 0.0334167
ax: 0.0260315 | ay: -0.0228424 | az: 0.033432
ax: 0.0380402 | ay: -0.0379333 | az: 0.0106201
ax: 0.0664368 | ay: -0.0241699 | az: -0.00643921
ax: 0.0653839 | ay: 0.014328 | az: -0.0014801
ax: 0.0467377 | ay: 0.0286102 | az: 0.00907898
ax: 0.0580139 | ay: 0.0155945 | az: -0.0277863
ax: 0.0834961 | ay: -0.0563812 | az: 0.00212097
ax: 0.172623 | ay: -0.0708313 | az: -0.0469208
ax: 0.251663 | ay: -0.0888824 | az: -0.0430603
ax: 0.307861 | ay: -0.102341 | az: -0.0172729
time: 3
[20210209183836.276]
> sum ax: 5.35291 | sum ay: 6.66167 | sum az: 6.97942
>> avg ax: 0.107058 | avg ay: 0.133233 | avg az: 0.139588
>>> vx: 1.04917 | vy: 1.30569 | vz: 1.36797
>>> sx: 0.147813 | sy: 0.732662 | sz: 0.551433
>>> a: 0.220675
>>> v: 2.16262
>>> s: 0.928827

ax: 0.390411 | ay: -0.150436 | az: -0.0236359
ax: 0.428848 | ay: -0.154419 | az: -0.190659
ax: 0.650085 | ay: -0.0989227 | az: -0.32196
ax: 1.01071 | ay: -0.0931702 | az: -0.404419
ax: 1.04767 | ay: -0.376312 | az: -1.46892
ax: 1.05966 | ay: -1.21719 | az: -1.29353
ax: 0.905319 | ay: -0.776291 | az: -0.342377
ax: 0.875031 | ay: 0.0388336 | az: -0.774017
ax: 0.320633 | ay: -0.129211 | az: -1.37885
ax: -0.831177 | ay: 0.0714722 | az: -0.326157
ax: -0.0788269 | ay: 0.281662 | az: -0.107697
ax: -0.543625 | ay: -0.221527 | az: -0.0626831
ax: -0.543762 | ay: -0.322174 | az: -0.525497
ax: -1.05899 | ay: -0.319199 | az: -0.613647
ax: -0.969894 | ay: -0.560745 | az: -0.591644
ax: -0.911804 | ay: -0.371567 | az: -0.532608
ax: -0.842422 | ay: -0.304062 | az: -0.3423
ax: -0.732468 | ay: -0.0928955 | az: -0.21521
ax: -0.629974 | ay: -0.0484009 | az: -0.163895
ax: -0.513809 | ay: -0.046463 | az: -0.127975
ax: -0.306854 | ay: -0.0521851 | az: -0.105881
ax: 0.131226 | ay: 0.108017 | az: -0.053833
ax: 0.735031 | ay: 0.290176 | az: 0.15744
ax: 1.14651 | ay: 0.308853 | az: 0.634354
ax: 1.21684 | ay: 1.25526 | az: 1.03818
ax: 1.27888 | ay: 1.69374 | az: 1.52573
ax: 1.31709 | ay: 1.97298 | az: 1.74158
ax: 1.30263 | ay: 1.53372 | az: 2.41328
ax: 0.888901 | ay: 0.949432 | az: 2.29166
ax: 1.0347 | ay: 0.229218 | az: 0.419281
ax: -1.09404 | ay: -0.257538 | az: -1.30203
ax: 0.31633 | ay: -0.602341 | az: 0.333221
ax: 0.752792 | ay: -1.23271 | az: -0.476578
ax: 1.09897 | ay: 0.740631 | az: 0.765259
ax: 0.198685 | ay: 0.330383 | az: 0.196487
ax: 0.535843 | ay: 0.501022 | az: 0.599884
ax: 0.121155 | ay: 0.35022 | az: 0.30867
ax: 0.119034 | ay: 0.255203 | az: 0.0941467
ax: -0.013916 | ay: 0.0150604 | az: 0.114029
ax: 0.0592346 | ay: 0.2202 | az: 0.090271
ax: 0.0179443 | ay: 0.0171661 | az: 0.0680389
ax: 0.0767517 | ay: 0.114532 | az: -0.0430908
ax: 0.00708008 | ay: 0.0211639 | az: -0.0022583
ax: 0.00360107 | ay: -0.0167389 | az: 0.0819092
ax: 0.0291748 | ay: 0.0535278 | az: 0.0641174
ax: -0.00747681 | ay: 0.0501251 | az: 0.0216064
ax: 0.0514221 | ay: 0.0436096 | az: 0.0090332
ax: 0.0598907 | ay: 0.0555267 | az: 0.0635834
ax: 0.018158 | ay: 0.0223999 | az: 0.0566864
ax: 0.0327454 | ay: -0.0169678 | az: 0.0274658
time: 4
[20210209183837.271]
> sum ax: 10.16 | sum ay: 4.06267 | sum az: 1.32455
>> avg ax: 0.203199 | avg ay: 0.0812534 | avg az: 0.0264911
>>> vx: 1.99135 | vy: 0.796283 | vz: 0.259613
>>> sx: 1.08776 | sy: -0.00520285 | sz: -0.638089
>>> a: 0.22044
>>> v: 2.16031
>>> s: 1.26112

ax: 0.0722504 | ay: -0.0588531 | az: 0.0193787
ax: 0.105133 | ay: -0.0107117 | az: 0.0581055
ax: 0.082962 | ay: 0.00366211 | az: 0.05159
ax: 0.0592346 | ay: -0.045578 | az: 0.0360718
ax: 0.135712 | ay: -0.0501251 | az: -0.022934
ax: 0.215073 | ay: -0.0797577 | az: -0.0818329
ax: 0.292755 | ay: -0.122452 | az: -0.0866241
ax: 0.341461 | ay: -0.172165 | az: -0.0765839
ax: 0.367004 | ay: -0.175934 | az: -0.0841217
ax: 0.496735 | ay: -0.220947 | az: -0.131195
ax: 0.766098 | ay: -0.131927 | az: -0.23909
ax: 1.04578 | ay: -0.645889 | az: -1.21547
ax: 1.05725 | ay: -1.06165 | az: -1.21745
ax: 1.0638 | ay: -0.801163 | az: -0.703033
ax: 0.659088 | ay: -0.0352478 | az: -0.560913
ax: 0.733154 | ay: -0.284012 | az: -1.13362
ax: -0.63504 | ay: -0.186005 | az: -0.798004
ax: -0.311798 | ay: 0.315765 | az: 0.0679779
ax: -0.550919 | ay: -0.219238 | az: 0.0200043
ax: -0.58284 | ay: -0.360001 | az: -0.611435
ax: -1.05046 | ay: -0.218445 | az: -0.644897
ax: -0.919037 | ay: -0.401855 | az: -0.616684
ax: -0.916504 | ay: -0.272263 | az: -0.486206
ax: -0.79509 | ay: -0.203293 | az: -0.295731
ax: -0.69812 | ay: -0.152145 | az: -0.132874
ax: -0.59758 | ay: -0.125931 | az: -0.134918
ax: -0.44606 | ay: -0.0909119 | az: -0.126343
ax: -0.219009 | ay: -0.00495911 | az: -0.123734
ax: 0.232529 | ay: 0.0936127 | az: -0.0260773
ax: 0.743164 | ay: 0.128006 | az: 0.374023
ax: 1.14708 | ay: 0.582779 | az: 0.635101
ax: 1.21437 | ay: 1.18625 | az: 0.893219
ax: 1.27353 | ay: 1.9868 | az: 1.30844
ax: 1.30939 | ay: 2.28244 | az: 1.48102
ax: 1.12059 | ay: 1.74287 | az: 2.29662
ax: 1.00388 | ay: 1.42799 | az: 1.8244
ax: 0.584366 | ay: 1.07333 | az: 1.19568
ax: -0.0685577 | ay: -0.294434 | az: -1.15334
ax: 0.621017 | ay: -1.33282 | az: 0.851089
ax: 0.831924 | ay: -0.00286865 | az: -0.00563049
