>>> sx: -0.209282 | sy: 0.637965 | sz: -0.277681
>>> a: 0.213218
>>> v: 1.04477
>>> s: 0.726571

ax: -0.469543 | ay: -0.602966 | az: -0.0392303
ax: 0.0842896 | ay: -0.119751 | az: -0.33403
ax: -0.0862122 | ay: -0.50177 | az: -0.149475
ax: -0.073761 | ay: -0.0650024 | az: 0.16507
ax: -0.0227203 | ay: 0.116074 | az: 0.0197449
ax: -0.0518494 | ay: 0.276321 | az: 0.0562134
ax: -0.0298462 | ay: 0.218231 | az: -0.108139
ax: 0.0421295 | ay: -0.0770721 | az: -0.166855
ax: 0.0749054 | ay: 0.11763 | az: -0.120071
ax: 0.0699158 | ay: 0.18132 | az: -0.0811615
ax: 0.0167236 | ay: 0.209167 | az: 0.056839
ax: -0.0266113 | ay: 0.0205383 | az: 0.129776
ax: -0.00260925 | ay: -0.00595093 | az: 0.0300903
ax: 0.0227203 | ay: 0.0177612 | az: -0.0519104
ax: 0.0149689 | ay: 0.236389 | az: -0.0333099
ax: -0.0146179 | ay: 0.161362 | az: -0.0707397
ax: -0.0220795 | ay: 0.0772858 | az: -0.106964
ax: -0.04039 | ay: 0.0285797 | az: -0.118561
ax: -0.00723267 | ay: 0.112564 | az: -0.0663605
ax: -0.0831451 | ay: 0.188004 | az: 0.0248718
ax: -0.0406189 | ay: 0.205368 | az: 0.00192261
ax: -0.0450745 | ay: 0.354507 | az: -0.11409
ax: -0.083252 | ay: 0.236481 | az: -0.207108
ax: -0.186066 | ay: 0.1707 | az: -0.138092
ax: -0.20871 | ay: 0.119461 | az: -0.159119
ax: -0.375061 | ay: 0.324539 | az: -0.186172
ax: -0.82048 | ay: 0.523651 | az: -0.259705
ax: -1.04269 | ay: 0.583649 | az: -0.24791
ax: -1.05574 | ay: 0.627655 | az: -0.133545
ax: -0.891556 | ay: 1.6145 | az: -0.26358
ax: -0.576324 | ay: 1.56448 | az: -0.885361
ax: -0.0294495 | ay: 1.1132 | az: -0.736298
ax: 0.204178 | ay: -0.279358 | az: -0.536362
ax: 0.370453 | ay: 0.298233 | az: -0.256668
ax: 0.582352 | ay: 1.33823 | az: 0.125259
ax: 0.722015 | ay: 1.46625 | az: -0.0835419
ax: 0.771027 | ay: 1.13318 | az: -0.250061
ax: 0.533447 | ay: 0.965424 | az: -0.0910645
ax: 0.462784 | ay: 0.720383 | az: 0.0641479
ax: 0.401962 | ay: 0.57959 | az: 0.0469971
ax: 0.264099 | ay: 0.46106 | az: 0.00866699
ax: 0.119736 | ay: 0.38588 | az: -0.0102692
ax: -0.312805 | ay: 0.341415 | az: 0.287827
ax: -0.812622 | ay: 0.104706 | az: 0.330795
ax: -1.04002 | ay: -0.503464 | az: 0.246964
ax: -1.0737 | ay: -0.792923 | az: 0.377136
ax: -1.11134 | ay: -1.71761 | az: 0.072876
ax: -1.02258 | ay: -2.12668 | az: 0.076767
ax: -0.860535 | ay: -2.46747 | az: 0.914841
ax: -0.666214 | ay: -2.05415 | az: 0.567459
time: 3
[20210614162729.481]
> sum ax: -8.42776 | sum ay: 5.87961 | sum az: -2.40149
>> avg ax: -0.168555 | avg ay: 0.117592 | avg az: -0.0480298
>>> vx: -0.825921 | vy: 0.576202 | vz: -0.235346
>>> sx: -0.232966 | sy: 0.482707 | sz: -0.235339
>>> a: 0.211058
>>> v: 1.03419
>>> s: 0.585375

ax: -0.45755 | ay: -1.73543 | az: 0.0345764
ax: 0.209259 | ay: 1.60759 | az: -1.09592
ax: -0.789902 | ay: 0.129501 | az: 0.82103
ax: -0.669052 | ay: -0.972519 | az: 0.230667
ax: -0.510895 | ay: -0.185532 | az: 0.276138
ax: -0.200897 | ay: -0.774063 | az: -0.104431
ax: -0.323883 | ay: -0.308136 | az: -0.0636597
ax: -0.0484772 | ay: -0.329605 | az: 0.0309448
ax: 0.00196838 | ay: -0.210724 | az: -0.171951
ax: 0.0274506 | ay: -0.00186157 | az: -0.0650787
ax: -0.0155487 | ay: 0.199188 | az: 0.00746155
ax: -0.0322113 | ay: 0.142395 | az: -0.0508423
ax: 0.046875 | ay: 0.184525 | az: 0.000778198
ax: 0.0586243 | ay: 0.15921 | az: -0.0658875
ax: 0.0118866 | ay: 0.130264 | az: -0.00750732
ax: 0.0329285 | ay: 0.0299072 | az: -0.0563965
ax: 0.0233002 | ay: 0.0244904 | az: -0.0535889
ax: -0.020462 | ay: 0.0635986 | az: -0.064209
ax: 0.0207977 | ay: 0.0136719 | az: -0.076004
ax: -0.0088501 | ay: 0.0384216 | az: -0.0477295
ax: -0.0200195 | ay: 0.0618134 | az: -0.0905457
ax: -0.015625 | ay: 0.0617523 | az: -0.0774384
ax: -0.0457153 | ay: 0.115524 | az: -0.0738831
ax: -0.0245361 | ay: 0.185059 | az: -0.124405
ax: -0.0487061 | ay: 0.289642 | az: -0.117859
ax: -0.0580597 | ay: 0.11998 | az: -0.156281
ax: -0.106705 | ay: 0.155014 | az: -0.109833
ax: -0.137619 | ay: 0.176102 | az: -0.0984955
ax: -0.184875 | ay: 0.227051 | az: -0.0689545
ax: -0.273346 | ay: 0.236618 | az: -0.0518799
ax: -0.385635 | ay: 0.330368 | az: -0.000808716
ax: -0.418457 | ay: 0.41275 | az: -0.0329895
ax: -0.583496 | ay: 0.544098 | az: -0.100693
ax: -1.00449 | ay: 0.520798 | az: 0.022934
ax: -1.06052 | ay: 1.16698 | az: -0.556
ax: -0.80957 | ay: 1.55814 | az: -0.491608
ax: -0.552368 | ay: 1.32678 | az: -0.836746
ax: -0.22287 | ay: 0.412674 | az: -0.324768
ax: 0.140213 | ay: -0.758453 | az: -0.875854
ax: 0.358215 | ay: 0.361069 | az: -0.234238
ax: 0.597626 | ay: 0.95575 | az: 0.0832062
ax: 0.819748 | ay: 1.37135 | az: -0.103561
ax: 0.784012 | ay: 1.15433 | az: -0.0676575
ax: 0.631393 | ay: 0.81279 | az: -0.0572815
ax: 0.53891 | ay: 0.65593 | az: -0.00816345
ax: 0.438599 | ay: 0.577515 | az: 0.0245972
ax: 0.281281 | ay: 0.450317 | az: -0.119766
ax: 0.166428 | ay: 0.512024 | az: -0.0499268
ax: -0.21759 | ay: 0.367111 | az: 0.127213
ax: -0.448013 | ay: 0.275879 | az: 0.352386
time: 4
[20210614162730.472]
> sum ax: -4.50642 | sum ay: 12.8416 | sum az: -4.74091
>> avg ax: -0.0901285 | avg ay: 0.256833 | avg az: -0.0948181
>>> vx: -0.441629 | vy: 1.25848 | vz: -0.464609
>>> sx: -0.380022 | sy: 0.178928 | sz: -0.181272
>>> a: 0.28823
>>> v: 1.41233
>>> s: 0.457483

ax: -0.69165 | ay: -0.284424 | az: 0.0991058
ax: -1.03354 | ay: -0.162872 | az: 0.16391
ax: -1.06265 | ay: -0.735489 | az: 0.0891724
ax: -0.9319 | ay: -1.10324 | az: -0.0959778
ax: -0.893539 | ay: -1.36647 | az: -0.256577
ax: -1.14278 | ay: -2.41446 | az: 0.281815
ax: -0.320312 | ay: -2.04211 | az: 0.635818
ax: -0.597397 | ay: -1.30452 | az: 0.349213
ax: -0.228455 | ay: -1.32657 | az: 0.107925
ax: -0.119507 | ay: 1.50616 | az: -0.279709
ax: -0.666489 | ay: 0.593201 | az: 0.805527
ax: -1.00121 | ay: -1.31329 | az: 0.0940552
ax: -0.481384 | ay: -0.113602 | az: 0.563934
ax: -0.156921 | ay: -0.581757 | az: -0.348236
ax: -0.230942 | ay: -0.0702515 | az: -0.372269
ax: 0.0768433 | ay: -0.294434 | az: -0.222534
ax: -0.12294 | ay: -0.5047 | az: -0.10936
ax: -0.0758667 | ay: 0.240707 | az: 0.233887
ax: -0.012207 | ay: 0.119308 | az: 0.00112915
ax: -0.00338745 | ay: 0.0731964 | az: 0.0438538
ax: 0.0673218 | ay: -0.0354462 | az: -0.083725
ax: 0.0248108 | ay: 0.11615 | az: -0.0620728
ax: 0.0226135 | ay: 0.173233 | az: -0.0730743
ax: 0.0241547 | ay: 0.0478973 | az: -0.0325775
ax: -0.00300598 | ay: 0.0522766 | az: -0.0282898
ax: 0.0238953 | ay: 0.0386963 | az: -0.0726166
ax: 0.00738525 | ay: 0.0346222 | az: -0.137833
ax: 0.0206299 | ay: 0.0646667 | az: -0.251343
ax: 0.0337524 | ay: 0.0426483 | az: -0.358002
ax: 0.061264 | ay: 0.112823 | az: -0.355576
ax: -0.0284729 | ay: 0.0233459 | az: -0.143204
ax: -0.039444 | ay: 0.101013 | az: -0.00704956
ax: 0.021347 | ay: 0.222443 | az: 0.0782776
ax: 0.0440063 | ay: 0.247818 | az: 0.054657
ax: -0.13681 | ay: -0.104401 | az: 0.0533142
ax: -0.246902 | ay: -0.104675 | az: 0.0391388
ax: -0.18042 | ay: 0.227097 | az: 0.156052
ax: -0.157761 | ay: 0.404587 | az: 0.0944824
ax: -0.220169 | ay: 0.373871 | az: 0.0826111
ax: -0.365204 | ay: 0.321198 | az: -0.035553
ax: -0.512848 | ay: 0.316818 | az: -0.0773621
ax: -0.624069 | ay: 0.439941 | az: -0.278946
ax: -1.00706 | ay: 0.553009 | az: -0.402328
ax: -1.06931 | ay: 0.806534 | az: -0.751221
ax: -1.02304 | ay: 1.80197 | az: -1.15329
ax: -0.708191 | ay: 1.04662 | az: -0.19313
ax: -0.198959 | ay: 0.742538 | az: -0.187286
ax: 0.241394 | ay: -0.481934 | az: -0.700211
ax: 0.446732 | ay: 0.497147 | az: -0.215698
ax: 0.764511 | ay: 0.722977 | az: -0.262268
time: 5
[20210614162731.485]
> sum ax: -14.4141 | sum ay: -2.28014 | sum az: -3.51944
>> avg ax: -0.288282 | avg ay: -0.0456027 | avg az: -0.0703888
>>> vx: -1.41258 | vy: -0.223453 | vz: -0.344905
>>> sx: -0.928875 | sy: -0.810198 | sz: 0.0504003
>>> a: 0.300234
>>> v: 1.47115
>>> s: 1.2336

ax: 0.876404 | ay: 1.41325 | az: -0.159546
ax: 0.74614 | ay: 1.20677 | az: -0.0680084
ax: 0.641342 | ay: 0.843185 | az: -0.0608521
ax: 0.572861 | ay: 0.573578 | az: -0.016922
ax: 0.533432 | ay: 0.546371 | az: -0.0429688
ax: 0.278595 | ay: 0.533493 | az: -0.0819397
ax: 0.0578308 | ay: 0.481323 | az: -0.0146027
ax: -0.294479 | ay: 0.3862 | az: 0.0493011
ax: -0.857895 | ay: 0.32901 | az: 0.286179
ax: -1.05769 | ay: -0.434036 | az: 0.272568
ax: -1.10434 | ay: -1.25642 | az: 0.162064
