>>> sx: -0.270811 | sy: 0.654915 | sz: -0.259881
>>> a: 0.182005
>>> v: 0.891826
>>> s: 0.754845

ax: 0.059494 | ay: 0.302612 | az: -0.0803375
ax: 0.00868225 | ay: 0.152893 | az: -0.183105
ax: 0.043335 | ay: 0.213806 | az: -0.0779114
ax: -0.000335693 | ay: 0.201874 | az: 0.0641785
ax: -0.0796661 | ay: 0.160309 | az: -0.0312195
ax: -0.0335083 | ay: 0.191757 | az: 0.00540161
ax: 0.0371704 | ay: 0.142242 | az: -0.0907745
ax: -0.0744629 | ay: 0.119965 | az: -0.0585632
ax: -0.0288544 | ay: 0.126648 | az: -0.0646973
ax: -0.0569305 | ay: 0.180786 | az: -0.0613708
ax: -0.0972595 | ay: 0.212723 | az: -0.0588074
ax: -0.11937 | ay: 0.160172 | az: -0.117752
ax: -0.0578156 | ay: 0.249252 | az: -0.0623474
ax: -0.104828 | ay: 0.257156 | az: -0.0571594
ax: -0.156403 | ay: 0.270828 | az: -0.0459595
ax: -0.197205 | ay: 0.23703 | az: -0.119965
ax: -0.301941 | ay: 0.245758 | az: -0.33728
ax: -0.491455 | ay: 0.277084 | az: -0.38501
ax: -0.698303 | ay: 0.359222 | az: -0.31189
ax: -0.599258 | ay: 0.461838 | az: -0.182693
ax: -0.592133 | ay: 0.761002 | az: -0.241974
ax: -0.712433 | ay: 0.872574 | az: -0.361038
ax: -0.269958 | ay: 0.725372 | az: -0.521133
ax: -0.218491 | ay: 0.283203 | az: -0.451965
ax: -0.537155 | ay: 0.0593719 | az: -0.15181
ax: 0.548706 | ay: 0.291626 | az: -0.478073
ax: 1.87868 | ay: 2.18996 | az: -1.19461
ax: 0.456116 | ay: 1.62047 | az: -0.810883
ax: 0.800476 | ay: 1.39679 | az: -0.481247
ax: -0.255066 | ay: 0.884628 | az: -0.251587
ax: 0.361572 | ay: 0.997772 | az: -0.30896
ax: -0.15329 | ay: 0.959854 | az: -0.308075
ax: -0.630814 | ay: 0.556625 | az: -0.237778
ax: -0.900284 | ay: 0.123871 | az: -0.283188
ax: -0.826721 | ay: 0.0323639 | az: 0.00691223
ax: -0.793869 | ay: -0.327362 | az: 0.0489044
ax: -0.368866 | ay: -0.600723 | az: 0.104843
ax: -0.750504 | ay: -0.49968 | az: 0.226959
ax: -0.868622 | ay: -0.825821 | az: 0.603271
ax: -0.597 | ay: -1.68381 | az: 1.05713
ax: -0.17717 | ay: -1.8186 | az: 0.84729
ax: 0.04422 | ay: -1.32048 | az: 0.543762
ax: 0.345322 | ay: -1.50882 | az: 0.369308
ax: 0.136978 | ay: -1.65614 | az: 0.324707
ax: 0.0929565 | ay: -0.895081 | az: 0.249344
ax: -0.269089 | ay: -0.641449 | az: -0.772385
ax: -1.01965 | ay: -0.365662 | az: 1.22017
ax: 0.119537 | ay: 0.754318 | az: 0.617081
ax: -0.368896 | ay: 0.107269 | az: 0.265228
ax: 0.281326 | ay: -0.459564 | az: -0.860046
time: 3
[20210614164141.646]
> sum ax: -8.19304 | sum ay: 4.53783 | sum az: -3.48711
>> avg ax: -0.163861 | avg ay: 0.0907565 | avg az: -0.0697421
>>> vx: -0.802918 | vy: 0.444707 | vz: -0.341736
>>> sx: -0.324739 | sy: 0.671335 | sz: -0.356192
>>> a: 0.199878
>>> v: 0.9794
>>> s: 0.826449

ax: 0.266754 | ay: 0.0753937 | az: -0.640945
ax: 0.0195618 | ay: 0.103165 | az: -0.0500946
ax: -0.116013 | ay: 0.482803 | az: 0.15065
ax: 0.0589294 | ay: 0.329468 | az: -0.0226746
ax: 0.113297 | ay: 0.161545 | az: -0.104904
ax: 0.020401 | ay: 0.15036 | az: -0.119431
ax: 0.0223236 | ay: 0.305389 | az: -0.0773773
ax: -0.0643158 | ay: 0.105591 | az: -0.00382996
ax: -0.0481567 | ay: 0.113434 | az: -0.00830078
ax: -0.103729 | ay: 0.11879 | az: -0.0705414
ax: -0.0726318 | ay: 0.148926 | az: -0.150848
ax: -0.0183258 | ay: 0.193375 | az: -0.13562
ax: -0.212418 | ay: 0.266556 | az: -0.0161133
ax: -0.284348 | ay: 0.223984 | az: -0.0396118
ax: -0.293335 | ay: 0.188278 | az: -0.0430908
ax: -0.269592 | ay: 0.190933 | az: -0.130798
ax: -0.387848 | ay: 0.297379 | az: -0.159836
ax: -0.460236 | ay: 0.500381 | az: -0.208618
ax: -0.407379 | ay: 0.468765 | az: -0.117447
ax: -0.442566 | ay: 0.530075 | az: -0.075058
ax: -0.328934 | ay: 0.584335 | az: -0.315277
ax: -0.435455 | ay: 0.457169 | az: -0.209045
ax: -0.407898 | ay: 0.0464783 | az: -0.651306
ax: -0.486374 | ay: 0.901932 | az: -0.227814
ax: 0.752609 | ay: 1.05934 | az: -0.406494
ax: 0.74791 | ay: 1.14539 | az: -0.686371
ax: 0.640808 | ay: 1.23256 | az: -0.628586
ax: 0.446747 | ay: 1.12321 | az: -0.621964
ax: 0.138977 | ay: 1.1507 | az: -0.453354
ax: -0.0781708 | ay: 0.8965 | az: -0.392151
ax: -0.150208 | ay: 0.794754 | az: -0.197922
ax: -0.126297 | ay: 0.582108 | az: 0.00727844
ax: -0.418884 | ay: 0.379944 | az: 0.00164795
ax: -0.496552 | ay: 0.200806 | az: 0.00834656
ax: -0.518967 | ay: -0.00840759 | az: 0.00158691
ax: -0.515915 | ay: -0.149612 | az: -0.0211487
ax: -0.432251 | ay: -0.296585 | az: -0.00128174
ax: -0.321075 | ay: -0.395996 | az: 0.0651398
ax: -0.360718 | ay: -0.522446 | az: 0.12413
ax: -0.361786 | ay: -0.640244 | az: 0.261505
ax: -0.556412 | ay: -0.959808 | az: 0.419281
ax: -0.803589 | ay: -1.40652 | az: 0.728653
ax: -0.291824 | ay: -1.29471 | az: 0.625137
ax: -0.291611 | ay: -0.85585 | az: 0.534637
ax: -0.203079 | ay: -0.577972 | az: 0.28566
ax: -0.0708466 | ay: -0.642456 | az: 0.181976
ax: -0.0557709 | ay: -0.97876 | az: 0.178513
ax: -0.0106354 | ay: -0.900803 | az: 0.237396
ax: -0.0175629 | ay: -0.760193 | az: 0.538284
ax: -0.206787 | ay: -0.788712 | az: 0.883682
time: 4
[20210614164142.634]
> sum ax: -7.90018 | sum ay: 4.33073 | sum az: -1.75435
>> avg ax: -0.158004 | avg ay: 0.0866147 | avg az: -0.035087
>>> vx: -0.774217 | vy: 0.424412 | vz: -0.171926
>>> sx: -0.283586 | sy: 0.711297 | sz: -0.336646
>>> a: 0.183571
>>> v: 0.899498
>>> s: 0.836478

ax: -0.0673676 | ay: 0.0247498 | az: -0.301758
ax: -1.06967 | ay: -0.583481 | az: 1.24118
ax: -1.04915 | ay: 0.0901184 | az: 0.82692
ax: 0.440735 | ay: -0.17778 | az: 0.817841
ax: 0.244232 | ay: -0.300491 | az: -0.233856
ax: -0.0227356 | ay: -0.365189 | az: -0.499893
ax: 0.0599365 | ay: 0.158569 | az: -0.207901
ax: 0.042572 | ay: 0.142487 | az: 0.0639038
ax: 0.00679016 | ay: 0.260513 | az: -0.0462952
ax: 0.0378265 | ay: 0.240814 | az: -0.0522919
ax: 0.043808 | ay: 0.0332031 | az: -0.0383301
ax: -0.0118103 | ay: 0.0298004 | az: -0.035965
ax: 0.00154114 | ay: 0.153854 | az: -0.0560913
ax: 0.0239258 | ay: 0.209198 | az: -0.0364838
ax: -0.03302 | ay: 0.193375 | az: -0.0220184
ax: -0.00643921 | ay: -0.0529327 | az: -0.0437012
ax: 0.0441742 | ay: 0.149933 | az: -0.104462
ax: -0.0652618 | ay: 0.0844421 | az: -0.0800323
ax: -0.0377502 | ay: 0.136673 | az: 0.0413055
ax: -0.00816345 | ay: 0.0153046 | az: -0.0515747
ax: 0.0055542 | ay: 0.0319061 | az: -0.0753021
ax: -0.0305939 | ay: 0.22316 | az: 0.00750732
ax: -0.0278168 | ay: 0.108383 | az: -0.0870972
ax: 0.0242462 | ay: 0.0580139 | az: -0.163956
ax: -0.120117 | ay: -0.00483704 | az: -0.248383
ax: 0.154678 | ay: 0.173431 | az: -0.188797
ax: -0.138901 | ay: 0.0356598 | az: -0.184708
ax: -0.151108 | ay: 0.0290833 | az: -0.230408
ax: -0.228806 | ay: 0.0566559 | az: -0.173141
ax: -0.446716 | ay: 0.188232 | az: -0.308533
ax: -0.515671 | ay: 0.577332 | az: -0.00114441
ax: -0.509323 | ay: 0.384003 | az: -0.129349
ax: -0.322968 | ay: 0.186569 | az: -0.223557
ax: -0.2332 | ay: 0.383698 | az: -0.375885
ax: -0.068634 | ay: 0.134613 | az: -0.560638
ax: 0.0605316 | ay: 0.173477 | az: -0.404221
ax: 0.16539 | ay: 0.0701294 | az: -0.128677
ax: 1.11111 | ay: 1.76428 | az: -0.632111
ax: 0.0164642 | ay: 1.42168 | az: -0.107407
ax: 0.392212 | ay: 1.22821 | az: -0.946564
ax: 0.0118256 | ay: 0.889236 | az: -0.473801
ax: 0.0152435 | ay: 1.06674 | az: -0.640808
ax: 0.0940857 | ay: 0.434753 | az: -0.614609
ax: 0.00498962 | ay: 0.359863 | az: -0.2724
ax: -0.161484 | ay: 0.212555 | az: -0.433136
ax: -0.224655 | ay: 0.291153 | az: -0.190842
ax: -0.43779 | ay: 0.164703 | az: -0.0266876
ax: -0.474792 | ay: 0.253799 | az: 0.135391
ax: -0.432861 | ay: 0.0713654 | az: 0.131104
ax: -0.342148 | ay: -0.00137329 | az: 0.055191
time: 5
[20210614164143.636]
> sum ax: -4.23708 | sum ay: 11.4096 | sum az: -6.31247
