steps: 650
ax: 0.0908051 | ay: -0.256516 | az: -0.00933838
ax: 0.286285 | ay: -0.481888 | az: -0.185211
ax: 0.206497 | ay: -0.225983 | az: -0.0649567
ax: 0.794266 | ay: 0.522644 | az: 0.0265198
ax: 0.960449 | ay: 0.780365 | az: -0.101471
ax: 0.794083 | ay: 0.831512 | az: 0.0210266
ax: 0.77005 | ay: 0.767975 | az: 0.113312
ax: 0.734207 | ay: 0.35791 | az: 0.067215
ax: 0.641617 | ay: 0.194626 | az: 0.0956268
ax: 0.538803 | ay: 0.114441 | az: 0.093277
ax: 0.412216 | ay: 0.0216522 | az: 0.118362
ax: 0.236771 | ay: 0.0114746 | az: 0.218445
ax: -0.20285 | ay: -0.223389 | az: 0.179413
ax: -0.416763 | ay: -0.39328 | az: 0.273682
ax: -1.11882 | ay: -0.771301 | az: 0.309067
ax: -1.1788 | ay: -1.39726 | az: 0.246384
ax: -1.235 | ay: -2.12094 | az: 0.107773
ax: -1.27606 | ay: -2.5631 | az: -0.367767
ax: -1.05396 | ay: -2.64729 | az: 0.548477
ax: -1.23018 | ay: -2.55354 | az: 0.233582
ax: 0.120255 | ay: -0.510223 | az: -0.666458
ax: -0.560638 | ay: 1.45848 | az: 0.629242
ax: -0.831085 | ay: -0.349731 | az: 0.727524
ax: -1.05745 | ay: -0.559723 | az: -0.081192
ax: -0.187759 | ay: -0.519897 | az: 0.0480957
ax: -0.448868 | ay: -1.16241 | az: -0.395264
ax: 0.0135345 | ay: -0.454575 | az: 0.0872955
ax: -0.106262 | ay: -0.391678 | az: -0.106522
ax: 0.101288 | ay: 0.101685 | az: -0.104568
ax: -0.0372467 | ay: -0.142914 | az: 0.0394592
ax: -0.0443573 | ay: 0.030899 | az: 0.0367584
ax: 0.000228882 | ay: 0.0363007 | az: -0.00236511
ax: 0.0137634 | ay: 0.013031 | az: -0.139771
ax: 0.0440063 | ay: -0.0137787 | az: -0.035965
ax: 0.0158081 | ay: 0.0165253 | az: 0.0399628
ax: -0.0163269 | ay: -0.0434418 | az: 0.140533
ax: -0.0369263 | ay: -0.00790405 | az: 0.113754
ax: -0.0720062 | ay: -0.0481415 | az: 0.0439453
ax: -0.0636139 | ay: 0.0322723 | az: 0.129608
ax: -0.0345459 | ay: 0.0143738 | az: -0.032608
ax: -0.0696869 | ay: -0.0107574 | az: 0.00331116
ax: -0.145187 | ay: 0.0166168 | az: -0.0638275
ax: -0.18663 | ay: 0.0644531 | az: 0.0484467
ax: -0.167923 | ay: 0.0962219 | az: 0.0621338
ax: -0.266022 | ay: 0.203354 | az: 0.08461
ax: -0.368896 | ay: 0.189377 | az: -0.0328369
ax: -0.483353 | ay: 0.318069 | az: 0.177673
ax: -0.515015 | ay: 0.392212 | az: 0.0729065
ax: -0.7612 | ay: 0.381912 | az: -0.198288
ax: -1.0768 | ay: 0.663651 | az: -0.489975
time: 1
[20210805064551.507]
> sum ax: -8.4753 | sum ay: -10.2176 | sum az: 2.05904
>> avg ax: -0.169506 | avg ay: -0.204353 | avg az: 0.0411807
>>> vx: -0.830579 | vy: -1.00133 | vz: 0.201786
>>> sx: -0.142299 | sy: -0.704611 | sz: 0.151238
>>> a: 0.268679
>>> v: 1.31652
>>> s: 0.734574

steps: 651
ax: -1.09393 | ay: 1.92784 | az: -0.679886
ax: -1.09917 | ay: 1.03857 | az: -0.0564423
ax: -1.12459 | ay: 1.28426 | az: -0.696991
ax: -0.511566 | ay: 0.966858 | az: -1.13147
ax: 0.823654 | ay: 0.773834 | az: -0.315598
ax: -0.213882 | ay: -0.515045 | az: -0.260742
ax: 0.107437 | ay: -0.251358 | az: 0.0257111
ax: 0.795609 | ay: 0.63533 | az: -0.0405426
ax: 0.891754 | ay: 0.974701 | az: -0.135849
ax: 0.799957 | ay: 0.901489 | az: -0.0781555
ax: 0.824371 | ay: 0.812439 | az: -0.00201416
ax: 0.725616 | ay: 0.419785 | az: -0.00364685
ax: 0.647705 | ay: 0.286972 | az: 0.0126495
ax: 0.532867 | ay: 0.18071 | az: -0.00746155
ax: 0.425171 | ay: 0.0901337 | az: 0.0281982
ax: 0.246567 | ay: 0.117188 | az: 0.139877
ax: -0.286072 | ay: -0.257278 | az: -0.0762634
ax: -0.561752 | ay: -0.315842 | az: 0.221008
ax: -1.09129 | ay: -0.743713 | az: 0.270538
ax: -1.14735 | ay: -1.57942 | az: -0.00151062
ax: -1.19904 | ay: -2.18736 | az: -0.0410919
ax: -1.23761 | ay: -2.58824 | az: -0.381622
ax: -1.1171 | ay: -2.59569 | az: 0.606659
ax: -0.870575 | ay: -1.84186 | az: -0.134201
ax: 0.577148 | ay: 0.128647 | az: -0.722488
ax: -0.359482 | ay: 1.50832 | az: 1.2338
ax: -0.995392 | ay: -0.399521 | az: 0.66246
ax: -0.891983 | ay: -0.683167 | az: -0.248596
ax: 0.00881958 | ay: -0.696335 | az: -0.393204
ax: -0.588028 | ay: -0.931198 | az: -0.20845
ax: -0.0505219 | ay: -0.30571 | az: 0.388351
ax: -0.295349 | ay: -0.386551 | az: -0.0200958
ax: 0.104004 | ay: 0.0671997 | az: -0.12619
ax: -0.00405884 | ay: -0.0189209 | az: 0.032196
ax: -0.127777 | ay: 0.166977 | az: 0.0719452
ax: 0.0211945 | ay: 0.0891266 | az: 0.0944214
ax: 0.0266418 | ay: -0.144012 | az: -0.191132
ax: 0.0926971 | ay: 0.033493 | az: -0.073349
ax: 0.0475769 | ay: 0.0579987 | az: 0.0715485
ax: -0.00386047 | ay: -0.0558472 | az: 0.128174
ax: -0.0305176 | ay: -0.00999451 | az: 0.104324
ax: -0.041687 | ay: -0.0093689 | az: -0.0131683
ax: -0.0273438 | ay: 0.0759277 | az: -0.0441589
ax: -0.037323 | ay: 0.0601501 | az: -0.0236511
ax: -0.0961304 | ay: 0.074646 | az: -0.024826
ax: -0.136093 | ay: 0.0981293 | az: 0.00479126
ax: -0.159027 | ay: 0.153839 | az: -0.00691223
ax: -0.224365 | ay: 0.147781 | az: 0.011261
ax: -0.332138 | ay: 0.135971 | az: -0.0132599
ax: -0.459854 | ay: 0.239944 | az: 0.115479
time: 2
[20210805064552.511]
> sum ax: -8.71606 | sum ay: -3.06818 | sum az: -1.92958
>> avg ax: -0.174321 | avg ay: -0.0613635 | avg az: -0.0385916
>>> vx: -0.854174 | vy: -0.300681 | vz: -0.189099
>>> sx: -0.401442 | sy: 0.105646 | sz: -0.23999
>>> a: 0.188793
>>> v: 0.925084
>>> s: 0.479491

steps: 652
ax: -0.542511 | ay: 0.304199 | az: 0.104385
ax: -0.633133 | ay: 0.345169 | az: -0.161713
ax: -1.07474 | ay: 0.26976 | az: -0.437225
ax: -1.09482 | ay: 1.39737 | az: -0.980011
ax: -1.11618 | ay: 1.60931 | az: -0.0353241
ax: -1.14113 | ay: 1.082 | az: -0.479706
ax: -0.927353 | ay: 1.03401 | az: -0.581665
ax: 0.0226746 | ay: 1.05553 | az: -0.844849
ax: 0.75528 | ay: 0.00942993 | az: -0.31781
ax: 0.250183 | ay: -0.912308 | az: -0.0555573
ax: 0.202698 | ay: 0.181305 | az: 0.305786
ax: 0.97438 | ay: 0.890472 | az: -0.0929871
ax: 0.72583 | ay: 1.13977 | az: -0.0316162
ax: 0.694778 | ay: 0.982941 | az: 0.122482
ax: 0.696991 | ay: 0.605911 | az: 0.0754852
ax: 0.666168 | ay: 0.343445 | az: 0.0777435
ax: 0.655334 | ay: 0.28183 | az: 0.059021
ax: 0.563171 | ay: 0.202957 | az: 0.0734711
ax: 0.460022 | ay: 0.170074 | az: 0.151642
ax: 0.266052 | ay: 0.227173 | az: 0.247574
ax: -0.24231 | ay: -0.167053 | az: 0.0804291
ax: -0.577087 | ay: -0.33931 | az: 0.161255
