>>> s: 0.454488

ax: 0.0809174 | ay: 0.538788 | az: 0.33902
ax: 0.039978 | ay: 0.458328 | az: 0.272461
ax: -0.0409851 | ay: 0.406876 | az: 0.228485
ax: -0.18248 | ay: 0.399536 | az: 0.120468
ax: -0.739182 | ay: 0.396637 | az: 0.203247
ax: -0.728119 | ay: 0.317993 | az: 0.165268
ax: -0.218994 | ay: 0.177399 | az: -0.0115662
ax: -0.600204 | ay: 0.117584 | az: -0.215027
ax: -0.707825 | ay: 0.049469 | az: -0.317657
ax: -0.759933 | ay: -0.0508118 | az: -0.351227
ax: -0.887039 | ay: -0.176178 | az: -0.366241
ax: -0.737991 | ay: -0.25885 | az: -0.406097
ax: -0.559189 | ay: -0.332703 | az: -0.452682
ax: -0.459641 | ay: -0.391312 | az: -0.482239
ax: -0.355133 | ay: -0.527405 | az: -0.491531
ax: -0.275024 | ay: -0.635071 | az: -0.496399
ax: -0.16246 | ay: -0.706375 | az: -0.487762
ax: -0.0890198 | ay: -0.687927 | az: -0.518677
ax: -0.0638123 | ay: -0.685974 | az: -0.545639
ax: -0.103134 | ay: -0.7556 | az: -0.549377
ax: -0.148178 | ay: -0.837738 | az: -0.54689
ax: -0.143753 | ay: -0.853577 | az: -0.496002
ax: -0.141312 | ay: -0.809357 | az: -0.428299
ax: -0.16037 | ay: -0.752808 | az: -0.40889
ax: -0.181274 | ay: -0.681793 | az: -0.37973
ax: -0.192184 | ay: -0.572647 | az: -0.332001
ax: -0.193146 | ay: -0.466446 | az: -0.253021
ax: -0.17511 | ay: -0.350204 | az: -0.197968
ax: -0.200775 | ay: -0.30394 | az: -0.199615
ax: -0.57608 | ay: -0.257889 | az: -0.283752
ax: -0.772552 | ay: -0.0368652 | az: -0.167892
ax: -0.349396 | ay: 0.052597 | az: -0.112656
ax: -0.236786 | ay: 0.0597076 | az: -0.119263
ax: -0.334 | ay: 0.219696 | az: -0.0132141
ax: -0.324768 | ay: 0.344574 | az: 0.164459
ax: -0.499786 | ay: 0.363602 | az: 0.334122
ax: -0.727448 | ay: 0.551071 | az: 0.457153
ax: -0.703751 | ay: 0.801941 | az: 0.494537
ax: -0.491562 | ay: 0.860687 | az: 0.405701
ax: -0.278152 | ay: 0.768326 | az: 0.432129
ax: -0.154877 | ay: 0.6259 | az: 0.500214
ax: -0.0796204 | ay: 0.501724 | az: 0.55101
ax: -0.0497589 | ay: 0.537735 | az: 0.575027
ax: -0.0153503 | ay: 0.620712 | az: 0.615799
ax: 0.0636444 | ay: 0.639114 | az: 0.659454
ax: 0.10051 | ay: 0.727829 | az: 0.677628
ax: 0.0636444 | ay: 0.79892 | az: 0.654907
ax: 0.0298309 | ay: 0.817947 | az: 0.590576
ax: 0.016983 | ay: 0.781967 | az: 0.501373
ax: 0.0105133 | ay: 0.672089 | az: 0.397659
3: [20200921193524.078]
> sum ax: -14.3941 | sum ay: 2.47728 | sum az: -0.290619
>> avg ax: -0.287883 | avg ay: 0.0495456 | avg az: -0.00581238
>>> vx: -0.840613 | vy: 0.203714 | vz: 0.0311886
>>> sx: -0.72568 | sy: 0.108975 | sz: -0.0355236
>>> a: 0.292173
>>> v: 0.865507
>>> s: 0.734676

ax: -0.0280914 | ay: 0.56543 | az: 0.331009
ax: -0.0804138 | ay: 0.478195 | az: 0.253098
ax: -0.108795 | ay: 0.416656 | az: 0.211411
ax: -0.092514 | ay: 0.323486 | az: 0.136169
ax: -0.113358 | ay: 0.282791 | az: 0.0596161
ax: -0.472382 | ay: 0.305084 | az: 0.0292053
ax: -0.945206 | ay: 0.305817 | az: 0.127975
ax: -0.18866 | ay: 0.163177 | az: -0.0552216
ax: -0.333771 | ay: 0.0106354 | az: -0.257294
ax: -0.79248 | ay: -0.0305176 | az: -0.356384
ax: -0.763809 | ay: -0.100647 | az: -0.326187
ax: -0.794464 | ay: -0.201065 | az: -0.348007
ax: -0.719986 | ay: -0.27858 | az: -0.377533
ax: -0.541275 | ay: -0.340897 | az: -0.498169
ax: -0.349609 | ay: -0.452255 | az: -0.55484
ax: -0.203674 | ay: -0.573959 | az: -0.525711
ax: -0.0981445 | ay: -0.643707 | az: -0.458954
ax: -0.0682831 | ay: -0.719238 | az: -0.415375
ax: -0.0337372 | ay: -0.73674 | az: -0.461319
ax: -0.0562897 | ay: -0.72757 | az: -0.518265
ax: -0.0769501 | ay: -0.724777 | az: -0.581955
ax: -0.112595 | ay: -0.748627 | az: -0.577789
ax: -0.149155 | ay: -0.738037 | az: -0.545105
ax: -0.167664 | ay: -0.710846 | az: -0.453293
ax: -0.150055 | ay: -0.662704 | az: -0.375412
ax: -0.164627 | ay: -0.619873 | az: -0.319168
ax: -0.182175 | ay: -0.566681 | az: -0.278549
ax: -0.176804 | ay: -0.463104 | az: -0.245499
ax: -0.153427 | ay: -0.328705 | az: -0.188782
ax: -0.33403 | ay: -0.269577 | az: -0.227142
