ax: -1.09042 | ay: -1.50874 | az: -0.714615
ax: -0.0256653 | ay: -0.144897 | az: 0.0265808
ax: -0.0340271 | ay: -0.0970001 | az: -0.0122375
ax: -0.0292664 | ay: -0.0794067 | az: -0.0235901
ax: -0.0670166 | ay: -0.0330505 | az: -0.0137329
ax: -0.145126 | ay: -0.021759 | az: 0.00244141
ax: -0.239975 | ay: 0.0743866 | az: -0.0214691
ax: -0.354279 | ay: 0.130142 | az: -0.0303192
ax: -0.549088 | ay: 0.237946 | az: 0.0505219
ax: -0.300369 | ay: 0.117188 | az: 0.0459137
ax: -0.144821 | ay: 0.236053 | az: -0.0115662
ax: 0.0600586 | ay: 0.490173 | az: 0.10318
ax: 0.120941 | ay: 0.234619 | az: 0.245865
ax: 0.214081 | ay: 0.499649 | az: 0.349854
ax: 0.270401 | ay: 0.499481 | az: 0.420761
ax: 0.205429 | ay: 0.344513 | az: 0.389023
ax: 0.124405 | ay: 0.24913 | az: 0.35585
ax: 0.0644684 | ay: 0.176071 | az: 0.266449
ax: -0.0241089 | ay: 0.0726318 | az: 0.173889
ax: -0.112778 | ay: -0.0658569 | az: 0.0604401
ax: -0.163361 | ay: -0.190521 | az: 0.00268555
ax: -0.18988 | ay: -0.255554 | az: -0.0418396
ax: -0.209488 | ay: -0.2948 | az: -0.0987701
ax: -0.187515 | ay: -0.375 | az: -0.15303
ax: -0.205826 | ay: -0.468506 | az: -0.216217
ax: -0.201569 | ay: -0.557404 | az: -0.271606
ax: -0.169632 | ay: -0.611191 | az: -0.32251
ax: -0.119644 | ay: -0.605164 | az: -0.337875
ax: -0.0908813 | ay: -0.664368 | az: -0.421249
ax: -0.0874329 | ay: -0.728546 | az: -0.432037
ax: -0.0911255 | ay: -0.745132 | az: -0.40451
ax: -0.0607605 | ay: -0.792313 | az: -0.483749
ax: -0.0752411 | ay: -0.837006 | az: -0.523468
ax: -0.426636 | ay: -0.566605 | az: -0.597473
ax: -0.163788 | ay: -0.59816 | az: -0.46843
ax: -0.370575 | ay: 0.598602 | az: 0.634232
ax: -0.389771 | ay: -0.0570068 | az: 0.452377
ax: -0.441422 | ay: -0.517838 | az: 0.167755
ax: -0.310226 | ay: -0.330505 | az: 0.0747528
ax: -0.04953 | ay: -0.116699 | az: -0.387619
ax: -0.0270233 | ay: -0.178909 | az: -0.462433
ax: -0.0236053 | ay: -0.213379 | az: -0.439499
ax: -0.149872 | ay: -0.45665 | az: -0.0970459
ax: -0.142807 | ay: -0.317795 | az: -0.0402832
ax: -0.100677 | ay: -0.202011 | az: 0.0359344
ax: -0.122833 | ay: -0.0608521 | az: -0.00923157
ax: -0.0400696 | ay: -0.0525055 | az: -0.0390472
ax: 0.0145874 | ay: -0.00804138 | az: -0.161896
ax: 0.0201263 | ay: -0.00904846 | az: -0.119034
ax: -0.0387268 | ay: -0.0854187 | az: 0.00767517
time: 1
[20210722063113.253]
> sum ax: -6.67236 | sum ay: -8.88705 | sum az: -3.4902
>> avg ax: -0.133447 | avg ay: -0.177741 | avg az: -0.0698041
>>> vx: -0.653892 | vy: -0.870931 | vz: -0.34204
>>> sx: -0.358908 | sy: -0.32298 | sz: -0.0907049
>>> a: 0.232965
>>> v: 1.14153
>>> s: 0.491282

ax: -0.0432587 | ay: -0.165939 | az: 0.110611
ax: -0.0304413 | ay: -0.141327 | az: 0.0577087
ax: 0.0247803 | ay: -0.0617218 | az: -0.039505
ax: 0.0363007 | ay: -0.0449219 | az: -0.078598
ax: 0.0112457 | ay: -0.132385 | az: -0.0330811
ax: -0.0475616 | ay: -0.179611 | az: 0.0257721
ax: -0.0338135 | ay: -0.0902863 | az: 0.00390625
ax: -0.0114136 | ay: -0.065033 | az: -0.010376
