>>> vx: -0.572402 | vy: -0.272187 | vz: 0.115825
>>> sx: -0.319144 | sy: -0.180452 | sz: 0.0920828
>>> a: 0.131493
>>> v: 0.644318
>>> s: 0.378015

ax: -0.0472565 | ay: 0.210587 | az: -0.159241
ax: -0.0557556 | ay: 0.41394 | az: -0.124664
ax: -0.17627 | ay: 0.460205 | az: -0.00521851
ax: -0.355194 | ay: 0.236389 | az: 0.021759
ax: -0.531357 | ay: 0.199921 | az: -0.0625
ax: -0.895889 | ay: 0.381363 | az: -0.242538
ax: -1.05334 | ay: 0.632004 | az: -0.246429
ax: -1.0656 | ay: 0.793304 | az: -0.383194
ax: -0.317276 | ay: 1.35764 | az: -0.331009
ax: 0.135742 | ay: 0.396912 | az: -0.667236
ax: 0.115326 | ay: 0.079422 | az: -0.357986
ax: 0.388062 | ay: 0.710312 | az: -0.360535
ax: 0.723572 | ay: 0.982803 | az: -0.151489
ax: 0.755264 | ay: 1.05988 | az: -0.221191
ax: 0.541824 | ay: 1.02667 | az: -0.141663
ax: 0.501373 | ay: 0.903717 | az: -0.0834351
ax: 0.332199 | ay: 0.650146 | az: -0.136688
ax: 0.202164 | ay: 0.526367 | az: -0.0361481
ax: -0.0164948 | ay: 0.354614 | az: 0.00482178
ax: -0.161575 | ay: 0.145493 | az: -0.0628662
ax: -0.383591 | ay: 0.130081 | az: -0.0479889
ax: -0.52095 | ay: -0.0264282 | az: -0.0105743
ax: -0.66893 | ay: -0.133224 | az: -0.0308533
ax: -0.765442 | ay: -0.257034 | az: 0.104904
ax: -0.729828 | ay: -0.633972 | az: 0.145584
ax: -0.594513 | ay: -0.625687 | az: 0.148468
ax: -0.480347 | ay: -0.643402 | az: 0.115509
ax: -0.439255 | ay: -0.949203 | az: 0.10289
ax: -0.392868 | ay: -1.42603 | az: 0.154633
ax: -0.250946 | ay: -1.03596 | az: 0.345169
ax: -0.244339 | ay: -0.846191 | az: 0.274261
ax: -0.131912 | ay: -0.9086 | az: 0.240341
ax: -0.115616 | ay: -0.894318 | az: 0.233963
ax: -0.238037 | ay: -0.881775 | az: 0.127197
ax: -0.124313 | ay: -0.0921021 | az: 0.0669708
ax: -0.0818939 | ay: 1.69815 | az: 0.196533
ax: -0.688599 | ay: -0.541092 | az: 0.75705
ax: -0.435349 | ay: -0.401077 | az: 0.194885
ax: -0.520599 | ay: -0.424194 | az: 0.0514526
ax: -0.210754 | ay: -0.151001 | az: -0.529907
