steps: 347
ax: -0.699402 | ay: 0.24202 | az: 0.234634
ax: 0.772446 | ay: 0.829544 | az: 0.0358429
ax: 0.71196 | ay: 0.578766 | az: 0.0536652
ax: 0.615128 | ay: 0.268204 | az: 0.00296021
ax: 0.603592 | ay: 0.174454 | az: -0.0573883
ax: 0.442902 | ay: 0.158997 | az: -0.0388184
ax: 0.290329 | ay: 0.0579987 | az: -0.0227051
ax: -0.0406799 | ay: -0.0202026 | az: -0.0587921
ax: -0.509857 | ay: -0.298141 | az: 0.13739
ax: -0.94754 | ay: -0.631195 | az: 0.396362
ax: -1.13252 | ay: -1.15892 | az: 0.139374
ax: -1.1812 | ay: -1.81401 | az: 0.0986633
ax: -1.22052 | ay: -2.06808 | az: 0.0289764
ax: -1.10184 | ay: -2.54495 | az: 0.446228
ax: -0.759247 | ay: -2.53119 | az: 0.754791
ax: -1.02213 | ay: -1.78772 | az: -0.221512
ax: 0.315384 | ay: 0.31456 | az: -0.386978
ax: -0.00509644 | ay: 1.33377 | az: 0.382492
ax: -0.533768 | ay: -0.0384674 | az: 0.729141
ax: -0.73555 | ay: -0.592773 | az: 0.158371
ax: -0.267029 | ay: -0.247345 | az: 0.214294
ax: -0.108765 | ay: -0.766556 | az: -0.378769
ax: -0.652512 | ay: -0.799088 | az: -0.0348663
ax: -0.270477 | ay: -0.384705 | az: 0.149658
ax: -0.00241089 | ay: -0.098587 | az: 0.130493
ax: -0.105179 | ay: -0.0447235 | az: 0.066803
ax: -0.0779724 | ay: -0.0512085 | az: -0.0430298
ax: -0.00125122 | ay: -0.0814972 | az: -0.00688171
ax: 0.015976 | ay: -0.142395 | az: -0.00332642
ax: 0.0772705 | ay: -0.070343 | az: 0.103638
ax: 0.0193024 | ay: -0.0725403 | az: 0.0640259
ax: 0.0183868 | ay: -0.134232 | az: 0.0402679
ax: 0.00233459 | ay: -0.12793 | az: 0.0482178
ax: -0.00730896 | ay: -0.117661 | az: 0.0105286
ax: -0.0307617 | ay: 0.0222015 | az: 0.0878754
ax: -0.0500183 | ay: 0.054184 | az: 0.0935059
ax: -0.099884 | ay: 0.0313263 | az: 0.131622
ax: -0.111511 | ay: -0.00643921 | az: 0.0309753
ax: -0.131058 | ay: -0.0535126 | az: -0.0335846
ax: -0.149979 | ay: 0.00402832 | az: -0.0226288
ax: -0.26564 | ay: 0.0740967 | az: -0.0517883
ax: -0.388702 | ay: 0.0877991 | az: -0.0012207
ax: -0.425125 | ay: 0.16835 | az: 0.154327
ax: -0.570633 | ay: 0.245224 | az: 0.168808
ax: -0.659882 | ay: 0.372284 | az: -0.0769501
ax: -1.07318 | ay: 0.317291 | az: -0.16391
ax: -1.08574 | ay: 1.2395 | az: -0.673203
ax: -1.09929 | ay: 1.89232 | az: -0.289337
ax: -1.07982 | ay: 1.01346 | az: -0.114548
ax: -0.844559 | ay: 0.980103 | az: -0.652893
time: 1
[20210805054713.024]
> sum ax: -15.563 | sum ay: -6.22394 | sum az: 1.7608
>> avg ax: -0.31126 | avg ay: -0.124479 | avg az: 0.0352161
>>> vx: -1.52518 | vy: -0.609946 | vz: 0.172559
>>> sx: -0.560686 | sy: -0.776113 | sz: 0.220723
>>> a: 0.337073
>>> v: 1.65166
>>> s: 0.982568

steps: 348
ax: -0.318375 | ay: 1.09645 | az: -0.948868
ax: 0.871246 | ay: 0.157318 | az: -0.230469
ax: 0.148529 | ay: -0.638397 | az: -0.403915
ax: 0.118912 | ay: 0.3918 | az: 0.250809
ax: 0.832565 | ay: 0.845306 | az: -0.0333099
ax: 0.788742 | ay: 0.943176 | az: 0.0516052
ax: 0.81311 | ay: 0.765457 | az: -0.0412445
ax: 0.767487 | ay: 0.540192 | az: -0.00843811
ax: 0.613663 | ay: 0.301758 | az: -0.00535583
ax: 0.534363 | ay: 0.191223 | az: -0.0414276
ax: 0.441147 | ay: 0.18544 | az: -0.0641937
ax: 0.30629 | ay: 0.186615 | az: -0.00123596
ax: -0.0418091 | ay: 0.0673523 | az: 0.00334167
ax: -0.635864 | ay: -0.451324 | az: 0.00813293
ax: -0.948761 | ay: -0.645157 | az: 0.47847
ax: -1.14273 | ay: -0.988113 | az: 0.23616
ax: -1.19887 | ay: -1.97176 | az: 0.154495
ax: -1.24176 | ay: -2.15601 | az: 0.012558
ax: -1.15009 | ay: -2.60315 | az: 0.158295
ax: -0.859772 | ay: -2.59436 | az: 0.633667
ax: -0.6026 | ay: -2.10744 | az: 0.182968
ax: -0.124069 | ay: 0.825867 | az: -0.50322
ax: -0.283813 | ay: 1.13692 | az: 0.903458
ax: -1.17488 | ay: -1.24481 | az: 0.179672
ax: -0.476807 | ay: -0.354706 | az: 0.131516
ax: -0.103653 | ay: -0.867844 | az: -0.240189
ax: -0.397919 | ay: -0.894699 | az: -0.105118
ax: -0.134903 | ay: -0.292252 | az: 0.078476
ax: -0.139282 | ay: -0.432358 | az: -0.0769653
ax: 0.00527954 | ay: -0.0620728 | az: 0.114624
ax: -0.0850983 | ay: -0.0358276 | az: 0.0846405
ax: -0.0447235 | ay: -0.0259094 | az: 0.0356293
ax: -0.0181122 | ay: -0.135834 | az: -0.0797424
ax: 0.0110474 | ay: -0.15184 | az: -0.111664
ax: 0.00720215 | ay: -0.0356598 | az: -0.0250397
ax: -0.0187988 | ay: 0.120132 | az: 0.0847473
ax: -0.0283813 | ay: 0.0162964 | az: 0.0914154
ax: -0.0159302 | ay: -0.0772095 | az: 0.0335693
ax: -0.0169525 | ay: -0.128036 | az: 0.00840759
ax: -0.0160522 | ay: -0.0778198 | az: 0.0377045
ax: -0.0634003 | ay: -0.0297241 | az: 0.0796051
ax: -0.0624542 | ay: -0.0518036 | az: 0.0818176
ax: -0.0723572 | ay: -0.0610046 | az: 0.0212708
ax: -0.0876465 | ay: -0.0600128 | az: 0.00614929
ax: -0.220276 | ay: 0.131332 | az: 0.0381622
ax: -0.385391 | ay: 0.105026 | az: -0.0848236
ax: -0.428406 | ay: 0.133499 | az: 0.249756
ax: -0.464813 | ay: 0.263123 | az: 0.222992
ax: -0.580521 | ay: 0.264481 | az: -0.0853577
ax: -1.0462 | ay: 0.272446 | az: -0.320404
time: 2
[20210805054714.027]
> sum ax: -8.37189 | sum ay: -10.2339 | sum az: 1.24313
>> avg ax: -0.167438 | avg ay: -0.204678 | avg az: 0.0248627
>>> vx: -0.820445 | vy: -1.00292 | vz: 0.121827
>>> sx: -0.180045 | sy: -0.524297 | sz: 0.0144093
>>> a: 0.265606
>>> v: 1.30147
>>> s: 0.554537

ax: -1.07323 | ay: 0.902405 | az: -0.696579
ax: -1.08644 | ay: 2.08667 | az: -0.344238
ax: -1.0997 | ay: 0.97226 | az: 0.0185547
ax: -0.791443 | ay: 1.30011 | az: -0.443848
ax: -0.345322 | ay: 1.06821 | az: -0.758011
ax: 0.794449 | ay: 0.460266 | az: -0.0126801
ax: 0.442917 | ay: -0.630768 | az: -0.630417
ax: 0.00740051 | ay: 0.645142 | az: 0.16983
ax: 0.77211 | ay: 1.0605 | az: -0.0646973
ax: 0.645615 | ay: 0.807129 | az: -0.042511
ax: 0.664261 | ay: 0.595505 | az: -0.067337
ax: 0.662643 | ay: 0.413513 | az: -0.0542755
ax: 0.595764 | ay: 0.17923 | az: -0.121017
ax: 0.552917 | ay: 0.173569 | az: -0.133347
ax: 0.398392 | ay: 0.155701 | az: -0.163086
ax: 0.265106 | ay: 0.0522766 | az: -0.227463
ax: -0.0422516 | ay: -0.073822 | az: -0.23262
ax: -0.595123 | ay: -0.501846 | az: -0.290634
ax: -1.10408 | ay: -0.852768 | az: -0.137985
ax: -1.16809 | ay: -1.31183 | az: -0.151947
ax: -1.22896 | ay: -2.22722 | az: 0.304153
ax: -1.21167 | ay: -2.21831 | az: 0.226471
ax: -1.0546 | ay: -2.6405 | az: 0.0250549
ax: -0.626144 | ay: -2.53709 | az: 0.418976
ax: -0.873917 | ay: -1.69542 | az: 0.536713
ax: -0.0774994 | ay: 0.483231 | az: -0.121658
ax: -0.411102 | ay: 1.4781 | az: 1.17978
ax: -1.17426 | ay: -1.60179 | az: -0.0871735
ax: -0.634094 | ay: -0.755707 | az: -0.0140686
ax: -0.0503693 | ay: -0.747391 | az: -0.40332
ax: -0.368164 | ay: -0.937241 | az: -0.0372467
ax: -0.178574 | ay: -0.384201 | az: -0.0470276
ax: 0.0224304 | ay: -0.117859 | az: 0.0875397
ax: -0.0922089 | ay: 0.0209503 | az: 0.23819
ax: -0.0689545 | ay: -0.0488586 | az: -0.0215759
ax: 0.0577087 | ay: -0.0785522 | az: -0.115906
ax: 0.0253906 | ay: -0.208267 | az: -0.168747
ax: 0.0461731 | ay: -0.143158 | az: -0.030899
ax: -0.0318451 | ay: -0.113449 | az: 0.121017
ax: -0.0445557 | ay: -0.1409 | az: 0.154297
ax: -0.0236969 | ay: -0.226593 | az: 0.0114136
ax: -0.0410309 | ay: -0.100769 | az: 0.0399933
ax: -0.0615234 | ay: 0.0861206 | az: 0.0913239
ax: -0.059845 | ay: 0.013382 | az: 0.0760956
ax: -0.203323 | ay: -0.0515137 | az: -0.0718384
ax: -0.213562 | ay: 0.0234375 | az: -0.0153046
ax: -0.234879 | ay: 0.00978088 | az: 0.0267334
ax: -0.36824 | ay: 0.195877 | az: 0.00758362
ax: -0.470291 | ay: 0.208542 | az: 0.0227509
ax: -0.586288 | ay: 0.277328 | az: 0.238129
time: 3
[20210805054715.035]
> sum ax: -11.742 | sum ay: -6.67659 | sum az: -1.71286
>> avg ax: -0.23484 | avg ay: -0.133532 | avg az: -0.0342572
>>> vx: -1.15072 | vy: -0.654306 | vz: -0.16786
>>> sx: -0.561009 | sy: -0.0035087 | sz: -0.248375
>>> a: 0.272312
>>> v: 1.33433
>>> s: 0.613542

steps: 349
ax: -0.643143 | ay: 0.455444 | az: 0.0717926
ax: -1.02774 | ay: 0.415375 | az: -0.081131
ax: -1.07487 | ay: 1.52663 | az: -0.862167
ax: -1.08954 | ay: 1.98164 | az: 0.0625763
ax: -1.11046 | ay: 1.17451 | az: -0.754547
ax: -0.957886 | ay: 1.23083 | az: -0.961761
ax: 0.446701 | ay: 0.871841 | az: -0.434418
ax: -0.267166 | ay: -0.303787 | az: -0.202087
ax: -0.0398407 | ay: 0.277695 | az: 0.236115
ax: 0.933731 | ay: 0.899582 | az: -0.0552979
ax: 0.785172 | ay: 1.00298 | az: -0.000167847
ax: 0.82254 | ay: 0.747208 | az: -0.036087
ax: 0.828186 | ay: 0.697662 | az: 0.0393372
ax: 0.638763 | ay: 0.391846 | az: 0.00990295
ax: 0.567307 | ay: 0.236511 | az: 0.00868225
ax: 0.452469 | ay: 0.223495 | az: 0.0286102
ax: 0.305267 | ay: 0.14444 | az: 0.0217743
ax: 0.0494843 | ay: 0.0965881 | az: 0.0923462
ax: -0.497314 | ay: -0.130814 | az: 0.134933
ax: -0.894348 | ay: -0.635284 | az: 0.355423
ax: -1.15109 | ay: -0.916977 | az: 0.238754
ax: -1.21924 | ay: -1.97694 | az: 0.169479
ax: -1.27206 | ay: -2.47894 | az: 0.058075
ax: -1.30287 | ay: -2.64978 | az: 0.344437
ax: -0.81987 | ay: -2.64317 | az: 0.727615
ax: -0.930328 | ay: -2.30275 | az: -0.067215
ax: -0.142151 | ay: 1.45142 | az: -0.849915
ax: -0.590286 | ay: 0.779785 | az: 1.17418
ax: -1.18472 | ay: -1.50247 | az: -0.172058
ax: -0.543427 | ay: -0.488281 | az: 0.309387
ax: -0.678009 | ay: -1.35663 | az: -0.0772705
ax: -0.132507 | ay: -0.545029 | az: 0.297043
ax: -0.208618 | ay: -0.500076 | az: -0.132629
ax: 0.0605927 | ay: -0.0433655 | az: -0.0137634
ax: -0.0522461 | ay: -0.24025 | az: -0.0404968
ax: -0.0461578 | ay: 0.0188904 | az: 0.0898285
ax: -0.0475616 | ay: -0.0795593 | az: -0.00404358
ax: 0.0913849 | ay: -0.100739 | az: -0.211945
ax: 0.0383606 | ay: -0.0414276 | az: -0.0464172
ax: 0.0227203 | ay: 0.0525513 | az: 0.00675964
ax: 0.00193787 | ay: 0.0232239 | az: 0.0215302
ax: -0.0555267 | ay: -0.140884 | az: 0.000473022
ax: -0.0291901 | ay: -0.0413971 | az: 0.0752411
ax: -0.0933685 | ay: -0.0640106 | az: 0.081543
ax: -0.100281 | ay: -0.125122 | az: 0.0838318
ax: -0.173019 | ay: -0.0465088 | az: -0.0784607
ax: -0.210861 | ay: 0.0326691 | az: 0.134583
ax: -0.157181 | ay: 0.0188141 | az: 0.0595093
ax: -0.334747 | ay: 0.179077 | az: -0.101349
ax: -0.453384 | ay: 0.167465 | az: -0.0482483
time: 4
[20210805054716.031]
> sum ax: -13.4864 | sum ay: -4.25603 | sum az: -0.297714
>> avg ax: -0.269728 | avg ay: -0.0851205 | avg az: -0.00595428
>>> vx: -1.32167 | vy: -0.417091 | vz: -0.029176
>>> sx: -0.736176 | sy: 0.207337 | sz: -0.128723
>>> a: 0.282903
>>> v: 1.38623
>>> s: 0.775573

steps: 350
ax: -0.54451 | ay: 0.218216 | az: 0.189209
ax: -0.583923 | ay: 0.349319 | az: 0.092514
ax: -0.89473 | ay: 0.408127 | az: -0.128281
ax: -1.07045 | ay: 1.09045 | az: -0.587921
ax: -1.08516 | ay: 1.96394 | az: -0.483704
ax: -1.10506 | ay: 1.33286 | az: -0.22966
ax: -1.12923 | ay: 1.31065 | az: -0.925995
ax: -0.452377 | ay: 1.02831 | az: -0.83815
ax: 0.387527 | ay: 0.028595 | az: 0.0860443
ax: 0.0110168 | ay: 0.0832367 | az: -0.171219
ax: 0.675125 | ay: 0.795456 | az: -0.0694885
ax: 0.77449 | ay: 0.883865 | az: 0.0261688
ax: 0.802414 | ay: 0.572968 | az: -0.0868835
ax: 0.819992 | ay: 0.573608 | az: -0.101364
ax: 0.695084 | ay: 0.429047 | az: -0.123169
ax: 0.588974 | ay: 0.306992 | az: -0.0749512
ax: 0.464401 | ay: 0.2285 | az: -0.0610809
ax: 0.298218 | ay: 0.0711212 | az: -0.0432587
ax: 0.112137 | ay: -0.00567627 | az: -0.0201416
ax: -0.331726 | ay: -0.166916 | az: -0.0708313
ax: -0.827652 | ay: -0.514389 | az: 0.172134
ax: -1.13177 | ay: -0.842773 | az: 0.137375
ax: -1.1974 | ay: -1.69034 | az: -0.00416565
ax: -1.25246 | ay: -2.38707 | az: -0.13356
ax: -1.17761 | ay: -2.65398 | az: -0.121887
ax: -1.16646 | ay: -2.65388 | az: 0.53598
ax: -0.775208 | ay: -2.51891 | az: 0.0737305
ax: -0.648544 | ay: 1.44588 | az: 0.383194
ax: -0.754333 | ay: 0.271622 | az: 0.759705
ax: -1.15932 | ay: -1.8051 | az: -0.0890808
ax: -0.254471 | ay: -0.504745 | az: -0.000946045
ax: -0.135513 | ay: -0.894379 | az: -0.441116
ax: 0.11348 | ay: -1.05902 | az: 0.0270691
ax: -0.202606 | ay: -0.604599 | az: -0.0210571
ax: -0.232941 | ay: -0.0751495 | az: 0.158081
ax: -0.0669403 | ay: -0.106491 | az: 0.169296
ax: 0.139221 | ay: 0.216034 | az: 0.0235291
ax: -0.00959778 | ay: -0.0178986 | az: -0.403931
ax: 0.0978546 | ay: -0.0752106 | az: -0.310638
ax: 0.00862122 | ay: 0.0200653 | az: -0.0202484
ax: -0.0760803 | ay: 0.0145721 | az: 0.171188
ax: -0.045639 | ay: -0.0124359 | az: 0.190735
ax: -0.0226746 | ay: -0.200165 | az: -0.00253296
ax: -0.0221405 | ay: -0.125183 | az: -0.0292511
ax: -0.0417328 | ay: -0.0462952 | az: 0.0520477
ax: -0.0575104 | ay: -0.0371399 | az: -0.00379944
ax: -0.10881 | ay: 0.0629425 | az: -0.0448761
ax: -0.19397 | ay: -0.111481 | az: -0.0401917
ax: -0.271835 | ay: 0.0867157 | az: 0.110779
ax: -0.420807 | ay: 0.183838 | az: 0.0773315
time: 5
[20210805054717.019]
> sum ax: -13.4626 | sum ay: -5.13229 | sum az: -2.24727
>> avg ax: -0.269253 | avg ay: -0.102646 | avg az: -0.0449454
>>> vx: -1.31934 | vy: -0.502965 | vz: -0.220232
>>> sx: -0.769308 | sy: 0.176478 | sz: -0.239672
>>> a: 0.291639
>>> v: 1.42903
>>> s: 0.824877

steps: 351
ax: -0.506058 | ay: 0.222595 | az: 0.0519562
ax: -0.622437 | ay: 0.264053 | az: 0.137146
ax: -0.671219 | ay: 0.387985 | az: -0.0287628
ax: -0.953461 | ay: 0.623032 | az: -0.2686
ax: -1.07272 | ay: 1.24428 | az: -0.701218
ax: -1.08936 | ay: 1.84781 | az: -0.41333
ax: -1.11142 | ay: 1.1039 | az: -0.339478
ax: -0.86171 | ay: 1.23148 | az: -0.776367
ax: 0.327377 | ay: 0.737778 | az: -0.703491
ax: -0.0571899 | ay: -0.199051 | az: -0.368256
ax: -0.277283 | ay: 0.0562286 | az: 0.0744324
ax: 0.801773 | ay: 0.85051 | az: -0.0249939
ax: 0.723694 | ay: 1.03133 | az: 0.00149536
ax: 0.749741 | ay: 0.791458 | az: -0.0148773
ax: 0.760468 | ay: 0.682877 | az: 0.0106201
ax: 0.680679 | ay: 0.336807 | az: -0.0884552
