ax: 0.857834 | ay: -0.436935 | az: -0.418076
ax: 1.04706 | ay: -0.454712 | az: -0.679626
ax: 1.15309 | ay: -0.464844 | az: -0.770859
ax: 1.17894 | ay: -1.56371 | az: -1.35706
ax: 1.20544 | ay: -0.567017 | az: -0.664261
ax: 0.788742 | ay: -1.07932 | az: -0.785309
ax: 0.534729 | ay: -0.867874 | az: -0.638321
ax: -0.289719 | ay: -0.474564 | az: -0.371948
ax: -0.608566 | ay: 0.356598 | az: -0.201385
ax: -0.120071 | ay: -0.386917 | az: -0.400909
ax: -0.569946 | ay: -0.986938 | az: -0.427322
ax: -0.65004 | ay: -0.753433 | az: -0.32135
ax: -0.490021 | ay: -0.66922 | az: -0.209106
ax: -0.482315 | ay: -0.736252 | az: -0.10083
ax: -0.445923 | ay: -0.716141 | az: 0.0191956
ax: -0.410904 | ay: -0.612839 | az: 0.106201
ax: -0.363007 | ay: -0.544662 | az: 0.0974731
ax: -0.250214 | ay: -0.475037 | az: 0.0879974
ax: -0.0343475 | ay: -0.403915 | az: 0.10704
ax: 0.320068 | ay: -0.284515 | az: 0.192703
ax: 0.855209 | ay: 0.370239 | az: 0.0729828
ax: 1.06319 | ay: 0.830963 | az: 0.404984
ax: 1.10933 | ay: 1.71146 | az: 0.521149
ax: 1.15143 | ay: 2.30307 | az: 1.00349
ax: 0.778152 | ay: 2.3188 | az: 1.88135
ax: 0.415146 | ay: 2.29338 | az: 1.68785
ax: 0.501968 | ay: 0.392059 | az: -0.0567932
ax: -0.340714 | ay: -1.77307 | az: -1.16125
ax: 0.756546 | ay: 0.484512 | az: 0.942596
ax: 0.887451 | ay: 0.413391 | az: 0.347092
ax: 0.584625 | ay: 1.11797 | az: 0.248032
ax: 0.30748 | ay: 0.713455 | az: 0.232742
ax: 0.0337677 | ay: 0.297241 | az: 0.142517
ax: 0.072464 | ay: 0.395401 | az: 0.0673676
ax: 0.00708008 | ay: 0.134003 | az: -0.134705
ax: -0.00741577 | ay: -0.00541687 | az: -0.0487061
ax: 0.0623169 | ay: -0.075531 | az: -0.0536652
ax: 0.0198212 | ay: -0.180206 | az: -0.0731659
ax: -0.0445099 | ay: -0.214325 | az: -0.141388
ax: -0.0131073 | ay: 0.0205688 | az: -0.25827
ax: -0.0359192 | ay: -0.104599 | az: -0.176559
ax: 0.00253296 | ay: -0.183731 | az: -0.0218201
ax: 0.0530701 | ay: -0.160645 | az: 0.0447388
ax: 0.0456085 | ay: -0.0653839 | az: 0.0541534
ax: 0.0134583 | ay: -0.0357819 | az: -0.091217
ax: 0.0139008 | ay: -0.0237732 | az: -0.0806885
ax: 0.0178986 | ay: -0.120651 | az: -0.110672
ax: 0.0679169 | ay: -0.0942383 | az: -0.0417938
ax: 0.141083 | ay: -0.0964813 | az: -0.0978699
ax: 0.122787 | ay: -0.119385 | az: -0.219391
1: [20200927215940.754]
> sum ax: 11.0134 | sum ay: -1.57895 | sum az: -1.85266
>> avg ax: 0.220268 | avg ay: -0.031579 | avg az: -0.0370532
>>> vx: 2.15863 | vy: -0.309474 | vz: -0.363121
>>> sx: 1.40911 | sy: -0.820915 | sz: -0.641474
>>> a: 0.225584
>>> v: 2.21072
>>> s: 1.75242

ax: 0.244431 | ay: -0.213425 | az: -0.243286
ax: 0.426239 | ay: -0.316605 | az: -0.134201
ax: 0.595978 | ay: -0.515503 | az: 0.077713
ax: 0.671707 | ay: -0.52063 | az: -0.168869
ax: 1.08492 | ay: -0.355804 | az: -0.654465
ax: 1.11835 | ay: -0.343536 | az: -0.954498
ax: 1.14423 | ay: -1.59213 | az: -1.69038
ax: 1.17273 | ay: -0.907791 | az: -0.877029
ax: 0.938019 | ay: -1.37437 | az: -0.900238
ax: 0.307617 | ay: -0.396912 | az: -0.851562
ax: -0.0988312 | ay: -0.516434 | az: -0.599503
ax: -0.455841 | ay: 0.836365 | az: -0.0941162
ax: -0.0986938 | ay: -0.346771 | az: 0.108582
ax: -0.530334 | ay: -0.760559 | az: -0.305771
ax: -0.61792 | ay: -0.883301 | az: -0.535629
ax: -0.64592 | ay: -0.860977 | az: -0.321045
ax: -0.61972 | ay: -0.629852 | az: -0.200592
ax: -0.663834 | ay: -0.556091 | az: -0.046463
ax: -0.583466 | ay: -0.489395 | az: -0.0160828
ax: -0.543716 | ay: -0.437576 | az: 0.0285797
ax: -0.443954 | ay: -0.41893 | az: 0.0498657
ax: -0.298218 | ay: -0.375061 | az: 0.093811
ax: -0.00535583 | ay: -0.434998 | az: 0.231201
ax: 0.62558 | ay: -0.0241852 | az: 0.331833
ax: 1.04395 | ay: 0.422226 | az: 0.527145
ax: 1.0818 | ay: 0.952316 | az: 0.648102
ax: 1.12463 | ay: 2.0845 | az: 0.527557
ax: 1.15364 | ay: 2.3703 | az: 1.27441
ax: 0.887161 | ay: 2.36646 | az: 1.78688
ax: 1.12202 | ay: 1.64645 | az: 0.166901
ax: 0.0258789 | ay: -1.72118 | az: -1.44559
ax: 0.316437 | ay: 0.818619 | az: 0.24617
ax: 1.06949 | ay: 0.511063 | az: 0.650345
ax: 0.39415 | ay: 1.22359 | az: -0.0226288
ax: 0.598618 | ay: 0.725967 | az: 0.140182
ax: -0.2565 | ay: 0.0800629 | az: 0.226562
ax: 0.0545959 | ay: 0.266724 | az: 0.0581055
ax: -0.0157928 | ay: 0.134415 | az: -0.15181
ax: 0.00152588 | ay: -0.0302582 | az: -0.172134
ax: -0.0178528 | ay: -0.131927 | az: -0.305161
ax: -0.0577087 | ay: -0.0337067 | az: -0.248169
ax: -0.070282 | ay: -0.198669 | az: -0.125504
ax: -0.0337372 | ay: -0.120316 | az: -0.13472
ax: -0.00917053 | ay: -0.178238 | az: -0.124191
ax: -0.00444031 | ay: -0.170944 | az: -0.099472
ax: 0.0177917 | ay: -0.148468 | az: -0.0691223
ax: 0.0431824 | ay: -0.106781 | az: 0.0565796
ax: 0.0131989 | ay: -0.0938263 | az: 0.0087738
ax: 0.0108795 | ay: -0.0289307 | az: -0.0590363
ax: 0.0511475 | ay: -0.0182343 | az: -0.00880432
2: [20200927215941.745]
> sum ax: 11.2686 | sum ay: -1.81326 | sum az: -4.32077
>> avg ax: 0.225372 | avg ay: -0.0362653 | avg az: -0.0864154
>>> vx: 2.20865 | vy: -0.355399 | vz: -0.846871
>>> sx: 1.41434 | sy: -0.941488 | sz: -0.940953
>>> a: 0.244081
>>> v: 2.39199
>>> s: 1.94221

ax: 0.0378876 | ay: -0.0621338 | az: -0.03479
ax: 0.103729 | ay: -0.102768 | az: -0.0507965
ax: 0.146057 | ay: -0.167511 | az: -0.112396
ax: 0.237762 | ay: -0.199036 | az: -0.203506
ax: 0.448013 | ay: -0.205414 | az: -0.170929
ax: 0.634369 | ay: -0.440506 | az: 0.0420532
ax: 0.809753 | ay: -0.579346 | az: -0.0632782
ax: 1.09669 | ay: -0.564362 | az: -0.469727
ax: 1.12059 | ay: -0.631866 | az: -0.999207
ax: 1.14763 | ay: -1.67508 | az: -1.80063
ax: 1.1778 | ay: -1.43091 | az: -0.850296
ax: 0.938507 | ay: -1.15799 | az: -0.914078
ax: 0.287659 | ay: -1.08209 | az: -1.46049
ax: -0.231979 | ay: -0.321075 | az: -0.356659
ax: -1.0345 | ay: 0.940567 | az: -0.190613
ax: -0.0699615 | ay: -0.843185 | az: -0.277756
ax: -0.725067 | ay: -0.978989 | az: -0.616638
ax: -0.621124 | ay: -0.829666 | az: -0.539841
ax: -0.66275 | ay: -0.689423 | az: -0.420044
ax: -0.651215 | ay: -0.539597 | az: -0.346207
ax: -0.616531 | ay: -0.431885 | az: -0.227402
ax: -0.53212 | ay: -0.361633 | az: -0.113953
ax: -0.392059 | ay: -0.327759 | az: -0.0384216
ax: -0.250946 | ay: -0.327576 | az: -0.0276947
ax: 0.0329437 | ay: -0.30481 | az: 0.0310669
ax: 0.726425 | ay: 0.0264282 | az: 0.0366821
ax: 1.04158 | ay: 0.536331 | az: 0.463104
ax: 1.08141 | ay: 1.28622 | az: 0.766327
ax: 1.1232 | ay: 1.97157 | az: 0.76915
ax: 0.796143 | ay: 2.37495 | az: 0.840347
ax: 0.938416 | ay: 2.37537 | az: 1.6367
ax: 0.609894 | ay: 2.08627 | az: 0.386139
ax: 0.437469 | ay: -1.61078 | az: -1.39847
ax: 0.240128 | ay: 0.217728 | az: 0.717789
ax: 0.989685 | ay: 0.723022 | az: 0.681686
ax: 0.766769 | ay: 1.36856 | az: 0.436493
ax: 0.154175 | ay: 0.118896 | az: 0.233917
ax: -0.285355 | ay: 0.230759 | az: -0.0775757
ax: 0.0960541 | ay: 0.476196 | az: 0.0312042
ax: 0.0289307 | ay: 0.0263977 | az: -0.142899
ax: 0.0758667 | ay: -0.0907898 | az: -0.14859
ax: 0.0315247 | ay: -0.0277863 | az: -0.105133
ax: -0.0289459 | ay: -0.0901031 | az: -0.150116
ax: -0.0329285 | ay: 0.0388184 | az: -0.107437
ax: -0.0211487 | ay: -0.0346375 | az: -0.136597
ax: -0.00665283 | ay: 0.00012207 | az: -0.0634003
ax: 0.035141 | ay: -0.0562897 | az: -0.00650024
ax: 0.0230865 | ay: -0.153946 | az: -0.0553894
ax: 0.0182953 | ay: -0.217422 | az: -0.116028
ax: -0.0115967 | ay: -0.214142 | az: -0.149353
3: [20200927215942.740]
> sum ax: 11.2587 | sum ay: -1.95229 | sum az: -5.87018
>> avg ax: 0.225174 | avg ay: -0.0390457 | avg az: -0.117404
>>> vx: 2.20671 | vy: -0.382648 | vz: -1.15055
>>> sx: 1.33244 | sy: -1.02643 | sz: -1.13372
>>> a: 0.256927
>>> v: 2.51788
>>> s: 2.02837

ax: 0.0235443 | ay: -0.0877228 | az: -0.0553131
ax: 0.127426 | ay: -0.0918427 | az: 0.0122986
ax: 0.171295 | ay: -0.105743 | az: -0.0510406
ax: 0.16861 | ay: -0.0791626 | az: -0.115051
ax: 0.224152 | ay: -0.326096 | az: -0.0367432
ax: 0.396729 | ay: -0.346466 | az: -0.169052
ax: 0.532593 | ay: -0.350204 | az: -0.0630341
ax: 0.674789 | ay: -0.480164 | az: -0.0592194
ax: 0.809448 | ay: -0.609406 | az: -0.357971
ax: 1.10321 | ay: -0.516342 | az: -0.80719
ax: 1.1297 | ay: -1.16193 | az: -1.89334
ax: 1.15636 | ay: -1.65063 | az: -0.981812
ax: 1.08939 | ay: -0.882614 | az: -0.838898
ax: 0.669464 | ay: -1.13695 | az: -1.14099
ax: -0.245255 | ay: -0.602859 | az: -0.581314
ax: -0.821167 | ay: 0.972702 | az: -0.255508
ax: -0.11319 | ay: -0.243332 | az: -0.00669861
ax: -0.607101 | ay: -0.815826 | az: -0.359848
ax: -0.676483 | ay: -0.894897 | az: -0.797928
ax: -0.594467 | ay: -0.805435 | az: -0.621262
ax: -0.615997 | ay: -0.445877 | az: -0.326462
ax: -0.613678 | ay: -0.455673 | az: -0.0896454
ax: -0.570343 | ay: -0.376495 | az: -0.115906
ax: -0.409821 | ay: -0.270065 | az: 0.108017
ax: -0.485672 | ay: -0.389069 | az: -0.0676117
ax: -0.261322 | ay: -0.298401 | az: -0.0749969
ax: 0.0843201 | ay: -0.143448 | az: -0.0726929
ax: 0.740158 | ay: 0.298859 | az: -0.00753784
ax: 1.06303 | ay: 1.52321 | az: 0.372955
ax: 1.11076 | ay: 1.68484 | az: 0.300186
ax: 1.15619 | ay: 1.99619 | az: 1.41701
ax: 0.722839 | ay: 2.32857 | az: 1.44696
ax: 0.591385 | ay: 2.30205 | az: 1.61455
ax: 0.922775 | ay: 1.98732 | az: 0.9841
ax: -0.011673 | ay: -1.79892 | az: -1.37645
ax: 0.804306 | ay: 0.016098 | az: 1.35518
ax: 1.08694 | ay: 0.801956 | az: 0.752472
ax: 0.31221 | ay: 0.946991 | az: 0.164627
ax: 0.567596 | ay: 0.939072 | az: 0.138412
ax: -0.0873566 | ay: 0.294739 | az: 0.273026
ax: 0.157745 | ay: 0.452332 | az: 0.173645
ax: -0.0209503 | ay: 0.156662 | az: -0.110458
ax: 0.0210114 | ay: 0.0619812 | az: -0.173447
ax: 0.0431061 | ay: -0.184402 | az: -0.0567017
ax: 0.0146942 | ay: -0.365692 | az: -0.000473022
ax: -0.0611115 | ay: -0.332321 | az: -0.112808
ax: -0.0315857 | ay: 0.0643158 | az: -0.222366
ax: -0.0469513 | ay: -0.0289612 | az: -0.136078
ax: -0.0130615 | ay: -0.0474091 | az: 0.0085144
ax: 0.0666046 | ay: -0.139359 | az: 0.0898895
4: [20200927215943.748]
> sum ax: 11.4552 | sum ay: 0.364166 | sum az: -2.92401
>> avg ax: 0.229104 | avg ay: 0.00728333 | avg az: -0.0584802
>>> vx: 2.24522 | vy: 0.0713769 | vz: -0.573106
>>> sx: 1.26707 | sy: -0.837214 | sz: -0.92884
>>> a: 0.236562
>>> v: 2.31831
>>> s: 1.7802

ax: 0.0488281 | ay: -0.072525 | az: 0.0915985
ax: 0.0158081 | ay: -0.045105 | az: -0.0270996
ax: 0.0388794 | ay: -0.0780182 | az: -0.0856018
ax: 0.0713043 | ay: -0.114532 | az: -0.0870972
ax: 0.174835 | ay: -0.0700836 | az: -0.114059
ax: 0.203079 | ay: -0.197571 | az: -0.0747986
ax: 0.319748 | ay: -0.27475 | az: -0.11824
ax: 0.465729 | ay: -0.318832 | az: -0.0954895
ax: 0.664673 | ay: -0.492889 | az: 0.040802
ax: 0.724243 | ay: -0.580948 | az: -0.0740967
ax: 1.03595 | ay: -0.520874 | az: -0.613953
ax: 1.12076 | ay: -0.452652 | az: -0.974609
ax: 1.14848 | ay: -1.70918 | az: -1.74124
ax: 1.1778 | ay: -1.15965 | az: -0.910141
ax: 1.18587 | ay: -1.27252 | az: -0.82962
ax: 0.371841 | ay: -0.377289 | az: -1.12746
ax: -0.351456 | ay: -0.132553 | az: -0.569412
ax: -0.481918 | ay: 0.727783 | az: 0.0218811
ax: -0.13858 | ay: -0.708649 | az: -0.0445862
ax: -0.747391 | ay: -0.781921 | az: -0.618973
ax: -0.690811 | ay: -1.00169 | az: -0.531311
ax: -0.648422 | ay: -0.914749 | az: -0.322006
ax: -0.687241 | ay: -0.614395 | az: -0.233185
ax: -0.650955 | ay: -0.490204 | az: -0.123505
ax: -0.623581 | ay: -0.396606 | az: -0.0993652
ax: -0.566711 | ay: -0.342575 | az: -0.057724
ax: -0.449753 | ay: -0.335434 | az: 0.0188904
ax: -0.244446 | ay: -0.30542 | az: 0.104706
ax: 0.137802 | ay: 0.128586 | az: 0.206985
ax: 0.60051 | ay: 0.395584 | az: 0.321381
ax: 1.06548 | ay: 1.0582 | az: 0.560318
ax: 1.11131 | ay: 1.78917 | az: 0.843414
ax: 1.15073 | ay: 2.29968 | az: 0.908295
ax: 0.976151 | ay: 2.3188 | az: 1.27142
ax: 1.16594 | ay: 2.29028 | az: 1.74452
ax: 0.189758 | ay: -1.76231 | az: -1.32898
ax: 0.289734 | ay: 0.278381 | az: 0.896927
ax: 0.846329 | ay: 0.280365 | az: 0.677368
ax: 0.296661 | ay: 0.72821 | az: 0.0821228
ax: 0.471603 | ay: 0.948364 | az: 0.292358
ax: -0.0393677 | ay: 0.138748 | az: 0.178802
ax: 0.0810242 | ay: 0.611328 | az: 0.153198
ax: 0.00509644 | ay: 0.153534 | az: -0.117996
