ax: 0.378418 | ay: -0.216614 | az: -0.119705
ax: 0.214172 | ay: 0.591049 | az: -0.0191803
ax: 0.0757904 | ay: 0.217789 | az: 0.127274
ax: 0.0494385 | ay: 0.242767 | az: -0.0785828
ax: 0.0146332 | ay: 0.311172 | az: -0.0519867
ax: 0.0159454 | ay: 0.187958 | az: 0.0378571
ax: 0.0711212 | ay: 0.247864 | az: 0.103073
ax: 0.0578766 | ay: 0.219482 | az: 0.0600586
ax: 0.0499725 | ay: 0.212372 | az: 0.072998
ax: 0.0384064 | ay: 0.163269 | az: 0.10791
ax: 0.0307617 | ay: 0.0908051 | az: 0.0753632
ax: 0.0499115 | ay: -0.0200043 | az: 0.0605316
ax: 0.0540161 | ay: -0.0187531 | az: 0.0340576
ax: 0.0848083 | ay: 0.0928192 | az: 0.146622
ax: 0.10939 | ay: 0.165146 | az: 0.224045
ax: 0.146042 | ay: 0.135941 | az: 0.0469055
ax: 0.162796 | ay: 0.112 | az: 0.0493469
ax: 0.28035 | ay: -0.0158081 | az: -0.0171051
ax: 0.429047 | ay: -0.11731 | az: -0.0272217
ax: 0.578033 | ay: -0.316681 | az: 0.175247
ax: 0.724014 | ay: -0.462448 | az: -0.0166168
ax: 0.937485 | ay: -0.367447 | az: -0.501755
ax: 1.03078 | ay: -0.393661 | az: -0.880173
ax: 1.04324 | ay: -1.12035 | az: -1.93051
ax: 1.0594 | ay: -1.33206 | az: -0.638184
ax: 0.975052 | ay: -0.735947 | az: -0.892548
ax: 0.107971 | ay: -0.478897 | az: -0.785233
ax: 0.353439 | ay: 0.533142 | az: -0.219055
ax: -0.073761 | ay: -0.395172 | az: -0.178055
ax: -0.694473 | ay: -0.985123 | az: -0.260086
ax: -0.758377 | ay: -0.702515 | az: -0.213074
ax: -0.828552 | ay: -0.537338 | az: -0.160889
ax: -0.743378 | ay: -0.349915 | az: -0.088974
ax: -0.703506 | ay: -0.253967 | az: -0.0222168
ax: -0.630569 | ay: -0.19957 | az: 0.03302
ax: -0.535889 | ay: -0.124405 | az: 0.076889
ax: -0.372421 | ay: -0.0375977 | az: 0.128876
ax: -0.149857 | ay: 0.0559082 | az: 0.183319
ax: 0.183701 | ay: 0.129211 | az: 0.201859
ax: 0.77887 | ay: 0.358353 | az: 0.154175
ax: 1.19492 | ay: 0.946671 | az: 0.339523
ax: 1.28078 | ay: 1.7146 | az: 0.303177
ax: 1.35921 | ay: 2.6223 | az: 0.500885
ax: 0.89682 | ay: 2.6573 | az: 0.795181
ax: 0.856857 | ay: 2.65045 | az: 1.72162
ax: 1.01712 | ay: 2.46704 | az: 0.766708
ax: 1.30391 | ay: 1.79982 | az: -0.0366821
ax: 0.224426 | ay: -1.50108 | az: -0.707901
ax: 0.889267 | ay: -0.560135 | az: 0.914078
ax: 1.18839 | ay: 1.71355 | az: 0.652359
1: [20200927205153.396]
> sum ax: 14.8058 | sum ay: 9.39598 | sum az: 0.247223
>> avg ax: 0.296116 | avg ay: 0.18792 | avg az: 0.00494446
>>> vx: 2.90193 | vy: 1.84161 | vz: 0.0484555
>>> sx: 0.984801 | sy: 0.0746093 | sz: -0.377652
>>> a: 0.350746
>>> v: 3.43731
>>> s: 1.05736

ax: 0.709122 | ay: 2.38863 | az: 0.0709686
ax: 0.0116882 | ay: 0.433273 | az: 0.694183
ax: -0.072113 | ay: 0.689117 | az: 0.0314789
ax: 0.0712433 | ay: 0.475632 | az: 0.0174866
ax: 0.0538177 | ay: 0.207321 | az: 0.0146942
ax: 0.0370941 | ay: 0.15535 | az: 0.0474701
ax: 0.0369263 | ay: 0.199997 | az: 0.00700378
ax: 0.00202942 | ay: 0.262177 | az: 0.12291
ax: 0.00311279 | ay: 0.287292 | az: 0.0250549
ax: 0.0293274 | ay: 0.1035 | az: -0.0259094
ax: 0.0258026 | ay: 0.1474 | az: 0.0087738
ax: 0.0329285 | ay: 0.108017 | az: 0.0379028
ax: 0.0196838 | ay: 0.0926208 | az: 0.0855865
ax: -0.0103912 | ay: 0.0406189 | az: 0.00309753
ax: 0.0246277 | ay: 0.0246429 | az: 0.0152435
ax: 0.0640106 | ay: 0.0925293 | az: 0.0432739
ax: 0.104675 | ay: 0.0531006 | az: 0.015213
ax: 0.189255 | ay: -0.0340576 | az: -0.0290375
ax: 0.406921 | ay: -0.14006 | az: -0.112045
ax: 0.489349 | ay: -0.192596 | az: 0.0227509
ax: 0.584763 | ay: -0.321335 | az: 0.114975
ax: 0.805603 | ay: -0.175583 | az: -0.268158
