steps: 602
ax: -0.41684 | ay: -0.492188 | az: 0.025116
ax: -0.0718842 | ay: -0.0993195 | az: 0.082962
ax: -0.0752106 | ay: -0.118225 | az: -0.0432129
ax: -0.190643 | ay: -0.113846 | az: -0.00708008
ax: -0.173355 | ay: 0.00318909 | az: 0.00747681
ax: -0.281921 | ay: 0.112411 | az: 0.0891418
ax: -0.407852 | ay: 0.15593 | az: 0.0611115
ax: -0.496872 | ay: 0.255463 | az: 0.193848
ax: -0.537552 | ay: 0.330765 | az: 0.0750122
ax: -0.676895 | ay: 0.407181 | az: -0.308777
ax: -1.04179 | ay: 0.509659 | az: -0.459717
ax: -1.05537 | ay: 1.80635 | az: -0.980011
ax: -1.06274 | ay: 0.763824 | az: -0.337662
ax: -1.08368 | ay: 1.10155 | az: -0.902954
ax: -0.646927 | ay: 1.0121 | az: -0.824081
ax: 0.878052 | ay: 0.0570526 | az: -0.109482
ax: -0.132217 | ay: -0.76564 | az: 0.173508
ax: 0.187805 | ay: 0.235153 | az: 0.36879
ax: 1.01588 | ay: 0.613983 | az: -0.0848999
ax: 0.886627 | ay: 0.780334 | az: -0.192703
ax: 0.885239 | ay: 0.765244 | az: -0.0770416
ax: 0.912094 | ay: 0.501923 | az: -0.172791
ax: 0.763351 | ay: 0.191635 | az: -0.129745
ax: 0.701904 | ay: 0.106903 | az: -0.0714874
ax: 0.602875 | ay: -0.00767517 | az: -0.0168152
ax: 0.534195 | ay: -0.102905 | az: 0.015686
ax: 0.320068 | ay: 0.0148773 | az: -0.0355377
ax: -0.132858 | ay: -0.12999 | az: 0.199539
ax: -0.523865 | ay: -0.518204 | az: 0.309677
ax: -1.11819 | ay: -1.03282 | az: 0.0692444
ax: -1.17644 | ay: -1.48396 | az: 0.0432892
ax: -1.23169 | ay: -2.12842 | az: 0.0403442
ax: -1.27567 | ay: -2.14328 | az: -0.108887
ax: -1.16048 | ay: -2.61502 | az: 0.569824
ax: -0.760605 | ay: -2.59908 | az: 0.7939
ax: -0.698563 | ay: -1.84868 | az: 0.576141
ax: -0.30159 | ay: 1.23767 | az: -0.299271
ax: -0.816971 | ay: 1.46767 | az: 1.19983
ax: -1.21051 | ay: -1.38005 | az: 0.115753
ax: -0.639618 | ay: -0.423111 | az: 0.393951
ax: -0.0417023 | ay: -0.608963 | az: -0.113464
ax: -0.128891 | ay: -0.875992 | az: -0.423676
ax: -0.0943604 | ay: -0.429092 | az: -0.224228
ax: -0.162354 | ay: -0.469467 | az: 0.0947266
