ax: 0.461151 | ay: -0.486557 | az: -0.346436
ax: -0.511383 | ay: -0.469193 | az: 0.285355
ax: -1.06511 | ay: 0.828033 | az: 0.901367
ax: -0.96907 | ay: 1.9015 | az: 1.80313
ax: 1.16 | ay: 2.00682 | az: 2.5425
ax: 1.20824 | ay: 2.11252 | az: 2.60031
ax: 1.22836 | ay: 2.16948 | az: 2.61302
ax: 0.275314 | ay: 2.10553 | az: 2.26842
ax: 0.294525 | ay: 1.97182 | az: 2.57616
ax: 1.14351 | ay: -2.17598 | az: 2.48515
ax: 1.12825 | ay: 1.71445 | az: 1.26726
ax: -1.81966 | ay: 1.61896 | az: 2.29762
ax: 0.844025 | ay: 1.52296 | az: 0.23616
ax: 1.18648 | ay: 0.0924225 | az: 0.257523
ax: 1.21347 | ay: -1.60236 | az: -1.02289
ax: 1.2068 | ay: -2.59807 | az: -1.8857
ax: 1.18748 | ay: -0.566544 | az: -1.60783
ax: 1.19763 | ay: 1.4131 | az: -0.609528
ax: 1.07541 | ay: 1.04955 | az: -1.41599
ax: 1.29959 | ay: -1.71797 | az: -0.473206
ax: 1.37544 | ay: -1.33551 | az: -0.876511
ax: 1.47958 | ay: -0.293167 | az: -1.31004
ax: 1.57925 | ay: -2.56358 | az: -0.984024
ax: 1.66249 | ay: -2.93887 | az: -0.684525
ax: 1.74249 | ay: -2.94768 | az: -0.689301
ax: 1.3923 | ay: -2.94318 | az: -0.184402
ax: -0.577805 | ay: -1.4198 | az: -1.00449
ax: -2.1913 | ay: -1.21207 | az: -0.795914
ax: -1.98322 | ay: -0.115829 | az: -0.652496
ax: 0.00402832 | ay: -0.790054 | az: -0.848877
ax: 0.911118 | ay: -1.50778 | az: -0.685501
ax: 0.707489 | ay: -0.268158 | az: -0.307693
ax: -0.125412 | ay: -0.796753 | az: 0.281448
ax: -0.533554 | ay: 0.687393 | az: 0.717499
ax: -0.946014 | ay: 1.97038 | az: 1.4704
ax: 1.18163 | ay: 2.09355 | az: 1.94934
ax: 1.24702 | ay: 2.20389 | az: 2.6256
ax: 1.28252 | ay: 2.27924 | az: 2.63809
ax: 0.149124 | ay: 2.24713 | az: 2.63515
