steps: 0
ax: -0.0381012 | ay: 0.00550842 | az: 0.00662231
ax: 0.532928 | ay: 0.0847321 | az: -0.272125
ax: 0.23526 | ay: 0.0604095 | az: 0.0765839
ax: 0.305252 | ay: 0.135773 | az: 0.405136
ax: 0.448059 | ay: 0.607346 | az: 0.367737
ax: 0.57251 | ay: 0.713974 | az: 0.262039
ax: 0.566574 | ay: 0.617065 | az: 0.205719
ax: 0.477707 | ay: 0.404968 | az: 0.205597
ax: 0.453156 | ay: 0.301956 | az: 0.15564
ax: 0.439285 | ay: 0.194733 | az: 0.104858
ax: 0.394653 | ay: 0.235413 | az: 0.0525818
ax: 0.216599 | ay: 0.224625 | az: 0.0405273
ax: -0.0529327 | ay: 0.00614929 | az: 0.0139465
ax: -0.336304 | ay: -0.195068 | az: 0.0167389
ax: -0.6362 | ay: -0.378113 | az: -0.208206
ax: -1.0228 | ay: -0.61676 | az: -0.471344
ax: -1.06078 | ay: -1.04198 | az: -0.655685
ax: -1.01764 | ay: -1.25223 | az: -0.97287
ax: -0.805298 | ay: -1.35118 | az: -1.13071
ax: -0.520599 | ay: -1.73334 | az: -0.932159
ax: -0.116241 | ay: -2.35501 | az: -0.874954
ax: 0.0204468 | ay: -1.11031 | az: -0.909332
ax: -0.146667 | ay: -0.992355 | az: -0.433975
ax: -0.0652161 | ay: 0.0818787 | az: 0.0167542
ax: -0.1371 | ay: 0.170883 | az: 0.276382
ax: -0.361099 | ay: -0.0146179 | az: 0.623367
ax: -0.338898 | ay: -0.374374 | az: -0.023407
ax: -0.433029 | ay: -0.527023 | az: -0.00804138
ax: -0.16449 | ay: -0.156235 | az: -0.324799
ax: -0.107529 | ay: -0.148163 | az: -0.100235
ax: -0.0243378 | ay: -0.091629 | az: -0.239822
ax: 0.0175018 | ay: 0.0305481 | az: -0.0652313
ax: -0.038147 | ay: -0.0402679 | az: -0.136078
ax: -0.0746918 | ay: -0.139221 | az: -0.116638
ax: -0.0960846 | ay: -0.067688 | az: -0.0637207
ax: -0.0120544 | ay: 0.00492859 | az: -0.0300903
ax: 0.00869751 | ay: 0.0653076 | az: -0.00372314
ax: 0.0421448 | ay: 0.0564728 | az: 0.0204468
ax: 0.0214539 | ay: -0.0254517 | az: -0.0111694
ax: 0.00062561 | ay: -0.0451508 | az: -0.00483704
ax: 0.00177002 | ay: -0.000579834 | az: 0.0164795
ax: 0.00949097 | ay: 0.0432434 | az: 0.0181122
ax: 0.00727844 | ay: 0.0549316 | az: 0.0166473
ax: 0.0112152 | ay: 0.0482483 | az: -0.00964355
ax: -0.00444031 | ay: 0.0478668 | az: -0.0171204
ax: -0.00810242 | ay: 0.0438538 | az: 0.013443
ax: -0.0392456 | ay: 0.0144196 | az: 0.0233765
ax: -0.0342865 | ay: -0.0468903 | az: 0.015625
ax: -0.0405884 | ay: -0.000518799 | az: 0.00376892
ax: -0.0509491 | ay: 0.0442047 | az: 0.0301361
time: 1
[20210810070044.769]
> sum ax: -3.00124 | sum ay: -8.40471 | sum az: -5.02765
>> avg ax: -0.0600247 | avg ay: -0.168094 | avg az: -0.100553
>>> vx: -0.294121 | vy: -0.823661 | vz: -0.49271
>>> sx: -0.059156 | sy: -0.418662 | sz: -0.26344
>>> a: 0.204865
>>> v: 1.00384
>>> s: 0.498175

ax: -0.0848541 | ay: 0.089447 | az: 0.0395508
ax: -0.0879974 | ay: 0.0945892 | az: 0.0558167
ax: -0.138519 | ay: 0.0833893 | az: 0.0945282
ax: -0.174881 | ay: 0.138992 | az: 0.0536194
ax: -0.175522 | ay: 0.0707703 | az: 0.0308533
ax: -0.252625 | ay: 0.12294 | az: 0.0534668
ax: -0.353622 | ay: 0.0892181 | az: 0.0149078
ax: -0.571487 | ay: 0.0394897 | az: 0.034256
ax: -0.931671 | ay: 0.213593 | az: 0.12352
ax: -1.11223 | ay: 0.824219 | az: 0.269714
ax: -0.897018 | ay: 1.04576 | az: 0.479889
ax: -0.85614 | ay: 0.35173 | az: 0.442383
ax: -0.535934 | ay: 0.933243 | az: -0.089035
ax: -0.426865 | ay: 0.623734 | az: -0.35675
ax: -0.0244751 | ay: 0.638031 | az: -0.054657
ax: 0.36586 | ay: -0.126465 | az: -0.28627
ax: 0.152786 | ay: 0.143631 | az: 0.0813751
ax: 0.409348 | ay: 0.413788 | az: 0.379578
ax: 0.458084 | ay: 0.732513 | az: 0.410446
ax: 0.54422 | ay: 0.602554 | az: 0.279694
ax: 0.567169 | ay: 0.528564 | az: 0.180283
ax: 0.525894 | ay: 0.321716 | az: 0.131409
ax: 0.453232 | ay: 0.242676 | az: 0.132874
ax: 0.397308 | ay: 0.20256 | az: 0.105896
ax: 0.320511 | ay: 0.226303 | az: 0.0390625
ax: 0.106659 | ay: 0.227097 | az: -0.015564
ax: -0.156036 | ay: 0.0351105 | az: -0.0700684
ax: -0.376343 | ay: -0.234543 | az: -0.125183
ax: -0.720383 | ay: -0.53981 | az: -0.237335
ax: -1.0448 | ay: -0.554871 | az: -0.425186
ax: -1.08006 | ay: -0.999832 | az: -0.688065
ax: -1.0706 | ay: -1.2464 | az: -0.816025
ax: -0.971634 | ay: -1.44135 | az: -0.721329
ax: -0.467545 | ay: -2.38148 | az: -0.950531
ax: 0.12532 | ay: -1.71663 | az: -0.849838
ax: -0.371796 | ay: -0.867859 | az: -0.819122
