ax: 0.453857 | ay: 0.0357208 | az: 0.723022
ax: 1.1433 | ay: -1.16437 | az: -0.0981598
ax: 1.14737 | ay: -1.0089 | az: -0.145599
ax: 0.879105 | ay: -1.13431 | az: -0.584946
ax: 1.01871 | ay: -0.786057 | az: -0.65419
ax: 1.03201 | ay: -1.24686 | az: -0.103851
ax: 0.922195 | ay: -0.852661 | az: -0.252213
ax: 0.437393 | ay: -1.25085 | az: -0.0119324
ax: -0.537598 | ay: -0.657181 | az: 0.216843
ax: -1.08792 | ay: -0.453964 | az: 0.382721
ax: -1.18492 | ay: 0.100677 | az: -0.0345306
ax: -0.715652 | ay: -0.136398 | az: -0.357208
ax: -0.241287 | ay: -0.214508 | az: -0.0974884
ax: -0.101456 | ay: -0.138763 | az: 0.163208
ax: -0.0809021 | ay: 0.217041 | az: 0.502502
ax: 0.371872 | ay: 0.771973 | az: 1.20874
ax: 0.5672 | ay: 2.17308 | az: 1.59497
ax: 0.495911 | ay: 2.23668 | az: 1.82597
ax: 0.891205 | ay: 2.2852 | az: 2.09015
ax: 0.786774 | ay: 2.32625 | az: 2.20064
ax: -0.0288696 | ay: 2.32118 | az: 2.24574
ax: -0.509598 | ay: 2.2644 | az: 1.98109
ax: 0.302322 | ay: 2.17738 | az: 1.68964
ax: 1.17633 | ay: -1.93285 | az: 2.0255
ax: -0.762924 | ay: 1.93869 | az: 2.17494
ax: 0.470917 | ay: 0.264145 | az: 1.39043
ax: -0.346878 | ay: 0.942307 | az: 0.724762
ax: 0.724335 | ay: 0.860565 | az: 0.328064
ax: 1.10907 | ay: 1.24516 | az: 0.319992
ax: 1.11082 | ay: 0.526306 | az: -0.76709
ax: 1.10962 | ay: -1.21143 | az: -0.834259
ax: 1.10773 | ay: -2.2868 | az: -1.2998
ax: 1.11201 | ay: -0.634338 | az: -0.809036
ax: 1.1188 | ay: 1.18655 | az: -0.526123
ax: 0.214569 | ay: 0.745026 | az: 0.420395
ax: 1.13472 | ay: -1.48619 | az: -0.40863
ax: 1.15164 | ay: -1.41524 | az: -0.580643
ax: 1.17998 | ay: -1.02817 | az: -0.99588
ax: 1.21657 | ay: -1.45605 | az: -0.764511
ax: 1.25194 | ay: -2.12946 | az: -0.183441
ax: 1.28456 | ay: -1.96483 | az: -0.462967
ax: 0.598343 | ay: -1.8168 | az: -0.225372
ax: -0.727142 | ay: -0.986008 | az: -0.0397949
ax: -1.33134 | ay: -0.484085 | az: 0.0101471
ax: -2.03474 | ay: -0.0098877 | az: -0.445969
ax: -0.473114 | ay: -0.243576 | az: -0.613159
ax: -0.12941 | ay: -0.31044 | az: -0.507568
ax: -0.523514 | ay: 0.00119019 | az: -0.0721436
ax: -0.490875 | ay: 0.293503 | az: 0.39209
ax: -0.269058 | ay: 1.09756 | az: 0.995621
1: [20200927212625.121]
> sum ax: 15.944 | sum ay: -2.43036 | sum az: 13.7307
>> avg ax: 0.318879 | avg ay: -0.0486072 | avg az: 0.274613
>>> vx: 3.12502 | vy: -0.47635 | vz: 2.69121
>>> sx: 1.92614 | sy: 0.0661079 | sz: 1.94675
