ax: 0 | ay: 0 | az: -1
>>> sx: -0.515459 | sy: 0.088689 | sz: -0.0788624
>>> a: 0.275214
>>> v: 1.34855
>>> s: 0.528945

ax: 0.0493622 | ay: 0.146332 | az: -0.081131
ax: 0.0132599 | ay: 0.0616302 | az: -0.021698
ax: 0.0117035 | ay: -0.0462189 | az: 0.00593567
ax: -0.0103455 | ay: -0.0370483 | az: -0.0025177
ax: 0.0506592 | ay: 0.035202 | az: -0.0514374
ax: 0.0500336 | ay: -0.0327911 | az: -0.0919495
ax: 0.00398254 | ay: -0.151184 | az: -0.0339813
ax: -0.0326691 | ay: -0.152573 | az: 0.0113678
ax: -0.0317078 | ay: -0.0940094 | az: 0.0198669
ax: -0.0384521 | ay: -0.0748749 | az: -0.00865173
ax: -0.041626 | ay: -0.0336456 | az: -0.0189056
ax: -0.0369873 | ay: -0.0427856 | az: -0.0182648
ax: -0.0375977 | ay: -0.0723724 | az: -0.0105591
ax: -0.0471344 | ay: -0.0211487 | az: 0.0315399
ax: -0.0798187 | ay: 0.0140839 | az: 0.0484467
ax: -0.129929 | ay: 0.0278778 | az: 0.0580597
ax: -0.193542 | ay: 0.0379486 | az: 0.0298462
ax: -0.174408 | ay: 0.101913 | az: 0.0314178
ax: -0.223663 | ay: 0.0771179 | az: 0.05867
ax: -0.297577 | ay: 0.0401917 | az: 0.0711823
ax: -0.37886 | ay: 0.0743408 | az: 0.0730438
ax: -0.621643 | ay: -0.00616455 | az: 0.0655518
ax: -0.935165 | ay: 0.453506 | az: 0.11084
ax: -0.944443 | ay: 1.27814 | az: 0.289093
ax: -0.868698 | ay: 0.947937 | az: 0.290298
ax: -0.792511 | ay: 0.456497 | az: 0.163544
ax: -0.722366 | ay: 0.711853 | az: -0.256912
ax: -0.400177 | ay: 0.551971 | az: -0.174942
ax: 0.546631 | ay: 0.647583 | az: 0.109787
ax: -0.0718842 | ay: -0.0273285 | az: -0.142303
ax: 0.18782 | ay: 0.010437 | az: 0.0902252
ax: 0.541321 | ay: 0.293793 | az: 0.251419
ax: 0.57515 | ay: 0.613724 | az: 0.274673
ax: 0.63414 | ay: 0.616852 | az: 0.210297
ax: 0.613724 | ay: 0.549957 | az: 0.152969
ax: 0.550507 | ay: 0.383362 | az: 0.100143
ax: 0.453262 | ay: 0.189224 | az: 0.0798798
ax: 0.376328 | ay: 0.013916 | az: 0.0131683
ax: 0.329391 | ay: 0.0278015 | az: -0.0636139
ax: 0.194748 | ay: 0.0377655 | az: -0.101776
ax: -0.0412445 | ay: -0.0643463 | az: -0.16423
ax: -0.303879 | ay: -0.317719 | az: -0.250168
ax: -0.66066 | ay: -0.624405 | az: -0.439346
ax: -0.999619 | ay: -0.914246 | az: -0.69014
ax: -1.09766 | ay: -1.37444 | az: -0.882568
ax: -1.13443 | ay: -1.79152 | az: -0.92981
ax: -0.707809 | ay: -1.70589 | az: -0.911423
ax: -0.468369 | ay: -1.93028 | az: -0.795349
ax: -0.296448 | ay: -2.04961 | az: -0.727448
ax: -0.176575 | ay: -1.22031 | az: -0.65477
time: 3
[20210722062721.573]
> sum ax: -7.81587 | sum ay: -4.38394 | sum az: -4.88263
>> avg ax: -0.156317 | avg ay: -0.0876788 | avg az: -0.0976526
>>> vx: -0.765956 | vy: -0.429626 | vz: -0.478498
>>> sx: -0.275169 | sy: 0.223009 | sz: 0.00241444
>>> a: 0.204105
>>> v: 1.00011
>>> s: 0.354199

ax: -0.194366 | ay: 0.435837 | az: 0.191055
ax: -0.258911 | ay: 0.48317 | az: 0.93898
ax: -0.406418 | ay: -0.279251 | az: 0.181458
ax: -0.566956 | ay: -0.417847 | az: -0.166397
ax: -0.13414 | ay: -0.24115 | az: -0.599548
ax: -0.164276 | ay: -0.403595 | az: -0.469345
ax: -0.115128 | ay: -0.475204 | az: -0.00979614
ax: -0.0396118 | ay: -0.293884 | az: -0.153259
ax: -0.136597 | ay: -0.211166 | az: -0.0145416
ax: -0.0392456 | ay: 0.0132294 | az: -0.0432281
ax: -0.0418243 | ay: -0.0746002 | az: -0.105133
ax: -0.02565 | ay: -0.0406036 | az: -0.0555725
ax: 0.0223236 | ay: 0.0324402 | az: -0.0881348
ax: 0.024704 | ay: 0.0617828 | az: -0.0722961
ax: 0.0191345 | ay: 0.0516663 | az: 0.0441589
ax: 0.00956726 | ay: -0.075058 | az: 0.0467682
ax: 0.0116577 | ay: -0.0515442 | az: 0.000595093
ax: 0.0223541 | ay: -0.0115662 | az: -0.0421295
