steps: 0
>>> vx: -0.646074 | vy: 0.603422 | vz: -0.330783
>>> sx: -0.27631 | sy: 0.107734 | sz: -0.0197395
>>> a: 0.192633
>>> v: 0.943899
>>> s: 0.297226

ax: 0.54808 | ay: 0.781815 | az: -0.0715485
ax: 0.621475 | ay: 0.54245 | az: -0.0825653
ax: 0.628082 | ay: 0.437622 | az: -0.0705109
ax: 0.594498 | ay: 0.379959 | az: -0.0514679
ax: 0.534775 | ay: 0.387787 | az: -0.0090332
ax: 0.487274 | ay: 0.341919 | az: -0.0774689
ax: 0.327591 | ay: 0.292587 | az: -0.13205
ax: 0.0483704 | ay: 0.126663 | az: -0.0728455
ax: -0.163162 | ay: 0.130859 | az: 0.092926
ax: -0.440292 | ay: -0.0774231 | az: 0.0365601
ax: -0.666733 | ay: -0.457474 | az: -0.0503693
ax: -0.77478 | ay: -0.748993 | az: -0.0895081
ax: -0.863831 | ay: -0.963226 | az: -0.08255
ax: -0.819916 | ay: -1.09808 | az: -0.085968
ax: -0.712952 | ay: -1.09064 | az: 0.00827026
ax: -0.63002 | ay: -1.18761 | az: 0.159531
ax: -0.435699 | ay: -1.19176 | az: 0.322647
ax: -0.299072 | ay: -1.25146 | az: 0.380951
ax: -0.185257 | ay: -1.30362 | az: 0.387558
ax: -0.213104 | ay: -1.28595 | az: 0.186203
ax: -0.265182 | ay: -0.973709 | az: 0.267166
ax: -0.286575 | ay: -0.529022 | az: 0.350922
ax: -0.0884399 | ay: 1.72202 | az: -0.187317
ax: -0.494644 | ay: -0.186066 | az: 0.328827
ax: -0.401108 | ay: -0.0830383 | az: -0.207642
ax: -0.180466 | ay: 0.00456238 | az: 0.0597534
ax: -0.0589447 | ay: -0.216858 | az: -0.373062
ax: 0.0643921 | ay: 0.0860291 | az: -0.118958
ax: 0.00697327 | ay: 0.00965881 | az: -0.013443
ax: 0.050705 | ay: 0.190231 | az: 0.0276947
ax: -0.0600891 | ay: 0.0452118 | az: 0.0585632
ax: -0.0781403 | ay: 0.0817566 | az: -0.0318604
ax: -0.00935364 | ay: 0.15593 | az: -0.0830994
ax: -0.0137939 | ay: 0.120819 | az: -0.171509
ax: -0.0250702 | ay: 0.182373 | az: -0.0662689
ax: -0.0269928 | ay: 0.236465 | az: 0.0209351
ax: -0.00439453 | ay: 0.159607 | az: -0.0312653
ax: 0.00660706 | ay: 0.141037 | az: -0.0573578
ax: -0.0161896 | ay: 0.133713 | az: -0.052063
ax: 0.00109863 | ay: 0.181168 | az: -0.0246887
ax: -0.0195007 | ay: 0.191971 | az: -0.0113373
ax: -0.0055542 | ay: 0.149536 | az: -0.0461273
ax: -0.00834656 | ay: 0.0999298 | az: -0.0464325
ax: -0.0158844 | ay: 0.127274 | az: -0.0373993
ax: -0.0498657 | ay: 0.175293 | az: -0.0305939
ax: -0.066391 | ay: 0.10614 | az: -0.023941
ax: -0.0381927 | ay: 0.145172 | az: -0.036499
ax: -0.0470734 | ay: 0.173401 | az: -0.0410461
ax: -0.075119 | ay: 0.166748 | az: -0.0512238
ax: -0.105515 | ay: 0.138336 | az: -0.0553284
time: 3
[20210810072435.429]
> sum ax: -4.72572 | sum ay: -4.29889 | sum az: 0.0141602
>> avg ax: -0.0945145 | avg ay: -0.0859778 | avg az: 0.000283203
>>> vx: -0.463121 | vy: -0.421291 | vz: 0.00138769
>>> sx: -0.20057 | sy: -0.359526 | sz: 0.0252013
>>> a: 0.12777
>>> v: 0.626074
>>> s: 0.412459

ax: -0.182083 | ay: 0.136261 | az: -0.0328064
ax: -0.205307 | ay: 0.151917 | az: -0.0400543
ax: -0.225128 | ay: 0.158447 | az: -0.0410309
ax: -0.233353 | ay: 0.178009 | az: -0.0673981
ax: -0.315979 | ay: 0.192383 | az: -0.0942078
ax: -0.395309 | ay: 0.180923 | az: -0.0943909
ax: -0.563416 | ay: 0.216141 | az: -0.100235
ax: -0.822983 | ay: 0.533142 | az: -0.257401
ax: -1.03394 | ay: 0.858353 | az: -0.361237
ax: -0.819916 | ay: 1.33145 | az: -0.227936
ax: -0.875214 | ay: 0.709671 | az: 0.094696
ax: -0.560165 | ay: 0.344116 | az: -0.196838
ax: -0.485565 | ay: 0.439484 | az: -0.460693
ax: 0.224792 | ay: 0.205353 | az: -0.784805
ax: 0.442245 | ay: -0.250336 | az: -0.474884
ax: 0.23558 | ay: 0.455185 | az: -0.124725
ax: 0.658966 | ay: 0.679138 | az: -0.145126
ax: 0.579758 | ay: 0.829803 | az: -0.0819855
ax: 0.634323 | ay: 0.597198 | az: -0.15683
ax: 0.59906 | ay: 0.527847 | az: -0.127869
ax: 0.569977 | ay: 0.468781 | az: -0.072937
ax: 0.526108 | ay: 0.39357 | az: -0.0572662
ax: 0.455933 | ay: 0.317581 | az: -0.102005
ax: 0.292206 | ay: 0.240707 | az: -0.152145
ax: 0.0785065 | ay: 0.187408 | az: -0.0172424
ax: -0.122864 | ay: 0.0695648 | az: -0.0584106
ax: -0.31488 | ay: -0.194061 | az: -0.138077
ax: -0.480408 | ay: -0.419785 | az: -0.166656
ax: -0.557877 | ay: -0.518799 | az: -0.192001
ax: -0.665421 | ay: -0.658783 | az: -0.264008
ax: -0.655579 | ay: -0.688873 | az: -0.17041
ax: -0.682266 | ay: -0.815445 | az: -0.142029
ax: -0.726273 | ay: -1.13068 | az: 0.0545197
ax: -0.611969 | ay: -1.12671 | az: 0.353195
ax: -0.367126 | ay: -1.18077 | az: 0.485199
ax: -0.363083 | ay: -1.52512 | az: 0.44899
ax: -0.248047 | ay: -1.23364 | az: 0.16922
ax: -0.118851 | ay: -0.987549 | az: 0.408386
ax: -0.464645 | ay: -0.512268 | az: 0.811554
ax: -0.216736 | ay: 1.86394 | az: 0.0782013
ax: -0.463669 | ay: -0.462006 | az: 0.189972
ax: -0.359756 | ay: -0.268936 | az: -0.0381165
ax: -0.247543 | ay: -0.153976 | az: 0.0181274
ax: 0.0982208 | ay: -0.101944 | az: -0.130051
ax: -0.0172424 | ay: -0.24321 | az: -0.202591
ax: 0.00691223 | ay: 0.109467 | az: 0.0164795
ax: 0.0315247 | ay: 0.294708 | az: -0.000427246
ax: -0.0520172 | ay: 0.19841 | az: 0.0883179
ax: -0.0699768 | ay: 0.253143 | az: 0.0743866
ax: -0.0114136 | ay: 0.144119 | az: -0.15976
time: 4
[20210810072436.433]
> sum ax: -9.10188 | sum ay: 0.793335 | sum az: -2.64334
>> avg ax: -0.182038 | avg ay: 0.0158667 | avg az: -0.0528668
>>> vx: -0.891985 | vy: 0.0777469 | vz: -0.259047
>>> sx: -0.488114 | sy: 0.398695 | sz: -0.278136
>>> a: 0.190222
>>> v: 0.932087
>>> s: 0.688892

ax: 0.0428925 | ay: 0.0919342 | az: -0.281982
ax: -0.0116577 | ay: 0.223297 | az: -0.122528
ax: -0.0789948 | ay: 0.343445 | az: 0.12381
ax: -0.0540161 | ay: 0.231537 | az: 0.100113
ax: -0.006073 | ay: 0.134628 | az: -0.0882721
ax: 0.00949097 | ay: 0.145981 | az: -0.0881958
ax: -0.0323944 | ay: 0.11908 | az: -0.0317383
ax: -0.035202 | ay: 0.172913 | az: 0.00294495
ax: -0.0352325 | ay: 0.104218 | az: 0.0178528
ax: -0.0348663 | ay: 0.147354 | az: 0.00469971
ax: -0.0567169 | ay: 0.145584 | az: -0.0264282
ax: -0.0562439 | ay: 0.151642 | az: -0.0467224
ax: -0.0521393 | ay: 0.100677 | az: -0.0674438
ax: -0.0779572 | ay: 0.135788 | az: -0.0408936
ax: -0.0998688 | ay: 0.121841 | az: -0.0601807
ax: -0.116837 | ay: 0.238846 | az: -0.0416107
ax: -0.131302 | ay: 0.203293 | az: -0.0354919
ax: -0.203979 | ay: 0.157043 | az: -0.0410004
ax: -0.246536 | ay: 0.207428 | az: -0.0563965
ax: -0.27504 | ay: 0.245056 | az: -0.00987244
ax: -0.316605 | ay: 0.208511 | az: -0.0644989
ax: -0.438797 | ay: 0.269104 | az: -0.0863647
ax: -0.614395 | ay: 0.340256 | az: -0.136932
ax: -0.872009 | ay: 0.383469 | az: -0.279755
ax: -1.04156 | ay: 0.770691 | az: -0.527451
ax: -0.956375 | ay: 1.3576 | az: -0.583771
ax: -0.96225 | ay: 0.758881 | az: 0.0864868
ax: -0.518005 | ay: 0.703888 | az: -0.388306
ax: -0.430664 | ay: 0.175354 | az: -0.449295
ax: 0.0890961 | ay: 0.181335 | az: -0.535019
ax: 0.416351 | ay: -0.12944 | az: -0.322006
ax: 0.293854 | ay: 0.138824 | az: -0.339737
ax: 0.627792 | ay: 0.746811 | az: -0.121216
ax: 0.606232 | ay: 0.945724 | az: -0.0739136
ax: 0.647079 | ay: 0.625992 | az: -0.0422668
ax: 0.631882 | ay: 0.480728 | az: -0.0349884
ax: 0.600342 | ay: 0.452637 | az: -0.0151978
ax: 0.587448 | ay: 0.510117 | az: 0.0306854
ax: 0.512756 | ay: 0.423004 | az: 0.0148773
ax: 0.382904 | ay: 0.42778 | az: 0.0647736
ax: 0.156937 | ay: 0.35524 | az: 0.14978
ax: -0.0673676 | ay: 0.262833 | az: 0.209229
ax: -0.363541 | ay: 0.0601501 | az: 0.147614
ax: -0.773819 | ay: -0.26593 | az: -0.042099
ax: -1.04562 | ay: -0.583542 | az: -0.225769
ax: -1.07127 | ay: -1.01144 | az: -0.397263
ax: -1.10829 | ay: -1.68668 | az: -0.506485
ax: -1.1413 | ay: -2.09386 | az: -0.252472
ax: -0.811813 | ay: -2.39624 | az: 1.30942
ax: -0.0999603 | ay: -1.56593 | az: 0.792404
time: 5
[20210810072437.432]
> sum ax: -8.63365 | sum ay: 4.26746 | sum az: -3.40887
>> avg ax: -0.172673 | avg ay: 0.0853491 | avg az: -0.0681775
>>> vx: -0.846098 | vy: 0.418211 | vz: -0.33407
>>> sx: -0.310604 | sy: 0.616514 | sz: -0.235345
>>> a: 0.204325
>>> v: 1.00119
>>> s: 0.72935

ax: -0.427704 | ay: -0.950623 | az: 0.199188
ax: -0.0668182 | ay: -1.62137 | az: 0.128662
ax: -0.172562 | ay: 1.02441 | az: 0.576035
ax: -0.306061 | ay: 1.06555 | az: 0.458527
ax: -0.647202 | ay: -0.394775 | az: 0.110107
ax: -0.484039 | ay: -1.07889 | az: -0.31398
ax: -0.223907 | ay: -0.336212 | az: -0.255066
ax: 0.111038 | ay: -0.328751 | az: -0.115662
ax: -0.0438843 | ay: -0.313187 | az: -0.0401611
ax: 0.0697632 | ay: 0.0740662 | az: 0.117157
ax: 0.050415 | ay: 0.0527191 | az: 0.124954
ax: -0.0309448 | ay: -0.0666046 | az: 0.122833
ax: -0.0495453 | ay: -0.0589447 | az: 0.0462952
ax: -0.0560303 | ay: -0.015976 | az: -0.0897675
ax: 0.0125427 | ay: 0.0345612 | az: -0.180298
ax: -0.0144958 | ay: 0.0921326 | az: -0.102081
ax: -0.0370026 | ay: 0.108109 | az: 0.122223
ax: -0.0201263 | ay: 0.0452118 | az: 0.0924683
ax: -0.0198975 | ay: -0.035675 | az: -0.0425262
ax: 0.031723 | ay: 0.00587463 | az: -0.0942383
ax: 0.0240936 | ay: 0.0154572 | az: -0.0341187
ax: 0.0166473 | ay: 0.0386658 | az: 0.00514221
ax: 0.00166321 | ay: 0.0655823 | az: -0.0117798
ax: -0.00593567 | ay: 0.0382538 | az: 0.00141907
ax: -0.0189056 | ay: 0.0168457 | az: -0.0215302
ax: -0.0132294 | ay: 0.0211792 | az: -0.0328217
ax: -0.0402832 | ay: 0.0155945 | az: -0.0143127
ax: -0.0512543 | ay: 0.0719604 | az: -0.0161591
ax: -0.106445 | ay: 0.0682831 | az: -0.0372009
ax: -0.134216 | ay: 0.10083 | az: -0.00439453
ax: -0.147018 | ay: 0.125381 | az: 0.0250397
ax: -0.233231 | ay: 0.146057 | az: 0.0858307
ax: -0.20578 | ay: 0.104782 | az: 0.0224915
ax: -0.283447 | ay: 0.0969696 | az: -0.0663147
ax: -0.304733 | ay: 0.0992889 | az: -0.15274
ax: -0.437408 | ay: 0.130753 | az: -0.226059
ax: -0.737488 | ay: 0.163528 | az: -0.270386
ax: -1.06161 | ay: 0.569595 | az: -0.389145
ax: -1.0162 | ay: 1.27541 | az: -0.615982
ax: -1.02046 | ay: 0.937317 | az: 0.0379944
ax: -0.747437 | ay: 0.648773 | az: -0.0750427
ax: -0.418121 | ay: 0.3526 | az: -0.377594
ax: -0.0998535 | ay: 0.121796 | az: -0.56633
ax: 0.672745 | ay: 0.00367737 | az: -0.396194
ax: 0.195419 | ay: 0.139038 | az: -0.234268
ax: 0.691956 | ay: 0.553528 | az: -0.176788
ax: 0.633392 | ay: 0.882919 | az: -0.0781708
ax: 0.696487 | ay: 0.615204 | az: -0.111343
ax: 0.665283 | ay: 0.477493 | az: -0.107346
ax: 0.615219 | ay: 0.351379 | az: -0.104431
time: 6
[20210810072438.425]
> sum ax: -5.1949 | sum ay: 5.54977 | sum az: -3.07787
>> avg ax: -0.103898 | avg ay: 0.110995 | avg az: -0.0615573
>>> vx: -0.5091 | vy: 0.543878 | vz: -0.301631
>>> sx: -0.364083 | sy: -0.0949236 | sz: 0.0103567
>>> a: 0.164025
>>> v: 0.803721
>>> s: 0.376396

ax: 0.56926 | ay: 0.314194 | az: -0.0481567
ax: 0.492844 | ay: 0.287781 | az: -0.0519104
ax: 0.399185 | ay: 0.265656 | az: -0.0602112
ax: 0.175812 | ay: 0.188782 | az: -0.0922546
ax: -0.0032959 | ay: 0.121323 | az: -0.0358582
ax: -0.247421 | ay: -0.0291901 | az: 0.0520935
ax: -0.49382 | ay: -0.285645 | az: 0.0168915
ax: -0.780212 | ay: -0.69632 | az: -0.0896454
ax: -1.0038 | ay: -1.07875 | az: -0.186249
ax: -0.972931 | ay: -1.38194 | az: -0.184387
ax: -0.791153 | ay: -1.43445 | az: -0.30806
ax: -0.796875 | ay: -1.51247 | az: -0.203522
ax: -0.605743 | ay: -1.56702 | az: 0.0969849
ax: -0.472763 | ay: -1.61053 | az: 0.499069
ax: -0.3936 | ay: -1.60738 | az: 0.574036
ax: -0.493195 | ay: -1.23956 | az: 0.696457
ax: -0.263702 | ay: -0.971619 | az: 0.297958
ax: -0.167419 | ay: 1.62401 | az: 0.0720062
ax: -0.490814 | ay: -0.019928 | az: 0.498474
ax: -0.724609 | ay: -0.769455 | az: -0.0571594
ax: -0.342957 | ay: -0.328995 | az: 0.106842
ax: -0.147644 | ay: -0.549454 | az: -0.256805
ax: 0.0825043 | ay: -0.286346 | az: -0.0405121
ax: -0.0607147 | ay: -0.204742 | az: 0.105698
ax: 0.000732422 | ay: 0.00578308 | az: 0.152359
ax: -0.0501709 | ay: -0.0388947 | az: 0.0200806
ax: -0.0500488 | ay: -0.0460358 | az: -0.0457306
ax: 0.0106506 | ay: 0.0685577 | az: -0.067276
ax: -0.00811768 | ay: 0.0467072 | az: -0.128326
ax: 0.0118408 | ay: 0.03862 | az: -0.101562
ax: 0.0203857 | ay: 0.0993652 | az: 0.031723
ax: 0.00845337 | ay: 0.0945129 | az: 0.0332947
ax: 0.00343323 | ay: -0.0788116 | az: -0.0267487
ax: -0.00271606 | ay: -0.0822906 | az: 0.035141
ax: -0.00961304 | ay: -0.0139313 | az: 0.0417633
ax: -0.0167084 | ay: 0.0379486 | az: 0.0270844
ax: 0.00932312 | ay: 0.0610352 | az: 0.0528564
ax: -0.0479431 | ay: -0.0350037 | az: 0.0214844
ax: -0.0473175 | ay: 0.00653076 | az: 0.0118408
ax: -0.0370789 | ay: 0.0556946 | az: 0.0121002
ax: -0.0504761 | ay: 0.0150909 | az: -0.0188904
ax: -0.0539246 | ay: -0.00296021 | az: 0.018692
ax: -0.0824432 | ay: 0.0309143 | az: 0.019043
ax: -0.0802155 | ay: 0.0271759 | az: 9.15527e-05
ax: -0.0960693 | ay: 0.0402832 | az: -0.00491333
ax: -0.174713 | ay: 0.0738983 | az: 0.0106049
ax: -0.17804 | ay: 0.104965 | az: 0.0655823
ax: -0.231033 | ay: 0.114777 | az: -0.0268707
ax: -0.272629 | ay: 0.0356903 | az: -0.119705
ax: -0.398926 | ay: 0.0984497 | az: -0.145462
time: 7
[20210810072439.426]
> sum ax: -9.35643 | sum ay: -12.014 | sum az: 1.27003
>> avg ax: -0.187129 | avg ay: -0.24028 | avg az: 0.0254007
>>> vx: -0.91693 | vy: -1.17737 | vz: 0.124463
>>> sx: -0.547276 | sy: -0.90711 | sz: 0.0817053
>>> a: 0.305609
>>> v: 1.49748
>>> s: 1.06256

ax: -0.62175 | ay: 0.220398 | az: -0.177475
ax: -0.889938 | ay: 0.440002 | az: -0.309189
ax: -1.01537 | ay: 0.816345 | az: -0.391983
ax: -0.760452 | ay: 1.04109 | az: 0.0393219
ax: -0.728378 | ay: 0.512955 | az: 0.00834656
ax: -0.334747 | ay: 0.606689 | az: -0.242737
ax: -0.181259 | ay: 0.067276 | az: -0.345215
ax: 0.334061 | ay: 0.0680847 | az: -0.430161
ax: 0.317307 | ay: 0.233841 | az: -0.214233
ax: 0.390198 | ay: 0.389954 | az: -0.135895
ax: 0.527725 | ay: 0.900391 | az: -0.0823212
ax: 0.573837 | ay: 0.670715 | az: -0.0661163
ax: 0.587875 | ay: 0.387253 | az: -0.0832214
ax: 0.570312 | ay: 0.27948 | az: -0.0548401
ax: 0.557526 | ay: 0.22319 | az: -0.0761108
ax: 0.530075 | ay: 0.257141 | az: -0.0614777
ax: 0.411133 | ay: 0.18898 | az: -0.12738
ax: 0.254166 | ay: 0.135544 | az: -0.121704
ax: 0.0437164 | ay: 0.0275726 | az: -0.101242
ax: -0.130768 | ay: -0.0776672 | az: -0.0471344
ax: -0.33667 | ay: -0.239609 | az: -0.0469055
ax: -0.57515 | ay: -0.476883 | az: -0.0921783
ax: -0.795273 | ay: -0.867889 | az: -0.110413
ax: -0.926819 | ay: -1.17714 | az: -0.0397339
ax: -0.867584 | ay: -1.41695 | az: -0.00796509
ax: -0.772675 | ay: -1.42355 | az: 0.0332794
ax: -0.655151 | ay: -1.44691 | az: 0.198776
ax: -0.436417 | ay: -1.41669 | az: 0.444855
ax: -0.48175 | ay: -1.43459 | az: 0.618713
ax: -0.389633 | ay: -1.43561 | az: 0.64682
ax: -0.526459 | ay: -1.13104 | az: 0.833313
ax: -0.238876 | ay: 1.38081 | az: 0.227753
ax: -0.564865 | ay: -0.282104 | az: 0.359894
ax: -0.559647 | ay: -0.855682 | az: -0.108047
ax: -0.358093 | ay: -0.578796 | az: -0.029892
ax: -0.150604 | ay: -0.621872 | az: 0.0306854
ax: -0.0778503 | ay: -0.399368 | az: 0.0136108
ax: -0.0222778 | ay: -0.18544 | az: -0.0160522
ax: 0.0729675 | ay: 0.0193634 | az: 0.0828857
ax: -0.103394 | ay: -0.0547333 | az: 0.161118
ax: -0.0851593 | ay: 0.000305176 | az: 0.0134125
ax: 0.0447693 | ay: 0.0467224 | az: -0.220947
ax: 0.0210266 | ay: -0.000320435 | az: -0.233749
ax: -0.0211029 | ay: 0.0433502 | az: -0.00540161
ax: -0.04245 | ay: -0.00285339 | az: 0.160309
ax: -0.0323029 | ay: -0.00849915 | az: 0.0815887
ax: 4.57764e-05 | ay: -0.0733185 | az: -0.0189514
ax: 0.00700378 | ay: -0.0517883 | az: -0.0495148
ax: 0.0114288 | ay: -0.0402985 | az: -0.00117493
ax: 0.000778198 | ay: -0.0296631 | az: 0.0485077
time: 8
[20210810072440.424]
> sum ax: -8.42691 | sum ay: -6.7718 | sum az: -0.0461731
>> avg ax: -0.168538 | avg ay: -0.135436 | avg az: -0.000923462
>>> vx: -0.825837 | vy: -0.663637 | vz: -0.00452494
>>> sx: -0.455563 | sy: -0.00879272 | sz: -0.134096
>>> a: 0.216215
>>> v: 1.05945
>>> s: 0.47497

ax: -0.0101929 | ay: -0.0261536 | az: 0.0486145
ax: 0.00357056 | ay: -0.0166779 | az: 0.0378876
ax: -0.0243988 | ay: -0.0380096 | az: 0.0303345
ax: -0.0437317 | ay: -0.0781403 | az: 0.0408783
ax: -0.0755463 | ay: -0.0317535 | az: 0.0681458
ax: -0.0796814 | ay: 0.0198059 | az: 0.0437927
ax: -0.103241 | ay: -0.00038147 | az: -0.0528107
ax: -0.115036 | ay: 0.0676422 | az: 0.00479126
ax: -0.144592 | ay: 0.0673218 | az: 0.0241241
ax: -0.182526 | ay: 0.0766602 | az: 0.0635834
ax: -0.202347 | ay: 0.0239105 | az: 0.0201416
ax: -0.233749 | ay: 0.0524902 | az: -0.0357361
ax: -0.278564 | ay: 0.0603638 | az: -0.0827942
ax: -0.392273 | ay: 0.0906219 | az: -0.118332
ax: -0.614624 | ay: 0.224442 | az: -0.239746
ax: -0.818268 | ay: 0.546646 | az: -0.335022
ax: -0.991516 | ay: 0.878143 | az: -0.42247
