ax: 0.725754 | ay: -0.369949 | az: -0.0581207
ax: 0.169647 | ay: -0.381195 | az: 0.385315
ax: 0.191116 | ay: -0.281143 | az: 0.305649
ax: 0.226349 | ay: -0.209442 | az: 0.23912
ax: 0.243484 | ay: -0.134415 | az: 0.187271
ax: 0.322891 | ay: -0.12355 | az: 0.114532
ax: 0.634735 | ay: -0.156586 | az: 0.057724
ax: 1.0201 | ay: -0.138855 | az: 0.0249329
ax: 1.06769 | ay: 0.0341492 | az: -0.121979
ax: 1.06024 | ay: 0.190842 | az: -0.296463
ax: 1.09047 | ay: 0.248764 | az: -0.434891
ax: 1.09406 | ay: 0.302078 | az: -0.446289
ax: 1.03006 | ay: 0.32692 | az: -0.403076
ax: 0.839661 | ay: 0.400192 | az: -0.407333
ax: 0.562469 | ay: 0.416641 | az: -0.425308
ax: 0.39299 | ay: 0.440826 | az: -0.45842
ax: 0.270126 | ay: 0.47316 | az: -0.483597
ax: 0.224792 | ay: 0.567413 | az: -0.469299
ax: 0.187592 | ay: 0.662872 | az: -0.457901
ax: 0.10376 | ay: 0.695099 | az: -0.417725
ax: 0.0857697 | ay: 0.730286 | az: -0.391754
ax: 0.0631256 | ay: 0.737854 | az: -0.389481
ax: 0.066803 | ay: 0.732971 | az: -0.395935
ax: 0.0765228 | ay: 0.750961 | az: -0.393723
ax: 0.0840912 | ay: 0.77533 | az: -0.373505
ax: 0.0966797 | ay: 0.762451 | az: -0.314423
ax: 0.100143 | ay: 0.726257 | az: -0.256958
ax: 0.0984039 | ay: 0.681519 | az: -0.196976
ax: 0.102753 | ay: 0.551605 | az: -0.168121
ax: 0.16394 | ay: 0.387909 | az: -0.115128
ax: 0.282501 | ay: 0.228043 | az: -0.0582428
ax: 0.423065 | ay: 0.0743561 | az: 0.00408936
ax: 0.722015 | ay: -0.0328064 | az: -0.0462799
ax: 1.04619 | ay: -0.167664 | az: -0.104843
ax: 1.0341 | ay: -0.41301 | az: -0.0470428
ax: 0.761536 | ay: -0.520065 | az: 0.134064
ax: 0.610977 | ay: -0.62175 | az: 0.293396
ax: 0.547226 | ay: -0.65242 | az: 0.426636
ax: 0.707138 | ay: -0.675186 | az: 0.559219
ax: 0.812622 | ay: -0.735748 | az: 0.579773
ax: 0.600372 | ay: -0.76033 | az: 0.431213
ax: 0.372528 | ay: -0.725403 | az: 0.313782
ax: 0.198868 | ay: -0.555939 | az: 0.349991
ax: 0.0576477 | ay: -0.440109 | az: 0.41832
ax: -0.0670166 | ay: -0.478271 | az: 0.482468
ax: -0.101028 | ay: -0.546722 | az: 0.4879
ax: -0.179245 | ay: -0.649643 | az: 0.492203
ax: -0.296799 | ay: -0.781189 | az: 0.501282
ax: -0.345581 | ay: -0.811707 | az: 0.566559
ax: -0.315933 | ay: -0.79924 | az: 0.569931
1: [20200927202524.399]
> sum ax: 19.2674 | sum ay: -0.26384 | sum az: -0.207443
>> avg ax: 0.385348 | avg ay: -0.00527679 | avg az: -0.00414886
>>> vx: 3.77641 | vy: -0.0517126 | vz: -0.0406591
>>> sx: 2.36472 | sy: 0.697479 | sz: -0.586305
>>> a: 0.385406
>>> v: 3.77698
>>> s: 2.53419

ax: -0.211609 | ay: -0.733795 | az: 0.552856
