steps: 2180
ax: -0.0158844 | ay: -0.044632 | az: 0.0927277
ax: -1.05023 | ay: 1.10559 | az: -0.637192
ax: -1.05547 | ay: 0.898788 | az: 0.146072
ax: -0.68988 | ay: 0.856049 | az: -0.328537
ax: -0.376144 | ay: 0.498352 | az: -0.366196
ax: -0.162796 | ay: 0.323456 | az: -0.658691
ax: 0.790298 | ay: 0.461853 | az: -0.156174
ax: 0.296295 | ay: -0.232147 | az: -0.022522
ax: 0.471741 | ay: -0.279877 | az: 0.0479889
ax: 0.694992 | ay: 0.392212 | az: 0.0192719
ax: 0.767166 | ay: 0.767776 | az: 0.041153
ax: 0.787109 | ay: 0.705841 | az: 0.0246277
ax: 0.7173 | ay: 0.662903 | az: 0.0789948
ax: 0.665787 | ay: 0.452789 | az: 0.0940247
ax: 0.598434 | ay: 0.253448 | az: 0.0372009
ax: 0.537476 | ay: 0.122177 | az: -0.00749207
ax: 0.453171 | ay: 0.0640259 | az: -0.0489807
ax: 0.298782 | ay: 0.00871277 | az: -0.0337067
ax: -0.0360413 | ay: -0.081955 | az: 0.0408783
ax: -0.294601 | ay: -0.343872 | az: -0.0147858
ax: -0.704895 | ay: -0.557495 | az: 0.0471649
ax: -1.10777 | ay: -0.959229 | az: -0.00140381
ax: -1.15388 | ay: -1.63748 | az: 0.0218201
ax: -1.19394 | ay: -1.82822 | az: -0.0712433
ax: -0.816895 | ay: -2.03868 | az: -0.120911
ax: -0.718185 | ay: -2.52304 | az: 0.629669
ax: -0.546738 | ay: -1.48766 | az: 0.574631
ax: -0.374252 | ay: -1.09737 | az: 0.37738
ax: -0.441849 | ay: 1.03481 | az: 0.481445
ax: -0.236954 | ay: 0.858978 | az: 0.630508
ax: -0.759277 | ay: -1.01735 | az: 0.29216
ax: -0.430984 | ay: -0.644913 | az: -0.079422
ax: -0.351868 | ay: -0.473251 | az: 0.117722
ax: -0.0444183 | ay: -0.523026 | az: 0.0339661
ax: 0.0466614 | ay: -0.39299 | az: -0.0302582
ax: -0.1073 | ay: -0.120209 | az: 0.0624542
ax: -0.0916443 | ay: -0.0618439 | az: 0.0895844
ax: -0.0901947 | ay: -0.12999 | az: 0.0787659
ax: -0.0333099 | ay: -0.101593 | az: 0.0562592
ax: -0.0448456 | ay: -0.166534 | az: -0.0558319
ax: -0.0110168 | ay: -0.0476379 | az: -0.0717163
ax: -0.0206909 | ay: -0.0128632 | az: 0.0392761
ax: -0.000427246 | ay: -0.0135193 | az: 0.115494
ax: -0.00292969 | ay: -0.0991669 | az: 0.0710144
ax: -0.0175934 | ay: -0.193451 | az: 0.0429688
ax: -0.0276337 | ay: -0.182144 | az: 0.0555573
ax: -0.0471497 | ay: -0.130829 | az: 0.130356
ax: -0.073349 | ay: -0.119308 | az: 0.13591
ax: -0.0562134 | ay: -0.0799103 | az: 0.0875854
ax: -0.0471039 | ay: -0.0882111 | az: 0.0630798
time: 1
[20210805073607.082]
> sum ax: -6.10915 | sum ay: -8.24263 | sum az: 2.15265
>> avg ax: -0.122183 | avg ay: -0.164853 | avg az: 0.043053
>>> vx: -0.598696 | vy: -0.807778 | vz: 0.21096
>>> sx: -0.244571 | sy: -0.105937 | sz: -0.0132381
>>> a: 0.209663
>>> v: 1.02735
>>> s: 0.266857

ax: -0.0411377 | ay: -0.114136 | az: 0.0765533
ax: -0.0458679 | ay: -0.0690308 | az: 0.0137329
ax: -0.0547485 | ay: -0.0388031 | az: 0.0515747
ax: -0.138855 | ay: -0.0361328 | az: 0.0606232
ax: -0.14798 | ay: 0.0018158 | az: 0.0687408
ax: -0.207626 | ay: 0.0321808 | az: 0.0148621
ax: -0.278656 | ay: 0.062088 | az: 0.0402832
ax: -0.292358 | ay: -0.0206451 | az: 0.0116577
ax: -0.386749 | ay: 0.0358124 | az: 0.0942535
ax: -0.668732 | ay: 0.0902863 | az: -0.108826
ax: -1.03427 | ay: 0.290421 | az: -0.207275
ax: -1.06679 | ay: 1.00319 | az: -0.409439
ax: -1.07307 | ay: 1.02357 | az: 0.158081
ax: -0.774796 | ay: 1.10359 | az: -0.297058
