steps: 0
>>> vx: -0.474308 | vy: 0.802145 | vz: -0.435856
>>> sx: -0.199041 | sy: 0.455666 | sz: -0.178253
>>> a: 0.209954
>>> v: 1.02877
>>> s: 0.528226

ax: -0.629471 | ay: -0.926926 | az: 0.243378
ax: -0.600769 | ay: -0.931427 | az: 0.374847
ax: -0.474716 | ay: -0.936722 | az: 0.425842
ax: -0.373779 | ay: -1.05765 | az: 0.391937
ax: -0.273148 | ay: -1.0618 | az: 0.366653
ax: -0.215683 | ay: -1.08986 | az: 0.323669
ax: -0.1754 | ay: -1.22691 | az: 0.304901
ax: -0.139435 | ay: -1.13907 | az: 0.367142
ax: -0.169891 | ay: -0.802582 | az: 0.0282593
ax: -0.0186005 | ay: 1.71765 | az: -0.107239
ax: -0.341766 | ay: 0.438263 | az: 0.446274
ax: -0.701309 | ay: -0.251816 | az: -0.0506744
ax: -0.331451 | ay: 0.145157 | az: 0.224228
ax: 0.0165405 | ay: -0.177856 | az: -0.162827
ax: 0.0567017 | ay: -0.160553 | az: -0.326691
ax: -0.244888 | ay: -0.186691 | az: -0.0860596
ax: 0.0059967 | ay: 0.0180664 | az: 0.0465851
ax: -0.0655212 | ay: 0.0264893 | az: -0.0226898
ax: -0.0198669 | ay: 0.182312 | az: 0.0509186
ax: -0.0108643 | ay: 0.228394 | az: -0.00419617
ax: 0.0258636 | ay: 0.248245 | az: -0.086441
ax: 0.020813 | ay: 0.0937347 | az: -0.140823
ax: 0.0191498 | ay: 0.136505 | az: -0.0934296
ax: 0.0515442 | ay: 0.271164 | az: -0.0102386
ax: 0.0279236 | ay: 0.241455 | az: -0.0344849
ax: 0.0286255 | ay: 0.164322 | az: -0.0326385
ax: 0.0101166 | ay: 0.103622 | az: -0.128326
ax: -0.019577 | ay: 0.134689 | az: -0.115723
ax: 0.024704 | ay: 0.240021 | az: -0.0227509
ax: 0.00749207 | ay: 0.223907 | az: -0.00965881
ax: -0.00256348 | ay: 0.177658 | az: -0.0925903
ax: -0.0256348 | ay: 0.164322 | az: -0.0738831
ax: -0.0287323 | ay: 0.154358 | az: -0.0402069
ax: -0.0296326 | ay: 0.184235 | az: -0.0432434
ax: -0.03508 | ay: 0.201431 | az: -0.00640869
ax: -0.0194244 | ay: 0.182159 | az: -0.0643921
ax: -0.0243225 | ay: 0.0913239 | az: -0.057785
ax: -0.0973206 | ay: 0.0399475 | az: 0.014801
ax: -0.11879 | ay: 0.0901031 | az: 0.0348816
ax: -0.145355 | ay: 0.150726 | az: -0.0303192
ax: -0.160416 | ay: 0.1539 | az: -0.0775757
ax: -0.2108 | ay: 0.214996 | az: -0.0038147
ax: -0.246765 | ay: 0.195786 | az: 0.042038
ax: -0.29689 | ay: 0.206223 | az: -0.102859
ax: -0.31694 | ay: 0.201385 | az: -0.224564
ax: -0.470566 | ay: 0.25264 | az: -0.241714
ax: -0.67543 | ay: 0.270203 | az: -0.176926
ax: -0.946991 | ay: 0.628662 | az: -0.355713
ax: -0.886948 | ay: 1.17099 | az: -0.535233
ax: -0.838165 | ay: 0.927719 | az: -0.0640106
time: 3
[20210810072607.413]
> sum ax: -10.0874 | sum ay: 0.322906 | sum az: 0.0602264
>> avg ax: -0.201749 | avg ay: 0.00645813 | avg az: 0.00120453
>>> vx: -0.988568 | vy: 0.0316449 | vz: 0.00590216
>>> sx: -0.449575 | sy: -0.502794 | sz: 0.200025
>>> a: 0.201856
>>> v: 0.989092
>>> s: 0.703513

ax: -0.692841 | ay: 0.581772 | az: 0.0120697
ax: -0.48912 | ay: 0.440521 | az: -0.316528
ax: -0.338623 | ay: 0.362442 | az: -0.387314
ax: 0.433899 | ay: 0.303894 | az: -0.395203
ax: 0.255508 | ay: 0.095108 | az: -0.118698
ax: 0.383942 | ay: 0.0807953 | az: -0.27356
ax: 0.543732 | ay: 0.759216 | az: -0.0874023
ax: 0.577133 | ay: 0.825317 | az: -0.0323334
ax: 0.618469 | ay: 0.603485 | az: -0.0301056
ax: 0.603592 | ay: 0.547623 | az: -0.0921478
ax: 0.558975 | ay: 0.502228 | az: -0.0577545
ax: 0.527649 | ay: 0.411926 | az: -0.0257111
ax: 0.459457 | ay: 0.426208 | az: -0.0615692
ax: 0.269104 | ay: 0.403259 | az: -0.120224
ax: 0.00212097 | ay: 0.215546 | az: -0.10083
ax: -0.195053 | ay: 0.0808105 | az: -0.0644226
ax: -0.3974 | ay: -0.0521545 | az: -0.0687256
ax: -0.607971 | ay: -0.162491 | az: -0.139053
ax: -0.771927 | ay: -0.413177 | az: -0.136337
ax: -0.827499 | ay: -0.592804 | az: -0.132477
ax: -0.909973 | ay: -0.854721 | az: -0.0807495
ax: -0.977982 | ay: -1.25601 | az: 0.0652466
ax: -0.854996 | ay: -1.51968 | az: 0.242294
ax: -0.646255 | ay: -1.60007 | az: 0.347794
ax: -0.429626 | ay: -1.49394 | az: 0.466934
ax: -0.392578 | ay: -1.48502 | az: 0.322952
ax: -0.272202 | ay: -1.53365 | az: 0.14415
ax: -0.245926 | ay: -1.35292 | az: 0.280396
ax: -0.14386 | ay: 1.03676 | az: 0.204071
ax: -0.303619 | ay: 0.735901 | az: 0.0175476
ax: -0.681778 | ay: -0.733765 | az: 0.275406
ax: -0.34227 | ay: -0.295868 | az: -0.027832
ax: -0.0401459 | ay: -0.31926 | az: -0.0958099
ax: -0.15033 | ay: -0.511765 | az: -0.284607
ax: 0.0240326 | ay: -0.0305023 | az: 0.0172729
ax: -0.0239563 | ay: -0.0756989 | az: 0.0165405
ax: 0.0202637 | ay: 0.00314331 | az: 0.0606995
ax: -0.0646362 | ay: -0.0339966 | az: 0.15184
ax: -0.0546875 | ay: -0.00683594 | az: -0.0288696
ax: 0.0251465 | ay: 0.0605316 | az: -0.153656
ax: 0.0391998 | ay: 0.085495 | az: -0.168121
ax: 0.000778198 | ay: 0.0824738 | az: 0.00695801
ax: -0.0347137 | ay: 0.108475 | az: 0.0740662
ax: -0.00370789 | ay: 0.0593719 | az: 0.0122681
ax: 0.0219879 | ay: 0.0780945 | az: -0.0917969
ax: 0.0155792 | ay: 0.00947571 | az: -0.0647278
ax: 0.00804138 | ay: 0.0574951 | az: -0.00276184
ax: -0.00997925 | ay: 0.0175934 | az: -0.00428772
ax: -0.013504 | ay: 0.0303345 | az: 0.0248108
ax: -0.00605774 | ay: 0.0133972 | az: -0.00228882
time: 4
[20210810072608.390]
> sum ax: -5.53461 | sum ay: -5.30563 | sum az: -0.902588
>> avg ax: -0.110692 | avg ay: -0.106113 | avg az: -0.0180518
>>> vx: -0.542391 | vy: -0.519952 | vz: -0.0884536
>>> sx: -0.215832 | sy: -0.0777997 | sz: -0.123361
>>> a: 0.154397
>>> v: 0.756547
>>> s: 0.260489

ax: -0.015274 | ay: 0.00694275 | az: 0.000900269
ax: -0.0278931 | ay: 0.0383301 | az: 0.0154419
ax: -0.0467377 | ay: 0.0394287 | az: 0.0204468
ax: -0.0796967 | ay: 0.0585938 | az: 0.022934
ax: -0.0787354 | ay: 0.0621033 | az: 0.000579834
ax: -0.0999603 | ay: 0.0944214 | az: -0.0167694
ax: -0.109711 | ay: 0.0614166 | az: -0.000976562
ax: -0.127579 | ay: 0.0892487 | az: 0.00234985
ax: -0.217697 | ay: 0.0687866 | az: -0.0381622
ax: -0.212952 | ay: 0.131973 | az: -0.00271606
ax: -0.206146 | ay: 0.157272 | az: 0.0213318
ax: -0.236572 | ay: 0.114929 | az: -0.0928192
ax: -0.345764 | ay: 0.136337 | az: -0.194733
ax: -0.626495 | ay: 0.169083 | az: -0.203415
ax: -0.861771 | ay: 0.498459 | az: -0.358185
ax: -0.976685 | ay: 1.07797 | az: -0.649277
ax: -0.86293 | ay: 0.834183 | az: -0.00431824
ax: -0.689758 | ay: 0.488724 | az: 0.0547028
ax: -0.520264 | ay: 0.414963 | az: -0.260406
ax: -0.246552 | ay: 0.210602 | az: -0.473068
ax: 0.572556 | ay: 0.169159 | az: -0.44191
ax: 0.153366 | ay: 0.198868 | az: -0.100204
ax: 0.48085 | ay: 0.4328 | az: -0.218323
ax: 0.562256 | ay: 0.936462 | az: -0.0434113
ax: 0.618164 | ay: 0.771683 | az: -0.021347
ax: 0.607742 | ay: 0.469208 | az: -0.0414886
ax: 0.551437 | ay: 0.31282 | az: -0.0530243
ax: 0.501144 | ay: 0.2686 | az: -0.0441895
ax: 0.485458 | ay: 0.291245 | az: -0.0447083
ax: 0.395355 | ay: 0.2892 | az: -0.165176
ax: 0.118927 | ay: 0.238983 | az: -0.166992
ax: -0.0513916 | ay: 0.0376129 | az: 0.0380402
ax: -0.249069 | ay: -0.20665 | az: -0.087204
ax: -0.462875 | ay: -0.459915 | az: -0.14093
ax: -0.56041 | ay: -0.594604 | az: -0.270676
ax: -0.653778 | ay: -0.740051 | az: -0.397552
ax: -0.67894 | ay: -0.935928 | az: -0.452271
ax: -0.694 | ay: -1.14366 | az: -0.358871
ax: -0.682083 | ay: -1.17395 | az: -0.208801
ax: -0.571365 | ay: -1.10422 | az: 0.130295
ax: -0.432556 | ay: -0.954391 | az: 0.298691
ax: -0.302475 | ay: -1.09969 | az: 0.334839
ax: -0.281738 | ay: -1.30774 | az: 0.521225
ax: -0.433395 | ay: -1.06395 | az: 0.372559
ax: -0.1689 | ay: -0.85173 | az: 0.73967
ax: -0.0693207 | ay: 0.0204163 | az: 0.299713
ax: -0.0434418 | ay: 1.58015 | az: 0.323608
ax: -0.397858 | ay: 0.219284 | az: 0.241791
ax: -0.725616 | ay: -0.377533 | az: -0.0177612
ax: -0.18396 | ay: 0.0900116 | az: 0.104095
time: 5
[20210810072609.390]
> sum ax: -9.18509 | sum ay: -0.933731 | sum az: -2.02647
>> avg ax: -0.183702 | avg ay: -0.0186746 | avg az: -0.0405295
>>> vx: -0.900139 | vy: -0.0915057 | vz: -0.198595
>>> sx: -0.380161 | sy: 0.314178 | sz: -0.223636
>>> a: 0.189044
>>> v: 0.926317
>>> s: 0.54152

ax: -0.0196686 | ay: -0.321548 | az: -0.304108
ax: -0.122375 | ay: -0.326813 | az: -0.224136
ax: -0.0847168 | ay: 0.0313721 | az: 0.104111
ax: -0.0584106 | ay: -0.00624084 | az: 0.0743103
ax: 0.0103912 | ay: 0.0576324 | az: 0.102737
ax: -0.0740356 | ay: 0.13739 | az: 0.108963
ax: -0.0677185 | ay: 0.149216 | az: -0.0643158
ax: 0.0743713 | ay: 0.202164 | az: -0.139084
ax: -0.00285339 | ay: 0.0293427 | az: -0.150085
ax: -0.0125427 | ay: 0.243332 | az: -0.00492859
ax: 0.0022583 | ay: 0.228149 | az: 0.0406189
ax: -0.0133057 | ay: 0.177856 | az: -0.0162811
ax: 0.00840759 | ay: 0.158554 | az: -0.114853
ax: 0.0111389 | ay: 0.193848 | az: -0.0777435
ax: -0.0177765 | ay: 0.181808 | az: -0.0278015
ax: -0.0259094 | ay: 0.153641 | az: -0.0302582
ax: -0.0197449 | ay: 0.131744 | az: -0.0298615
ax: -0.0329132 | ay: 0.161743 | az: -0.011261
ax: -0.0279541 | ay: 0.143082 | az: -0.0450134
ax: -0.0171204 | ay: 0.119141 | az: -0.050705
ax: -0.0270233 | ay: 0.121887 | az: -0.039505
ax: -0.0652924 | ay: 0.121552 | az: -0.0371704
ax: -0.0669708 | ay: 0.146729 | az: -0.0395813
ax: -0.0942078 | ay: 0.150116 | az: -0.027771
ax: -0.130478 | ay: 0.117065 | az: -0.0821838
ax: -0.139191 | ay: 0.189255 | az: -0.0422974
ax: -0.159134 | ay: 0.150574 | az: -0.0528717
ax: -0.184982 | ay: 0.211853 | az: -0.0939178
ax: -0.207169 | ay: 0.100449 | az: -0.0948486
ax: -0.242401 | ay: 0.129562 | az: -0.0474091
ax: -0.25589 | ay: 0.155823 | az: -0.0175171
ax: -0.36882 | ay: 0.20578 | az: -0.0586243
ax: -0.551834 | ay: 0.256882 | az: -0.170868
ax: -0.711685 | ay: 0.479568 | az: -0.296509
ax: -0.885574 | ay: 0.765884 | az: -0.466629
ax: -0.691147 | ay: 1.09473 | az: -0.139404
ax: -0.726685 | ay: 0.605728 | az: 0.152451
ax: -0.479889 | ay: 0.3405 | az: -0.230377
ax: -0.461334 | ay: 0.328094 | az: -0.325211
ax: 0.0704041 | ay: 0.285278 | az: -0.603836
ax: 0.387527 | ay: -0.0239105 | az: -0.400742
ax: 0.00440979 | ay: 0.250748 | az: -0.286804
ax: 0.514999 | ay: 0.583206 | az: -0.213455
ax: 0.477539 | ay: 0.825592 | az: -0.0609741
ax: 0.560196 | ay: 0.575058 | az: -0.123306
ax: 0.594833 | ay: 0.460754 | az: -0.123184
ax: 0.580811 | ay: 0.389511 | az: -0.128754
ax: 0.543182 | ay: 0.3815 | az: -0.0916595
ax: 0.483887 | ay: 0.376831 | az: -0.113495
ax: 0.338959 | ay: 0.306152 | az: -0.0964508
time: 6
[20210810072610.390]
> sum ax: -2.38344 | sum ay: 11.9282 | sum az: -5.2126
>> avg ax: -0.0476688 | avg ay: 0.238563 | avg az: -0.104252
>>> vx: -0.233577 | vy: 1.16896 | vz: -0.510835
>>> sx: -0.215794 | sy: 0.373708 | sz: -0.179648
>>> a: 0.264676
>>> v: 1.29691
>>> s: 0.467438

ax: 0.128281 | ay: 0.147278 | az: -0.106491
ax: -0.0700531 | ay: 0.0403595 | az: -0.020752
ax: -0.272003 | ay: -0.000366211 | az: 0.0872803
ax: -0.47937 | ay: -0.227585 | az: 0.085434
ax: -0.60701 | ay: -0.432556 | az: 0.0194702
ax: -0.751266 | ay: -0.755173 | az: -0.0418243
ax: -0.794266 | ay: -0.91655 | az: 0.015213
ax: -0.770203 | ay: -1.17131 | az: 0.0240479
ax: -0.812622 | ay: -1.38667 | az: 0.0614014
ax: -0.676117 | ay: -1.49342 | az: 0.233856
ax: -0.4319 | ay: -1.49789 | az: 0.442093
ax: -0.398148 | ay: -1.55215 | az: 0.577957
ax: -0.35025 | ay: -1.60548 | az: 0.510986
ax: -0.53746 | ay: -1.08446 | az: 0.591156
ax: -0.210861 | ay: 1.70158 | az: -0.263016
ax: -0.633072 | ay: -0.839691 | az: 0.606857
ax: -0.38385 | ay: -0.381424 | az: -0.228027
ax: -0.129837 | ay: -0.176697 | az: 0.0789948
ax: -0.067215 | ay: -0.327988 | az: -0.101715
ax: -0.0328217 | ay: -0.249146 | az: 0.064621
ax: -0.0199432 | ay: -0.0902863 | az: 0.098877
ax: 0.0140533 | ay: 0.0214539 | az: 0.0436707
ax: -0.019516 | ay: 0.0118866 | az: 0.0926971
ax: -0.055069 | ay: 0.0612793 | az: -0.0014801
ax: 0.0326996 | ay: 0.0969543 | az: -0.138123
ax: 0.00730896 | ay: 0.0568085 | az: -0.178665
ax: 0.01828 | ay: 0.151718 | az: -0.113373
ax: 0.0166321 | ay: 0.187103 | az: -0.000946045
ax: -0.0280762 | ay: 0.0938873 | az: 0.0293884
ax: -0.0216827 | ay: 0.0570984 | az: -0.0328369
ax: 0.03479 | ay: 0.0745544 | az: -0.0601654
ax: 0.00482178 | ay: 0.0722504 | az: -0.0497742
ax: 0.00334167 | ay: 0.0775146 | az: -0.016449
ax: -0.00912476 | ay: 0.0739899 | az: 0.0480957
ax: 0.013855 | ay: 0.0908356 | az: -0.0158386
ax: -0.004776 | ay: 0.0721436 | az: -0.017807
ax: -0.0116882 | ay: 0.0068512 | az: 0.00411987
ax: -0.0362854 | ay: 0.0394592 | az: 0.0146179
