>>> vx: 0.482694 | vy: 0.611163 | vz: 0.382869
>>> sx: -0.00695874 | sy: 0.382619 | sz: 0.244786
>>> a: 0.0885525
>>> v: 0.867815
>>> s: 0.454275

ax: 0.0486755 | ay: -0.0614166 | az: -0.107025
ax: 0.0240936 | ay: -0.0744934 | az: -0.113739
ax: 0.0477448 | ay: -0.0978851 | az: -0.100693
ax: 0.0482025 | ay: -0.0970459 | az: -0.121078
ax: 0.0890045 | ay: -0.0894165 | az: -0.132538
ax: 0.121811 | ay: -0.150757 | az: -0.1035
ax: 0.179993 | ay: -0.147614 | az: -0.0305481
ax: 0.146317 | ay: -0.0997467 | az: -0.147232
ax: 0.210846 | ay: -0.0714569 | az: -0.173676
ax: 0.244858 | ay: -0.154175 | az: -0.194565
ax: 0.301086 | ay: -0.229813 | az: -0.20108
ax: 0.374557 | ay: -0.209534 | az: -0.193008
ax: 0.423386 | ay: -0.214203 | az: -0.28714
ax: 0.563995 | ay: -0.2034 | az: -0.41275
ax: 0.754776 | ay: -0.261932 | az: -0.418015
ax: 1.0874 | ay: -0.490829 | az: -0.780045
ax: 0.994476 | ay: -0.60881 | az: -0.879089
ax: 0.593124 | ay: -0.523148 | az: -0.647964
ax: 0.471832 | ay: 0.194824 | az: -0.518951
ax: 0.284882 | ay: -0.0982513 | az: -0.789108
ax: -0.879776 | ay: 0.186295 | az: -0.289505
ax: -0.536469 | ay: 0.237946 | az: -0.131256
ax: -0.403381 | ay: -0.491272 | az: -0.389557
ax: -0.712967 | ay: -0.560745 | az: -0.568329
ax: -0.789841 | ay: -0.7052 | az: -0.508469
ax: -0.770294 | ay: -0.647537 | az: -0.379044
ax: -0.675278 | ay: -0.393768 | az: -0.294449
ax: -0.658752 | ay: -0.238022 | az: -0.260742
ax: -0.59317 | ay: -0.211792 | az: -0.445282
ax: -0.24202 | ay: -0.0282135 | az: -0.350647
ax: -0.205566 | ay: -0.526657 | az: 0.0709534
ax: 0.194443 | ay: 0.220978 | az: 0.163315
ax: 0.510849 | ay: 0.332352 | az: 0.210175
ax: 0.572906 | ay: 0.427078 | az: 0.274338
ax: 0.861618 | ay: 0.478806 | az: 0.296448
ax: 0.904099 | ay: 0.645416 | az: 0.477737
ax: 0.941635 | ay: 0.61319 | az: 0.448227
ax: 0.90213 | ay: 0.694901 | az: 0.545792
ax: 0.728806 | ay: 0.718658 | az: 0.646606
ax: 0.54657 | ay: 0.758286 | az: 0.575577
ax: 0.499023 | ay: 0.79007 | az: 0.797791
ax: 0.398941 | ay: 0.762161 | az: 1.03215
ax: 0.314926 | ay: 0.583664 | az: 0.892029
ax: 0.210831 | ay: 0.360306 | az: 0.756531
ax: 0.0930176 | ay: 0.185089 | az: 0.62645
ax: 0.0633087 | ay: 0.252838 | az: 0.507156
ax: 0.0373383 | ay: 0.353912 | az: 0.443054
ax: -0.322067 | ay: -0.352921 | az: -0.867752
ax: -0.250793 | ay: -0.196533 | az: -1.09471
ax: 0.431915 | ay: -0.355865 | az: -0.00665283
time: 3
[20210209184525.923]
> sum ax: 8.18304 | sum ay: 0.204315 | sum az: -3.17381
>> avg ax: 0.163661 | avg ay: 0.0040863 | avg az: -0.0634763
>>> vx: 1.60388 | vy: 0.0400459 | vz: -0.622067
>>> sx: 0.757838 | sy: -0.508568 | sz: -0.932771
>>> a: 0.175587
>>> v: 1.72075
>>> s: 1.305

ax: 0.559891 | ay: -0.750702 | az: -0.501175
ax: 0.379272 | ay: -0.240204 | az: 0.257019
ax: 0.0140991 | ay: -0.0669403 | az: -0.00753784
ax: -0.0140991 | ay: 0.326431 | az: -0.154022
ax: 0.241913 | ay: 0.462265 | az: -0.0565338
ax: 0.0280609 | ay: -0.122696 | az: 0.136963
ax: 0.165665 | ay: -0.00512695 | az: 0.106415
ax: 0.0112915 | ay: -0.1716 | az: 0.0123749
ax: -0.0207672 | ay: -0.0979614 | az: -0.126343
ax: 0.00982666 | ay: -0.148209 | az: -0.194107
ax: 0.0140839 | ay: 0.0341034 | az: -0.245438
ax: -0.0689087 | ay: -0.119659 | az: -0.111969
ax: 0.00532532 | ay: -0.184814 | az: -0.104782
ax: -0.00154114 | ay: -0.111816 | az: -0.0876007
ax: -0.00444031 | ay: -0.0362701 | az: -0.105713
ax: 0.0207367 | ay: -0.0476837 | az: -0.12352
ax: 0.010498 | ay: -0.0741119 | az: -0.105637
ax: 0.0246887 | ay: -0.0974426 | az: -0.122787
ax: 0.0398102 | ay: -0.105103 | az: -0.0634918
ax: 0.0405121 | ay: -0.0896606 | az: -0.0747375
ax: 0.0270538 | ay: -0.0792389 | az: -0.0829163
ax: 0.0340424 | ay: -0.111603 | az: -0.10762
ax: 0.0534821 | ay: -0.085434 | az: -0.0892792
ax: 0.0680084 | ay: -0.0865784 | az: -0.12355
ax: 0.0489349 | ay: -0.0708618 | az: -0.101898
ax: 0.0415955 | ay: -0.0797424 | az: -0.171387
ax: 0.0600586 | ay: -0.0608368 | az: -0.0953979
ax: 0.115067 | ay: -0.106766 | az: -0.125793
ax: 0.175018 | ay: -0.135529 | az: -0.13002
ax: 0.196381 | ay: -0.129318 | az: -0.167908
ax: 0.218689 | ay: -0.185226 | az: -0.155579
ax: 0.252762 | ay: -0.253067 | az: -0.15802
