>>> v: 4.16174
>>> s: 1.4157

ax: -0.439789 | ay: -0.326736 | az: -0.573074
ax: -0.183075 | ay: -0.143082 | az: -0.612717
ax: -0.0419159 | ay: -0.518204 | az: -0.053894
ax: 0.305252 | ay: 0.0743103 | az: 0.0373535
ax: 0.564972 | ay: 0.145538 | az: 0.0970306
ax: 0.780945 | ay: 0.499344 | az: 0.246475
ax: 1.02835 | ay: 0.703217 | az: 0.226257
ax: 1.05406 | ay: 1.27362 | az: 0.342743
ax: 1.08078 | ay: 1.46144 | az: 0.473373
ax: 0.733643 | ay: 1.45955 | az: 0.835419
ax: 0.543945 | ay: 1.06526 | az: 1.10394
ax: 0.514343 | ay: 0.833084 | az: 1.179
ax: 0.546661 | ay: 0.629105 | az: 1.01759
ax: 0.497864 | ay: 0.573013 | az: 1.25838
ax: -0.0564728 | ay: -0.61676 | az: -0.174774
ax: 0.132523 | ay: -1.11522 | az: -0.632843
ax: 0.882553 | ay: -0.158905 | az: 0.129745
ax: 0.447266 | ay: -0.0784454 | az: 0.21756
ax: 0.0776367 | ay: 0.0917511 | az: 0.0413208
ax: 0.0683441 | ay: 0.486679 | az: -0.110001
ax: 0.178513 | ay: 0.267517 | az: -0.0365906
ax: -0.0482025 | ay: 0.0425568 | az: 0.00500488
ax: -0.0627441 | ay: -0.06633 | az: -0.0586395
ax: -0.0217896 | ay: -0.123032 | az: -0.0447693
ax: 0.033844 | ay: -0.123062 | az: -0.0323486
ax: 0.0335846 | ay: -0.0436096 | az: -0.170761
ax: 0.0144653 | ay: 0.0224304 | az: -0.21077
ax: 0.00820923 | ay: -0.0529022 | az: -0.195847
ax: -0.0236969 | ay: -0.115524 | az: -0.177185
ax: 0.0160675 | ay: -0.213043 | az: -0.123459
ax: -0.0188141 | ay: -0.133331 | az: -0.167984
ax: -0.0131836 | ay: -0.0598602 | az: -0.133606
ax: -0.0183258 | ay: -0.0618896 | az: -0.202316
ax: -0.00259399 | ay: -0.0571136 | az: -0.183456
ax: 0.0127869 | ay: -0.0765076 | az: -0.0898743
ax: 0.0263672 | ay: -0.0891266 | az: -0.0838013
ax: 0.0104675 | ay: -0.0877075 | az: -0.140945
ax: 0.0353851 | ay: -0.117401 | az: -0.205307
ax: 0.0359802 | ay: -0.123947 | az: -0.188004
ax: 0.0468903 | ay: -0.140411 | az: -0.165253
ax: 0.0466003 | ay: -0.163589 | az: -0.167526
ax: 0.141342 | ay: -0.146866 | az: -0.148087
ax: 0.156631 | ay: -0.277939 | az: -0.268372
ax: 0.282318 | ay: -0.237289 | az: -0.205185
ax: 0.32814 | ay: -0.315994 | az: -0.193741
ax: 0.445282 | ay: -0.27507 | az: -0.220596
ax: 0.498322 | ay: -0.25029 | az: -0.322861
ax: 0.67659 | ay: -0.234009 | az: -0.504272
ax: 0.994843 | ay: -0.2892 | az: -0.560074
ax: 1.12718 | ay: -0.750824 | az: -1.16197
time: 3
[20210209183320.761]
> sum ax: 13.4783 | sum ay: 2.0452 | sum az: -1.30971
>> avg ax: 0.269567 | avg ay: 0.0409039 | avg az: -0.0261942
>>> vx: 2.64176 | vy: 0.400858 | vz: -0.256703
>>> sx: 1.42169 | sy: 0.88233 | sz: 0.503026
>>> a: 0.273908
>>> v: 2.6843
>>> s: 1.74721

ax: 1.14931 | ay: -1.01973 | az: -1.30452
ax: 1.01144 | ay: -0.790222 | az: -0.700974
ax: 0.700272 | ay: -0.0597534 | az: -1.04834
ax: 0.877579 | ay: -0.049408 | az: -1.19257
ax: -0.773865 | ay: -0.0235138 | az: -0.545334
ax: -0.106186 | ay: 0.268555 | az: -0.211746
ax: -0.135712 | ay: -0.60614 | az: -0.657669
ax: -0.557144 | ay: -0.593094 | az: -0.908508
ax: -0.717911 | ay: -0.61351 | az: -0.74115
ax: -0.71257 | ay: -0.538635 | az: -0.647903
ax: -0.696198 | ay: -0.385513 | az: -0.57962
ax: -0.641357 | ay: -0.332626 | az: -0.490356
ax: -0.590088 | ay: -0.291855 | az: -0.480072
ax: -0.543716 | ay: -0.281494 | az: -0.574524
ax: -0.368698 | ay: -0.298187 | az: -0.519852
ax: -0.0654144 | ay: -0.103836 | az: -0.346848
ax: 0.135834 | ay: -0.310532 | az: -0.00901794
ax: 0.530487 | ay: 0.194809 | az: 0.108215
ax: 0.964005 | ay: 0.278412 | az: 0.181168
ax: 1.05789 | ay: 0.450073 | az: 0.679504
ax: 1.09697 | ay: 1.03473 | az: 0.956787
ax: 1.13458 | ay: 1.3793 | az: 1.20491
ax: 1.16046 | ay: 1.22394 | az: 1.60007
ax: 0.919724 | ay: 1.36591 | az: 2.32242
ax: 0.647583 | ay: 1.50749 | az: 1.40974
ax: 0.393692 | ay: 1.11807 | az: 0.309448
ax: -0.223572 | ay: -0.772842 | az: -1.03014
ax: 0.382568 | ay: -1.11102 | az: 0.111008
ax: 0.72525 | ay: 0.219864 | az: 0.0940399
ax: 0.768478 | ay: 0.314957 | az: 0.400299
ax: 0.163284 | ay: 0.289612 | az: 0.155914
ax: 0.186432 | ay: 0.184464 | az: 0.0724487
ax: 0.0529175 | ay: 0.261566 | az: 0.13829
ax: -0.0222015 | ay: 0.100998 | az: -0.0636597
ax: 0.0695496 | ay: -0.145203 | az: -0.0122833
ax: -0.0237885 | ay: -0.170654 | az: 0.025177
ax: -0.014328 | ay: 0.00216675 | az: -0.0814667
ax: 0.0343781 | ay: 0.0643005 | az: -0.19574
ax: -0.0453644 | ay: -0.0807648 | az: -0.191544
ax: -0.0445862 | ay: -0.1241 | az: -0.0900116
ax: -0.00614929 | ay: -0.107239 | az: -0.100815
ax: -0.00346375 | ay: -0.0280457 | az: -0.174606
ax: -0.0129547 | ay: -0.0521088 | az: -0.221603
ax: -0.0500488 | ay: -0.0236359 | az: -0.150314
ax: 0.00119019 | ay: -0.061615 | az: -0.067688
ax: 0.0480042 | ay: -0.131058 | az: -0.0215149
ax: 0.0512085 | ay: -0.138397 | az: -0.0751038
ax: 0.059082 | ay: -0.0878601 | az: -0.102371
ax: 0.0863037 | ay: -0.0444489 | az: -0.0388641
ax: 0.0777435 | ay: -0.146973 | az: -0.0774841
time: 4
[20210209183321.754]
> sum ax: 8.13091 | sum ay: 0.735199 | sum az: -3.88477
>> avg ax: 0.162618 | avg ay: 0.014704 | avg az: -0.0776953
>>> vx: 1.59366 | vy: 0.144099 | vz: -0.761414
>>> sx: 0.862569 | sy: -0.185735 | sz: -0.989859
>>> a: 0.180824
>>> v: 1.77208
>>> s: 1.32603

ax: 0.118515 | ay: -0.13324 | az: -0.164993
ax: 0.225571 | ay: -0.226227 | az: -0.141418
ax: 0.23172 | ay: -0.218384 | az: -0.172302
ax: 0.290466 | ay: -0.24556 | az: -0.164413
ax: 0.386536 | ay: -0.205399 | az: -0.234955
ax: 0.429138 | ay: -0.254669 | az: -0.294601
ax: 0.611725 | ay: -0.196381 | az: -0.42157
ax: 0.921463 | ay: -0.156479 | az: -0.544373
ax: 1.11174 | ay: -0.417694 | az: -1.08733
ax: 1.13387 | ay: -1.00035 | az: -1.43062
ax: 1.16214 | ay: -1.03432 | az: -0.779251
ax: 0.807175 | ay: -0.438934 | az: -0.960236
ax: 0.864517 | ay: -0.259659 | az: -1.11711
ax: -0.685074 | ay: -0.259064 | az: -0.709534
ax: -0.172699 | ay: 0.372482 | az: -0.00845337
ax: -0.268753 | ay: -0.351059 | az: -0.354675
ax: -0.673615 | ay: -0.409988 | az: -0.838715
ax: -0.826172 | ay: -0.698593 | az: -0.777344
ax: -0.824249 | ay: -0.583771 | az: -0.709747
ax: -0.749435 | ay: -0.384491 | az: -0.584351
ax: -0.724808 | ay: -0.263535 | az: -0.509811
ax: -0.651581 | ay: -0.206909 | az: -0.42067
ax: -0.589218 | ay: -0.179749 | az: -0.453461
ax: -0.503006 | ay: -0.150421 | az: -0.423752
ax: -0.195175 | ay: 0.0107269 | az: -0.297592
ax: 0.0274811 | ay: -0.199768 | az: 0.0296631
ax: 0.513687 | ay: 0.171204 | az: 0.094574
ax: 1.03598 | ay: 0.547653 | az: 0.280243
ax: 1.07004 | ay: 0.930511 | az: 0.41214
ax: 1.11333 | ay: 1.31625 | az: 0.618027
ax: 1.15335 | ay: 1.68808 | az: 1.00627
ax: 1.17075 | ay: 1.24748 | az: 1.79854
ax: 0.856491 | ay: 1.03336 | az: 2.31114
ax: 1.16312 | ay: 1.29953 | az: 0.906952
ax: -0.39769 | ay: 0.497269 | az: 0.167252
ax: -0.0242157 | ay: -1.50621 | az: -0.767273
ax: 0.633087 | ay: -1.22884 | az: 0.397247
ax: 1.07983 | ay: 0.517609 | az: -0.00201416
ax: 0.441177 | ay: 0.155304 | az: 0.431427
ax: 0.0904846 | ay: 0.357849 | az: 0.0380249
ax: 0.165726 | ay: 0.488632 | az: 0.123138
ax: 0.134354 | ay: 0.181549 | az: 0.172974
ax: 0.0324707 | ay: 0.00456238 | az: 0.017395
ax: -0.0615845 | ay: -0.317444 | az: 0.0733643
ax: 0.0297241 | ay: -0.0289764 | az: -0.0254669
ax: 0.0209808 | ay: 0.0851288 | az: -0.124634
ax: 0.0232544 | ay: 0.0202179 | az: -0.162384
ax: -0.0361481 | ay: -0.084259 | az: -0.0419159
ax: -0.00746155 | ay: -0.130173 | az: 0.00161743
ax: 0.0104218 | ay: -0.0545807 | az: -0.0205841
time: 5
[20210209183322.753]
> sum ax: 11.6694 | sum ay: -0.899719 | sum az: -5.86555
>> avg ax: 0.233388 | avg ay: -0.0179944 | avg az: -0.117311
>>> vx: 2.28721 | vy: -0.176345 | vz: -1.14965
>>> sx: 1.26432 | sy: -0.623181 | sz: -1.40704
>>> a: 0.261832
