>>> sx: -1.26578 | sy: 1.87488 | sz: -0.199715
>>> a: 0.31795
>>> v: 3.11591
>>> s: 2.27096

ax: -0.0722198 | ay: 0.141663 | az: -0.00933838
ax: -0.0128326 | ay: 0.251663 | az: -0.0511322
ax: 0.00634766 | ay: 0.207794 | az: -0.0336914
ax: -0.0305176 | ay: 0.215988 | az: -0.0704956
ax: 0.0218506 | ay: 0.25914 | az: -0.122925
ax: 0.0604553 | ay: 0.345245 | az: -0.0808258
ax: 0.0310059 | ay: 0.267975 | az: -0.00784302
ax: -0.00389099 | ay: 0.213181 | az: -0.0416565
ax: 0.00100708 | ay: 0.185638 | az: -0.0392303
ax: 0.0137787 | ay: 0.255051 | az: -0.0532379
ax: -0.0065155 | ay: 0.27417 | az: -0.0354309
ax: -0.0303802 | ay: 0.215302 | az: 0.000793457
ax: -0.0581665 | ay: 0.123749 | az: -0.0078125
ax: -0.0732269 | ay: 0.151459 | az: -0.0359039
ax: -0.110825 | ay: 0.293045 | az: -0.047226
ax: -0.152283 | ay: 0.267365 | az: -0.0467987
ax: -0.183304 | ay: 0.31308 | az: -0.0767212
ax: -0.242889 | ay: 0.268021 | az: -0.0506439
ax: -0.348846 | ay: 0.240021 | az: -0.0103607
ax: -0.396805 | ay: 0.321976 | az: 0.0719757
ax: -0.487595 | ay: 0.374023 | az: -0.0506744
ax: -0.654938 | ay: 0.415558 | az: -0.133057
ax: -0.927399 | ay: 0.391647 | az: -0.352371
ax: -1.1843 | ay: 0.88533 | az: -0.573929
ax: -1.20932 | ay: 1.68697 | az: -0.224731
ax: -1.23752 | ay: 1.62682 | az: 0.510681
ax: -0.812714 | ay: 1.0645 | az: -0.110245
ax: -0.577484 | ay: 0.913818 | az: -0.644928
ax: -0.0391693 | ay: 0.94252 | az: -0.374222
ax: 0.26152 | ay: -0.0360565 | az: -0.217407
ax: 0.0992889 | ay: 0.303192 | az: -0.264618
ax: 0.335388 | ay: 0.673721 | az: -0.134872
ax: 0.615341 | ay: 1.04974 | az: -0.0163116
ax: 0.657959 | ay: 1.03242 | az: -0.0419006
ax: 0.5952 | ay: 0.862946 | az: -0.053299
ax: 0.584961 | ay: 0.596588 | az: -0.111404
ax: 0.515076 | ay: 0.492157 | az: -0.0698547
ax: 0.445526 | ay: 0.55423 | az: -0.0282593
ax: 0.336899 | ay: 0.502274 | az: -0.0666809
ax: 0.119278 | ay: 0.477112 | az: -0.111145
ax: -0.199905 | ay: 0.336029 | az: -0.172882
ax: -0.700851 | ay: -0.130417 | az: -0.169907
ax: -1.01503 | ay: -0.623016 | az: -0.119904
ax: -1.03487 | ay: -1.46883 | az: -0.161743
ax: -1.05679 | ay: -2.08571 | az: -0.111816
ax: -0.881592 | ay: -2.31721 | az: -0.280716
ax: -0.517838 | ay: -2.1447 | az: -0.0498047
ax: -0.40654 | ay: -1.80148 | az: 0.142914
ax: -0.462585 | ay: -1.66203 | az: 0.111908
ax: -0.21756 | ay: 0.676208 | az: -0.414307
time: 3
[20201201132805.432]
> sum ax: -10.6458 | sum ay: 8.39987 | sum az: -5.04399
>> avg ax: -0.212916 | avg ay: 0.167997 | avg az: -0.10088
>>> vx: -2.08658 | vy: 1.64637 | vz: -0.988622
>>> sx: -0.811111 | sy: 1.77098 | sz: -0.423845
>>> a: 0.289367
>>> v: 2.8358
>>> s: 1.99347

ax: 0.215042 | ay: 1.77498 | az: 0.498322
ax: -0.384293 | ay: -0.751373 | az: 0.539642
ax: -0.328964 | ay: 0.169464 | az: 0.240448
ax: -0.089447 | ay: -0.0012207 | az: 0.0991974
ax: -0.0445251 | ay: -0.0658569 | az: -0.228241
ax: -0.178879 | ay: -0.133301 | az: -0.172043
ax: -0.0116425 | ay: -0.0207825 | az: -0.0838776
ax: -0.0990601 | ay: -0.0793152 | az: -0.151779
ax: -0.0364838 | ay: 0.154343 | az: -0.0302277
ax: -0.0273285 | ay: 0.0889893 | az: -0.0670013
ax: -0.0219879 | ay: 0.150879 | az: 0.00535583
ax: -0.0179138 | ay: 0.15921 | az: 0.0489044
ax: 0.0384979 | ay: 0.130997 | az: 0.0276337
ax: 0.0279999 | ay: 0.156342 | az: -0.00996399
ax: 0.0147095 | ay: 0.15239 | az: -0.000717163
ax: 0.00634766 | ay: 0.141281 | az: -0.0229492
ax: 0.00340271 | ay: 0.127625 | az: -0.0344849
ax: -0.00204468 | ay: 0.183411 | az: -0.0480957
ax: -0.0234528 | ay: 0.217072 | az: -0.0387421
ax: -0.0556641 | ay: 0.208954 | az: -0.00498962
ax: -0.0997772 | ay: 0.134796 | az: 0.0327759
ax: -0.133896 | ay: 0.188568 | az: 0.0030365
ax: -0.10466 | ay: 0.262115 | az: 0.0295715
ax: -0.193924 | ay: 0.219391 | az: -0.0380554
ax: -0.299469 | ay: 0.190887 | az: -0.00743103
ax: -0.378662 | ay: 0.265182 | az: 0.146271
ax: -0.448669 | ay: 0.347519 | az: 0.119019
ax: -0.601486 | ay: 0.380005 | az: -0.0301208
ax: -0.78212 | ay: 0.447906 | az: -0.229355
ax: -1.14468 | ay: 0.72258 | az: -0.517105
ax: -1.16843 | ay: 1.48389 | az: -0.884857
ax: -1.19521 | ay: 1.65251 | az: -0.306778
ax: -0.868423 | ay: 1.48138 | az: 0.314987
ax: -0.578308 | ay: 0.960159 | az: -0.352325
ax: -0.313339 | ay: 1.11703 | az: -0.492676
ax: 0.240128 | ay: 0.419739 | az: -0.449219
ax: 0.0390167 | ay: -0.211838 | az: -0.269272
ax: 0.579041 | ay: 0.498413 | az: -0.107819
ax: 0.573318 | ay: 1.02911 | az: 0.0698853
