>>> sx: -0.252717 | sy: 0.429192 | sz: -0.230225
>>> a: 0.13228
>>> v: 0.64817
>>> s: 0.548704

ax: 0.102585 | ay: -0.184128 | az: -0.249573
ax: 0.0573273 | ay: -0.268387 | az: -0.258865
ax: -0.0232239 | ay: -0.0808258 | az: -0.041153
ax: -0.115616 | ay: 0.221725 | az: 0.000595093
ax: -0.00534058 | ay: 0.245667 | az: 0.0261841
ax: 0.0464325 | ay: 0.246613 | az: 0.0474396
ax: -0.0588074 | ay: 0.0859222 | az: -0.12587
ax: -0.0500946 | ay: 0.139526 | az: -0.181915
ax: 0.0538483 | ay: 0.0297394 | az: -0.299194
ax: -0.0443573 | ay: 0.12233 | az: -0.11203
ax: 0.0105743 | ay: 0.276031 | az: 0.00837708
ax: 0.0395813 | ay: 0.217819 | az: 0.0216827
ax: 0.0323029 | ay: 0.1371 | az: -0.0177155
ax: 0.0226135 | ay: 0.0898438 | az: -0.0541077
ax: -0.0169067 | ay: 0.0773163 | az: -0.0626068
ax: 0.0259094 | ay: 0.194092 | az: -0.0751343
ax: -0.0334473 | ay: 0.220947 | az: -0.113129
ax: -0.0210876 | ay: 0.174759 | az: -0.00390625
ax: -0.0352783 | ay: 0.162369 | az: -0.00526428
ax: -0.0712585 | ay: 0.161026 | az: -0.0773926
ax: -0.0590363 | ay: 0.101074 | az: -0.153259
ax: -0.0196533 | ay: 0.124222 | az: -0.149673
ax: -0.0487366 | ay: 0.136719 | az: -0.173737
ax: -0.0800781 | ay: 0.23584 | az: -0.0968018
ax: -0.209534 | ay: 0.202072 | az: -0.176758
ax: -0.333359 | ay: 0.163681 | az: -0.371674
ax: -0.561249 | ay: 0.204407 | az: -0.260864
ax: -0.668869 | ay: 0.314667 | az: -0.134354
ax: -0.587753 | ay: 0.656006 | az: -0.139587
ax: -0.224213 | ay: 0.264999 | az: -0.352921
ax: 0.116898 | ay: 0.101089 | az: -0.465317
ax: 0.847931 | ay: 1.1315 | az: -0.751221
ax: 0.558289 | ay: 1.09645 | az: -0.790573
ax: 0.342834 | ay: 1.14403 | az: -0.576797
ax: 0.181686 | ay: 0.940445 | az: -0.453491
ax: -0.00737 | ay: 0.734543 | az: -0.303253
ax: -0.106705 | ay: 0.590485 | az: -0.149811
ax: -0.192612 | ay: 0.314346 | az: -0.0298157
ax: -0.270111 | ay: 0.122314 | az: 0.0429688
ax: -0.321518 | ay: 0.0499115 | az: 0.0848541
ax: -0.298767 | ay: -0.121078 | az: 0.0883789
ax: -0.287262 | ay: -0.118576 | az: 0.0798187
ax: -0.221451 | ay: -0.0727081 | az: 0.125458
ax: -0.199493 | ay: -0.0410767 | az: 0.187408
ax: -0.202164 | ay: -0.182449 | az: 0.262619
ax: -0.246719 | ay: -0.204208 | az: 0.276794
ax: -0.197098 | ay: -0.269669 | az: 0.291122
ax: -0.156647 | ay: -0.342346 | az: 0.34552
ax: -0.179001 | ay: -0.396149 | az: 0.301102
ax: -0.164795 | ay: -0.538361 | az: 0.356796
time: 3
[20210614163942.791]
> sum ax: -3.8808 | sum ay: 8.61166 | sum az: -4.66064
>> avg ax: -0.077616 | avg ay: 0.172233 | avg az: -0.0932129
>>> vx: -0.380318 | vy: 0.843943 | vz: -0.456743
>>> sx: -0.107157 | sy: 0.463537 | sz: -0.328825
>>> a: 0.210659
>>> v: 1.03223
>>> s: 0.578338

ax: -0.257706 | ay: -0.751724 | az: 0.300262
ax: -0.208664 | ay: -0.823563 | az: 0.238144
ax: -0.189545 | ay: -0.863297 | az: 0.229263
ax: -0.167313 | ay: -0.961487 | az: 0.283066
ax: -0.14621 | ay: -0.867432 | az: 0.450653
ax: -0.230331 | ay: -0.800797 | az: 0.543427
ax: -0.471878 | ay: -0.97998 | az: 0.4478
ax: -0.0735931 | ay: -1.00584 | az: 0.896423
ax: -0.0834198 | ay: 0.256409 | az: -0.649811
ax: -0.457962 | ay: 1.76787 | az: 0.196747
ax: -1.05003 | ay: -1.01634 | az: 0.770889
ax: -0.774734 | ay: 0.192291 | az: 0.135391
ax: 0.12088 | ay: -0.311737 | az: 0.0590363
ax: 0.288254 | ay: -0.115585 | az: -0.154465
ax: -0.112778 | ay: -0.187302 | az: -0.181351
ax: 0.0737152 | ay: 0.0677032 | az: 0.0455933
ax: -0.00897217 | ay: 0.10112 | az: 0.0287323
ax: -0.0324554 | ay: 0.231689 | az: -0.00166321
ax: 0.0314331 | ay: 0.303452 | az: -0.145523
ax: 0.108917 | ay: 0.25119 | az: -0.13446
ax: 0.0435791 | ay: 0.15184 | az: -0.221359
ax: 0.00338745 | ay: 0.0966339 | az: -0.158096
ax: -0.0224915 | ay: 0.169815 | az: 0.0306244
ax: -0.0498505 | ay: 0.14856 | az: 0.0307465
ax: -0.0363617 | ay: 0.0853882 | az: -0.016449
ax: 0.00270081 | ay: 0.0826569 | az: -0.0207214
ax: 0.0190582 | ay: 0.131546 | az: -0.0837555
ax: -0.0149536 | ay: 0.11908 | az: -0.0463104
ax: 0.010498 | ay: 0.139206 | az: -0.0512695
ax: -0.0279236 | ay: 0.0834351 | az: -0.0439453
ax: -0.0892792 | ay: 0.0953369 | az: -0.0205994
ax: -0.0552063 | ay: 0.155975 | az: -0.0257568
ax: 0.00553894 | ay: 0.161499 | az: -0.0902863
ax: -0.0207672 | ay: 0.308121 | az: -0.045929
ax: -0.0760651 | ay: 0.217606 | az: -0.126373
ax: -0.118088 | ay: 0.14502 | az: -0.102203
ax: -0.141495 | ay: 0.0932312 | az: -0.109253
ax: -0.246368 | ay: 0.209473 | az: -0.0455017
