ax: 0.0017395 | ay: 0.0045929 | az: -0.00248718
ax: 0.00733948 | ay: 0.00405884 | az: 0.0042572
ax: 0.00238037 | ay: 0.00964355 | az: 0.010498
ax: 0.00195312 | ay: -0.00193787 | az: -0.0143433
2: [20200915132544.452]
> sum ax: 0.079361 | sum ay: 0.0411987 | sum az: -0.198868
>> avg ax: 0.00158722 | avg ay: 0.000823975 | avg az: -0.00397736
>>> vx: 0.0242099 | vy: 0.0154202 | vz: -0.0550203
>>> sx: 0.0153569 | sy: 0.0100498 | sz: -0.0342587
>>> a: 0.00436091
>>> v: 0.0620575
>>> s: 0.0388651

ax: 0.00476074 | ay: 0.00994873 | az: 0.0113983
ax: -0.00384521 | ay: -0.00352478 | az: -0.0128937
ax: 0.00445557 | ay: 6.10352e-05 | az: -0.0128479
ax: 0.00440979 | ay: 0.00682068 | az: -0.00166321
ax: -4.57764e-05 | ay: -0.00720215 | az: 0.00422668
ax: -0.00726318 | ay: 0.00105286 | az: 0.00717163
ax: 0.00152588 | ay: 0.00202942 | az: -0.00112915
ax: -0.00468445 | ay: -0.0098877 | az: -0.00782776
ax: 0.00125122 | ay: 0.00286865 | az: -0.00582886
ax: 0.00593567 | ay: 0.00564575 | az: 0.00334167
ax: -0.00556946 | ay: 0.00123596 | az: -0.0092926
ax: 0.0108185 | ay: -0.00115967 | az: -0.0025177
ax: 0.00437927 | ay: 0.00556946 | az: 0.00376892
ax: 0.00279236 | ay: 0.000656128 | az: 0.00175476
ax: -0.00109863 | ay: 0.00354004 | az: -0.00752258
ax: 0.000976562 | ay: 0.00686646 | az: -0.0133667
ax: -0.000915527 | ay: -0.00186157 | az: 0.0018158
ax: 0.00204468 | ay: 0.0057373 | az: 0.00224304
ax: -0.000350952 | ay: 0.00221252 | az: -0.00363159
ax: -0.0012207 | ay: 0.00320435 | az: -0.0128632
ax: 0.00361633 | ay: 0.000732422 | az: -0.00410461
ax: -0.0030365 | ay: -0.00244141 | az: -0.019104
ax: 0.00100708 | ay: -0.00187683 | az: 1.52588e-05
ax: 0.00624084 | ay: -0.00270081 | az: -0.0087738
