ax: -0.193558 | ay: -1.12895 | az: 0.194519
ax: -0.434372 | ay: -0.36322 | az: 0.517258
ax: -1.13875 | ay: 1.36996 | az: 1.46759
ax: 0.677811 | ay: 2.20453 | az: 1.61757
ax: 1.48943 | ay: 2.31905 | az: 1.97034
ax: 1.59196 | ay: 2.43427 | az: 2.80302
ax: 1.62355 | ay: 2.47093 | az: 2.54147
ax: 1.37558 | ay: 2.39986 | az: 2.121
ax: -0.428284 | ay: 0.122345 | az: 2.83296
ax: 1.43971 | ay: 2.18605 | az: -0.280258
ax: 0.208893 | ay: 1.83406 | az: 2.74823
ax: 0.568604 | ay: 1.91621 | az: 1.02037
ax: 1.23915 | ay: 1.80374 | az: 1.1606
ax: 1.2261 | ay: 0.784393 | az: 0.746231
ax: 1.22607 | ay: -1.00053 | az: -1.32164
ax: 1.22037 | ay: -2.3943 | az: -1.51355
ax: 1.21408 | ay: -2.40688 | az: -1.53447
ax: 1.21597 | ay: 1.58937 | az: 0.372711
ax: 1.22804 | ay: 1.51657 | az: -0.906601
ax: 1.23831 | ay: -1.78699 | az: -0.478622
ax: 1.27405 | ay: -1.53587 | az: -0.922607
ax: 1.32971 | ay: -1.02574 | az: -1.33607
ax: 1.40207 | ay: -2.00208 | az: -0.993561
ax: 1.47697 | ay: -2.83801 | az: -1.04311
ax: 1.55588 | ay: -2.89584 | az: -1.08832
ax: 1.60934 | ay: -2.92255 | az: -0.754013
ax: -0.111862 | ay: -1.81451 | az: -0.858902
ax: -2.39339 | ay: -0.826736 | az: -1.45616
ax: -2.50375 | ay: 0.341812 | az: -0.880676
ax: -0.544067 | ay: -0.636444 | az: -1.14008
ax: -0.00140381 | ay: -0.0570526 | az: -0.82077
ax: 0.135712 | ay: -0.641785 | az: -0.696182
ax: -0.28186 | ay: -0.614166 | az: 0.186768
ax: -0.573273 | ay: 0.156418 | az: 0.669525
ax: -0.762833 | ay: 1.78026 | az: 1.79237
ax: 1.50266 | ay: 2.21725 | az: 2.15926
ax: 1.64435 | ay: 2.34113 | az: 2.51126
ax: 1.74269 | ay: 2.48572 | az: 2.83534
ax: 1.58891 | ay: 2.50992 | az: 2.23283
ax: 1.7126 | ay: 2.44911 | az: 1.742
ax: 1.60318 | ay: 2.33835 | az: 0.0119476
ax: 1.48332 | ay: -1.77621 | az: 2.82639
ax: -2.6098 | ay: 2.12543 | az: 2.40166
ax: 1.30768 | ay: -0.459869 | az: 2.7195
ax: 0.413391 | ay: 1.7233 | az: 1.86943
ax: 1.24069 | ay: 1.02585 | az: 0.866257
ax: 1.23341 | ay: 0.738876 | az: -0.530899
ax: 1.23087 | ay: -2.12971 | az: -1.46428
ax: 1.2204 | ay: -2.34805 | az: -1.47939
3: [20200927214208.244]
> sum ax: 33.6412 | sum ay: 12.4254 | sum az: 25.0715
>> avg ax: 0.672825 | avg ay: 0.248508 | avg az: 0.50143
>>> vx: 6.59368 | vy: 2.43538 | vz: 4.91402
>>> sx: 3.25827 | sy: 1.57488 | sz: 2.62352
>>> a: 0.875147
>>> v: 8.57644
>>> s: 4.46984

ax: 1.22159 | ay: 1.65858 | az: 0.770935
ax: -0.253372 | ay: 1.59216 | az: -0.677002
ax: 1.23073 | ay: -2.14981 | az: -0.461136
ax: 1.25932 | ay: -1.78761 | az: -0.988907
ax: 1.31454 | ay: -0.365875 | az: -1.35794
ax: 1.39212 | ay: -1.683 | az: -1.04193
ax: 1.46436 | ay: -2.80794 | az: -0.503159
ax: 1.54791 | ay: -2.88463 | az: -0.846741
ax: 1.61908 | ay: -2.92336 | az: -0.680847
ax: 0.152908 | ay: -2.24437 | az: -0.486725
ax: -2.34277 | ay: -1.67313 | az: -1.33463
ax: -2.42522 | ay: -0.350571 | az: -0.617416
ax: -0.99408 | ay: -0.900528 | az: -0.469589
ax: 0.217728 | ay: -0.62558 | az: -0.708908
ax: 0.373611 | ay: -0.520477 | az: -0.566635
ax: -0.0740662 | ay: -0.991608 | az: 0.130966
ax: -0.565063 | ay: -0.728561 | az: 0.493042
ax: -0.871674 | ay: 0.737015 | az: 1.11351
ax: 0.366013 | ay: 2.03903 | az: 1.94037
ax: 1.65215 | ay: 2.27608 | az: 2.53905
ax: 1.77774 | ay: 2.41899 | az: 2.73779
ax: 1.83589 | ay: 2.52132 | az: 1.84917
ax: 1.29086 | ay: 2.49406 | az: 2.29256
ax: 1.74733 | ay: 2.42273 | az: 0.583221
ax: 1.64267 | ay: 0.562057 | az: -1.12321
ax: 1.51213 | ay: -1.76619 | az: 0.83812
ax: -2.58852 | ay: 2.14192 | az: 2.79584
ax: 1.32928 | ay: 1.88037 | az: 2.74159
ax: 1.28188 | ay: 1.90253 | az: 2.17976
ax: 1.26109 | ay: 1.06805 | az: 0.970688
ax: 1.25348 | ay: -1.25562 | az: -1.32138
ax: 1.2458 | ay: -2.30499 | az: -1.4185
ax: 1.24229 | ay: -1.27896 | az: -1.38559
ax: 1.24336 | ay: 1.67792 | az: 0.16861
ax: 1.24576 | ay: 0.839828 | az: -0.626266
ax: 1.2467 | ay: -1.31795 | az: -0.301468
ax: 1.27155 | ay: -0.891602 | az: -0.549698
ax: 1.32571 | ay: -0.377075 | az: -1.42668
ax: 1.39178 | ay: -2.19403 | az: -1.08607
ax: 1.46141 | ay: -2.80879 | az: -0.608292
ax: 1.54321 | ay: -2.88477 | az: -0.930222
ax: 1.58176 | ay: -2.9209 | az: -0.823532
ax: 0.319946 | ay: -1.88416 | az: -0.62532
ax: -2.36581 | ay: -1.33835 | az: -1.36432
ax: -2.45848 | ay: -0.236786 | az: -0.757721
ax: -0.630676 | ay: -0.570953 | az: -0.968781
ax: 0.0579071 | ay: -0.522888 | az: -0.734589
ax: 0.410004 | ay: -0.423309 | az: -0.790344
ax: -0.00239563 | ay: -0.731781 | az: 0.179016
ax: -0.325745 | ay: -0.813843 | az: 0.367462
4: [20200927214209.231]
> sum ax: 28.4337 | sum ay: -20.9273 | sum az: -2.89186
>> avg ax: 0.568675 | avg ay: -0.418546 | avg az: -0.0578372
>>> vx: 5.57301 | vy: -4.10175 | vz: -0.566805
>>> sx: 3.11334 | sy: -1.80622 | sz: 0.00786612
>>> a: 0.708461
>>> v: 6.94292
>>> s: 3.59935

ax: -0.221832 | ay: 0.495071 | az: 1.03961
ax: 0.497711 | ay: 2.19711 | az: 2.0439
ax: 1.71031 | ay: 2.29419 | az: 2.43521
ax: 1.84135 | ay: 2.44894 | az: 2.87932
ax: 1.88748 | ay: 2.51839 | az: 1.80182
ax: 1.48883 | ay: 2.4761 | az: 2.6019
ax: 1.76482 | ay: 1.97412 | az: 0.789749
ax: 1.67181 | ay: -1.06337 | az: -1.11736
ax: 1.55284 | ay: 1.00502 | az: 2.86177
ax: 1.44328 | ay: 1.52473 | az: 2.82484
ax: 1.36562 | ay: -0.655167 | az: -0.730148
ax: 1.31828 | ay: 0.0423889 | az: 0.432617
ax: 1.2951 | ay: 0.30867 | az: -0.74736
ax: 1.28789 | ay: -2.2769 | az: -1.35487
ax: 1.28093 | ay: -2.31285 | az: -1.32481
ax: 1.27112 | ay: 1.14241 | az: -0.534195
ax: -0.123138 | ay: 1.66904 | az: 0.422302
ax: 1.2379 | ay: -2.11449 | az: -0.66391
ax: 1.23489 | ay: -1.22499 | az: -0.551514
ax: 1.25127 | ay: -0.60495 | az: -0.873062
ax: 1.29761 | ay: -0.641312 | az: -1.47874
ax: 1.35265 | ay: -2.45268 | az: -0.724518
ax: 1.41336 | ay: -2.78029 | az: -0.698044
ax: 1.47704 | ay: -2.84584 | az: -1.01949
ax: 1.05363 | ay: -2.88028 | az: -0.617386
ax: -0.305115 | ay: -1.71027 | az: -0.418182
ax: -2.4608 | ay: -0.711853 | az: -0.943481
ax: -2.55406 | ay: -0.0696259 | az: -0.616028
ax: -0.316452 | ay: -0.479843 | az: -0.782928
ax: 0.0171661 | ay: -0.188614 | az: -0.621445
ax: 0.268982 | ay: -0.605759 | az: -0.419693
ax: 0.0269623 | ay: -0.832535 | az: 0.48732
ax: -0.182953 | ay: -0.731705 | az: 0.674133
ax: -0.158752 | ay: 0.789398 | az: 1.23579
ax: 1.24165 | ay: 2.2524 | az: 1.74516
ax: 1.80325 | ay: 2.34026 | az: 2.29013
ax: 1.92966 | ay: 2.47472 | az: 2.87727
ax: 1.96822 | ay: 2.49928 | az: 1.75648
ax: 1.93288 | ay: 2.45128 | az: 2.62814
ax: 1.82251 | ay: 2.37868 | az: -1.09164
ax: 1.66872 | ay: 1.19942 | az: 2.88789
ax: -2.46397 | ay: 2.25435 | az: 2.52626
ax: 1.43721 | ay: -0.775574 | az: 2.56035
ax: 0.104218 | ay: -0.31459 | az: 0.472366
ax: 1.32211 | ay: 1.12032 | az: 0.330414
ax: 1.30298 | ay: 0.487976 | az: 0.437973
ax: 1.29425 | ay: -2.12364 | az: -1.00903
ax: 1.29118 | ay: -2.22388 | az: -1.3311
ax: 1.28575 | ay: 1.73607 | az: 0.224365
ax: -0.22551 | ay: 1.74704 | az: 0.733475
5: [20200927214210.245]
> sum ax: 43.7008 | sum ay: 11.2064 | sum az: 24.3316
>> avg ax: 0.874017 | avg ay: 0.224127 | avg az: 0.486633
>>> vx: 8.56536 | vy: 2.19645 | vz: 4.769
>>> sx: 4.88581 | sy: 1.22618 | sz: 2.59949
>>> a: 1.02516
>>> v: 10.0466
>>> s: 5.66851

ax: 1.2411 | ay: -1.59013 | az: -0.549927
ax: 1.23402 | ay: -1.08574 | az: -0.441788
ax: 1.24614 | ay: -0.704132 | az: -0.991867
ax: 1.28458 | ay: -0.778915 | az: -1.15498
ax: 1.33241 | ay: -2.40576 | az: -0.563171
ax: 1.38361 | ay: -2.74236 | az: -0.656525
ax: 1.4335 | ay: -2.80954 | az: -0.77655
ax: 1.14738 | ay: -2.82953 | az: 0.127518
ax: -0.865097 | ay: -1.90776 | az: -0.582932
ax: -2.54825 | ay: -0.200851 | az: -0.523941
ax: -2.62605 | ay: 0.185379 | az: -0.122452
ax: -1.024 | ay: -0.85376 | az: -0.248123
ax: -0.35257 | ay: -0.533844 | az: -0.475693
ax: 0.800919 | ay: -1.45863 | az: -0.113297
ax: 0.474075 | ay: -1.10397 | az: 0.517365
ax: 0.290695 | ay: -0.503296 | az: 0.676178
ax: 0.187393 | ay: 1.21585 | az: 1.23921
ax: 1.6196 | ay: 2.27708 | az: 2.0183
ax: 1.76146 | ay: 2.35091 | az: 2.53638
ax: 1.85759 | ay: 2.46674 | az: 2.8728
ax: 1.52431 | ay: 2.49553 | az: 2.51796
ax: 1.81664 | ay: 2.43773 | az: 0.319183
ax: 1.71207 | ay: -0.15625 | az: 2.89656
ax: 1.54613 | ay: 2.29857 | az: 2.36447
ax: -2.58885 | ay: 2.18011 | az: 2.17947
ax: 1.32742 | ay: 2.05745 | az: 1.48633
ax: 1.28709 | ay: 1.41841 | az: 1.89746
ax: 1.25517 | ay: -0.123627 | az: 0.725952
ax: 1.23706 | ay: -1.45264 | az: -0.964462
ax: 1.23448 | ay: -2.19229 | az: -1.386
ax: 1.23654 | ay: -2.19643 | az: -1.38553
ax: 1.22749 | ay: 1.78929 | az: 0.0389709
ax: 1.20898 | ay: 0.957977 | az: -0.562744
ax: 1.19679 | ay: -1.07455 | az: -0.419556
ax: 1.2054 | ay: -1.38 | az: -0.982101
ax: 1.23224 | ay: -0.833542 | az: -1.17957
ax: 1.27521 | ay: -2.06215 | az: -0.850708
ax: 1.32379 | ay: -2.54027 | az: -0.910614
ax: 1.36974 | ay: -2.76192 | az: -0.578812
ax: 1.01097 | ay: -2.75826 | az: -0.153854
ax: -1.07292 | ay: -1.46059 | az: -0.566559
ax: -2.36687 | ay: 0.0645599 | az: 0.0140686
ax: -1.91479 | ay: -0.0382385 | az: -0.196823
ax: -0.54538 | ay: -0.310074 | az: -0.73172
ax: -0.250427 | ay: -0.0634918 | az: -0.56337
ax: 0.00387573 | ay: -0.474487 | az: -0.271851
ax: -0.281967 | ay: -0.290421 | az: 0.389832
ax: -0.14296 | ay: 0.380219 | az: 0.860168
ax: -0.241348 | ay: 2.13394 | az: 1.93912
ax: 1.65958 | ay: 2.26186 | az: 2.2478
6: [20200927214211.236]
> sum ax: 27.364 | sum ay: -14.7058 | sum az: 10.9596
>> avg ax: 0.547279 | avg ay: -0.294117 | avg az: 0.219192
>>> vx: 5.36334 | vy: -2.88235 | vz: 2.14808
>>> sx: 3.19293 | sy: -2.27064 | sz: 0.870282
>>> a: 0.658836
>>> v: 6.45659
>>> s: 4.01348

