steps: 0
ax: -0.0608978 | ay: -0.043045 | az: 0.0332184
ax: -0.0608978 | ay: -0.043045 | az: 0.0332184
ax: -0.178391 | ay: -0.00457764 | az: 0.0719299
ax: -0.33046 | ay: -0.0155945 | az: -0.0627747
ax: -0.376312 | ay: -0.0268097 | az: -0.206482
ax: -0.574203 | ay: 0.0213776 | az: -0.139618
ax: -1.03522 | ay: 0.36496 | az: -0.190414
ax: -1.04608 | ay: 0.844559 | az: -0.539108
ax: -0.782181 | ay: 0.909714 | az: -0.250763
ax: -0.897202 | ay: 0.484879 | az: -0.150894
ax: -0.330444 | ay: 0.871719 | az: -0.330368
ax: -0.0464172 | ay: 0.0559692 | az: -0.568954
ax: 0.625412 | ay: -0.264496 | az: -0.299301
ax: 0.0778809 | ay: -0.165573 | az: -0.0817413
ax: 0.704437 | ay: 0.307251 | az: 0.071701
ax: 0.800308 | ay: 0.773102 | az: -0.0529175
ax: 0.86499 | ay: 0.593384 | az: -0.139328
ax: 0.790527 | ay: 0.494644 | az: -0.0338898
ax: 0.678558 | ay: 0.377396 | az: 0.0783234
ax: 0.625549 | ay: 0.28511 | az: 0.114166
ax: 0.626526 | ay: 0.265945 | az: 0.003479
ax: 0.536072 | ay: 0.154938 | az: -0.0166779
ax: 0.332108 | ay: 0.010788 | az: -0.0480347
ax: 0.112244 | ay: -0.043335 | az: 0.220062
ax: -0.182739 | ay: -0.141922 | az: 0.0787201
ax: -0.500641 | ay: -0.514954 | az: 0.0102539
ax: -0.798508 | ay: -0.778732 | az: 0.0428009
ax: -1.02969 | ay: -0.737564 | az: 0.0820312
ax: -1.0679 | ay: -1.27393 | az: 0.032074
ax: -0.90535 | ay: -1.30417 | az: 0.143768
ax: -0.874619 | ay: -1.26324 | az: 0.356262
ax: -0.840408 | ay: -1.41321 | az: 0.610977
ax: -0.768478 | ay: -1.95314 | az: 0.744751
ax: -0.576782 | ay: -1.63759 | az: 0.58577
ax: -0.522247 | ay: -1.54306 | az: 0.532639
ax: -0.188461 | ay: 0.674438 | az: 0.571777
ax: -0.229721 | ay: 1.10478 | az: 0.632538
ax: -0.578018 | ay: -0.766541 | az: 0.297516
ax: -0.49614 | ay: -0.472778 | az: 0.0974121
ax: -0.0268402 | ay: -0.255753 | az: -0.209579
ax: 0.0111237 | ay: -0.615509 | az: -0.625839
ax: -0.224548 | ay: -0.676743 | az: 0.0193329
ax: -0.327881 | ay: -0.488831 | az: 0.137985
ax: -0.169296 | ay: -0.150543 | az: 0.0748444
ax: -0.0803528 | ay: 0.0865021 | az: 0.233444
ax: -0.0974884 | ay: -0.012558 | az: 0.0622406
ax: -0.0118408 | ay: -0.236328 | az: -0.134476
ax: 0.0633698 | ay: -0.17804 | az: -0.203156
ax: 0.0375061 | ay: -0.16217 | az: -0.0951691
ax: 0.00567627 | ay: 0.0778503 | az: 0.205994
time: 1
[20210810071916.549]
> sum ax: -9.32437 | sum ay: -8.42447 | sum az: 1.79974
>> avg ax: -0.186487 | avg ay: -0.168489 | avg az: 0.0359949
>>> vx: -0.913788 | vy: -0.825598 | vz: 0.176375
>>> sx: -0.430262 | sy: -0.0505517 | sz: -0.0570078
>>> a: 0.253893
>>> v: 1.24408
>>> s: 0.436956

ax: -0.433563 | ay: -0.562729 | az: 0.148911
ax: -0.215134 | ay: -0.214218 | az: -0.10083
ax: 0.0469971 | ay: -0.412689 | az: -0.300583
ax: -0.211014 | ay: -0.663849 | az: -0.0949554
ax: -0.183014 | ay: -0.357239 | az: 0.0962219
ax: -0.134003 | ay: -0.2052 | az: 0.132248
ax: -0.156616 | ay: -0.255081 | az: 0.145554
ax: -0.112518 | ay: -0.141113 | az: 0.0759277
ax: -0.0454712 | ay: -0.114639 | az: -0.0122833
ax: -0.00494385 | ay: -0.115448 | az: -0.0952911
ax: -0.0157013 | ay: -0.197205 | az: -0.126877
ax: 0.00140381 | ay: -0.0666809 | az: 0.0331268
ax: -0.0092926 | ay: 0.0106812 | az: 0.133438
ax: -0.013031 | ay: -0.0192108 | az: 0.064682
ax: 0.00476074 | ay: -0.127335 | az: 0.0128021
ax: 0.0249023 | ay: -0.131561 | az: -0.0510101
ax: 0.0104218 | ay: -0.0674438 | az: 0.00141907
ax: -0.0116272 | ay: -0.0111389 | az: 0.0505524
ax: -0.0363617 | ay: -0.0601196 | az: 0.0484161
ax: -0.0368347 | ay: -0.0835571 | az: 0.0185242
ax: -0.024704 | ay: -0.0742798 | az: -0.00959778
ax: -0.0619202 | ay: -0.0337067 | az: 0.0324097
ax: -0.127136 | ay: -0.0217285 | az: 0.0199432
ax: -0.129639 | ay: 0.0248718 | az: 0.0265198
ax: -0.157562 | ay: 0.0356293 | az: 0.00727844
ax: -0.172379 | ay: 0.0478363 | az: 0.0230713
ax: -0.190613 | ay: 0.0612793 | az: 0.00198364
ax: -0.24205 | ay: 0.00268555 | az: -0.043335
ax: -0.365875 | ay: 0.0242462 | az: -0.0570068
ax: -0.423706 | ay: 0.0550385 | az: -0.105637
ax: -0.695267 | ay: 0.0697021 | az: -0.0997772
ax: -1.01683 | ay: 0.408615 | az: -0.268417
ax: -0.986847 | ay: 1.0999 | az: -0.524323
