>>> vx: -1.39332 | vy: -0.639873 | vz: 0.170742
>>> sx: -0.820911 | sy: -0.727455 | sz: 0.214201
>>> a: 0.314838
>>> v: 1.54271
>>> s: 1.11757

ax: -0.622421 | ay: 1.49255 | az: -0.593979
ax: -0.798553 | ay: 0.880035 | az: -0.199005
ax: -0.286484 | ay: 1.12111 | az: -0.153351
ax: -0.129303 | ay: 0.21582 | az: -0.222107
ax: 0.63208 | ay: -0.487061 | az: -0.593719
ax: 0.43605 | ay: 0.736526 | az: 0.0180817
ax: 0.779495 | ay: 1.2272 | az: -0.0563354
ax: 0.742554 | ay: 1.47369 | az: 0.0613251
ax: 0.608963 | ay: 0.88028 | az: 0.00588989
ax: 0.502441 | ay: 0.488541 | az: 0.000915527
ax: 0.488297 | ay: 0.356476 | az: 0.0120544
ax: 0.362579 | ay: 0.419342 | az: 0.0736084
ax: 0.238174 | ay: 0.347443 | az: 0.0206299
ax: 0.00973511 | ay: 0.319641 | az: 0.0404663
ax: -0.324417 | ay: 0.161636 | az: -0.0224457
ax: -0.903336 | ay: -0.176376 | az: 0.207092
ax: -1.08081 | ay: -0.598465 | az: 0.391556
ax: -1.12781 | ay: -1.48125 | az: 0.273575
ax: -1.16811 | ay: -2.10669 | az: 0.472549
ax: -0.958969 | ay: -2.41281 | az: 0.932602
ax: -0.806183 | ay: -2.51898 | az: 0.564377
ax: -0.478958 | ay: -1.45938 | az: 0.089386
ax: -0.281128 | ay: 1.53716 | az: -0.530533
ax: -1.0038 | ay: 0.245056 | az: 0.734329
ax: -1.06731 | ay: -2.38795 | az: -0.30246
ax: -0.839127 | ay: -0.144989 | az: 0.32608
ax: 0.115372 | ay: -0.41333 | az: 0.0984497
ax: 0.183548 | ay: -0.126389 | az: -0.20491
ax: 0.0297546 | ay: -0.581436 | az: -0.233536
ax: -0.0152893 | ay: -0.0624237 | az: -0.0493927
ax: -0.0245667 | ay: -0.124084 | az: 0.0123291
ax: -0.144104 | ay: 0.0233307 | az: 0.0787048
ax: -0.0194702 | ay: 0.0554962 | az: 0.0660095
ax: -0.000900269 | ay: 0.0145111 | az: -0.0520172
ax: 0.00630188 | ay: 0.10376 | az: 0.00733948
ax: -0.0379333 | ay: -0.0296173 | az: -0.0455933
ax: -0.029953 | ay: -0.0612488 | az: 0.0738373
