ax: 0.642059 | ay: 0.485718 | az: 0.0689545
ax: -0.110779 | ay: -0.0446472 | az: 0.0342712
ax: -0.192307 | ay: -0.131256 | az: -0.0322418
ax: -0.258163 | ay: -0.0835876 | az: -0.0376587
ax: -0.339859 | ay: 0.103424 | az: -0.0108185
ax: -0.317963 | ay: 0.0168762 | az: 0.0954742
ax: -0.351654 | ay: -0.0765533 | az: 0.0904236
ax: -0.151642 | ay: 0.106888 | az: 0.0452728
ax: -0.0504913 | ay: -0.13208 | az: -0.0401306
ax: 0.0859833 | ay: -0.0977173 | az: -0.17984
ax: 0.280807 | ay: 0.230453 | az: -0.0750885
ax: 0.239716 | ay: 0.00643921 | az: 0.0676575
ax: 0.302429 | ay: 0.284775 | az: 0.111389
ax: 0.333862 | ay: 0.244202 | az: 0.111633
ax: 0.269302 | ay: 0.192993 | az: 0.130859
ax: 0.235886 | ay: 0.171661 | az: 0.148529
ax: 0.190964 | ay: 0.147522 | az: 0.166199
ax: 0.120056 | ay: 0.104523 | az: 0.158783
ax: 0.0293732 | ay: 0.0633698 | az: 0.154572
ax: -0.051239 | ay: -0.00476074 | az: 0.103851
ax: -0.104904 | ay: -0.0708923 | az: 0.032486
ax: -0.153534 | ay: -0.127945 | az: -0.0123444
ax: -0.222366 | ay: -0.239716 | az: -0.0478973
ax: -0.226501 | ay: -0.296783 | az: -0.068985
ax: -0.23642 | ay: -0.309174 | az: -0.118637
ax: -0.24704 | ay: -0.307434 | az: -0.134308
ax: -0.230301 | ay: -0.359482 | az: -0.172806
ax: -0.190323 | ay: -0.463684 | az: -0.202927
ax: -0.1259 | ay: -0.474991 | az: -0.233444
ax: -0.124115 | ay: -0.565628 | az: -0.252182
ax: -0.0920715 | ay: -0.635406 | az: -0.203262
ax: -0.0343933 | ay: -0.487473 | az: -0.211655
ax: -0.0434113 | ay: -0.571747 | az: -0.273651
ax: -0.0171509 | ay: -0.660278 | az: -0.234741
ax: -0.0167389 | ay: -0.604095 | az: -0.190887
ax: -0.0183258 | ay: -0.571609 | az: -0.211472
ax: -0.0736084 | ay: -0.485825 | az: -0.231598
ax: 0.0454254 | ay: 0.00260925 | az: -0.135468
ax: -0.0538177 | ay: 0.412796 | az: 0.182449
ax: -0.145752 | ay: -0.170197 | az: 0.293655
ax: -0.264389 | ay: -0.130722 | az: 0.177551
ax: -0.331055 | ay: -0.394348 | az: 0.196457
ax: -0.257767 | ay: -0.258728 | az: 0.0222778
ax: -0.141251 | ay: -0.110321 | az: -0.165375
ax: -0.0467834 | ay: -0.151642 | az: -0.189636
ax: -0.011734 | ay: -0.167648 | az: -0.283554
ax: -0.0797882 | ay: -0.247772 | az: -0.0916748
ax: -0.067688 | ay: -0.199509 | az: -0.00674438
ax: -0.0353699 | ay: -0.113129 | az: -0.0141754
ax: 0.00810242 | ay: 0.0254211 | az: -0.00405884
time: 1
[20210722070503.946]
> sum ax: -2.63263 | sum ay: -7.14711 | sum az: -1.67451
>> avg ax: -0.0526526 | avg ay: -0.142942 | avg az: -0.0334903
>>> vx: -0.257998 | vy: -0.700417 | vz: -0.164102
>>> sx: -0.0724808 | sy: -0.182022 | sz: -0.0236392
>>> a: 0.155969
>>> v: 0.764249
>>> s: 0.197343

ax: 0.0139008 | ay: -0.0185547 | az: -0.0145874
ax: -0.0228271 | ay: -0.0353394 | az: -0.0288696
ax: 0.00733948 | ay: 0.00222778 | az: -0.0688629
ax: 0.0189667 | ay: 0.0360565 | az: -0.0785675
ax: 0.0565033 | ay: 0.109375 | az: -0.0222168
ax: 0.0378418 | ay: -0.0121918 | az: -0.0133209
ax: -0.108826 | ay: -0.296844 | az: 0.0478363
ax: -0.106323 | ay: -0.318085 | az: 0.027298
ax: -0.0448303 | ay: -0.14856 | az: -0.0163879
ax: 0.00762939 | ay: 0.00933838 | az: -0.0245667
ax: -0.0148163 | ay: -0.180603 | az: -0.0306244
ax: -0.00346375 | ay: -0.185852 | az: -0.00430298
ax: -0.0244293 | ay: -0.122513 | az: -0.00140381
ax: -0.0104218 | ay: -0.0433655 | az: -0.0150909
ax: 0.0114441 | ay: -0.0653076 | az: -0.0333099
ax: -0.0190277 | ay: -0.104874 | az: -0.0284271
ax: -0.0147705 | ay: -0.0945282 | az: 0.00259399
ax: -0.0129852 | ay: -0.0130157 | az: 0.023819
ax: -0.0138245 | ay: -0.020462 | az: 0.0279694
ax: -0.0123901 | ay: -0.0693207 | az: 0.0120392
ax: -0.0120697 | ay: -0.055191 | az: 0.00788879
ax: -0.00511169 | ay: -0.0153656 | az: 0.0153046
ax: 0.00791931 | ay: -0.0413971 | az: 0.0246429
ax: -0.0135498 | ay: -0.0357208 | az: 0.00523376
ax: -0.0342865 | ay: -0.0742645 | az: 0.0204773
ax: -0.0539398 | ay: -0.0428467 | az: 0.0260925
ax: -0.0667877 | ay: -0.0319672 | az: -0.0015564
ax: -0.116516 | ay: -0.0231018 | az: -0.0489502
ax: -0.145401 | ay: -0.05867 | az: -0.0107727
ax: -0.247223 | ay: -0.0592804 | az: 0.103287
ax: -0.277451 | ay: 0.107101 | az: 0.152985
ax: -0.319901 | ay: 0.0462341 | az: 0.0583496
ax: -0.415298 | ay: 0.125153 | az: 0.0712433
ax: -0.471298 | ay: 0.13147 | az: 0.0568542
ax: -0.582047 | ay: 0.213425 | az: 0.106842
ax: -0.624496 | ay: 0.401001 | az: 0.121674
ax: -0.412354 | ay: 0.578751 | az: 0.235382
ax: -0.467712 | ay: 0.41188 | az: 0.0807648
ax: -0.323959 | ay: 0.497192 | az: 0.0442963
ax: -0.302704 | ay: 0.442764 | az: -0.0576172
ax: 0.0786438 | ay: 0.367767 | az: -0.100159
ax: 0.0428772 | ay: 0.35228 | az: 0.0608978
ax: -0.0489807 | ay: 0.11087 | az: 0.159927
ax: 0.253265 | ay: 0.562927 | az: 0.239197
ax: 0.314056 | ay: 0.689255 | az: 0.293533
ax: 0.435745 | ay: 0.607513 | az: 0.297836
ax: 0.409821 | ay: 0.51712 | az: 0.278885
ax: 0.382309 | ay: 0.39772 | az: 0.198517
ax: 0.365143 | ay: 0.386871 | az: 0.166351
ax: 0.329483 | ay: 0.414032 | az: 0.161789
time: 2
[20210722070504.947]
> sum ax: -2.57713 | sum ay: 5.3511 | sum az: 2.53021
>> avg ax: -0.0515427 | avg ay: 0.107022 | avg az: 0.0506042
>>> vx: -0.252559 | vy: 0.524408 | vz: 0.247961
>>> sx: -0.156469 | sy: -0.0170581 | sz: 0.0281846
>>> a: 0.129117
>>> v: 0.632673
>>> s: 0.1599

ax: 0.217712 | ay: 0.353638 | az: 0.142624
ax: 0.0675964 | ay: 0.168243 | az: 0.125549
ax: -0.0890808 | ay: 0.0115814 | az: 0.142563
ax: -0.347153 | ay: -0.0586548 | az: 0.100296
ax: -0.570572 | ay: -0.304199 | az: -0.0786133
ax: -0.763214 | ay: -0.263779 | az: -0.238998
ax: -1.01523 | ay: -0.605652 | az: -0.40416
ax: -0.954956 | ay: -0.754547 | az: -0.528763
ax: -0.945801 | ay: -0.987946 | az: -0.704422
ax: -0.626816 | ay: -1.2576 | az: -0.878159
ax: -0.413895 | ay: -1.94785 | az: -0.948654
ax: -0.0891418 | ay: -1.70538 | az: -0.86972
ax: -0.102478 | ay: -0.822372 | az: -0.582382
ax: -0.0402832 | ay: -0.776733 | az: -0.48761
ax: 0.0401306 | ay: -0.85437 | az: -0.530182
ax: -0.212082 | ay: -0.0892334 | az: 0.0443115
ax: -0.284485 | ay: 0.596771 | az: 0.558823
ax: -0.263565 | ay: 0.125671 | az: -0.106644
ax: -0.55304 | ay: -0.622726 | az: -0.181885
ax: -0.198975 | ay: -0.192627 | az: -0.163284
ax: -0.118423 | ay: -0.222641 | az: -0.240448
ax: -0.0498047 | ay: -0.265335 | az: -0.162476
ax: 0.0414429 | ay: -0.171936 | az: -0.0924835
ax: 0.0109406 | ay: -0.0456543 | az: -0.0563965
ax: -0.0263519 | ay: -0.0841827 | az: 0.0385132
ax: -0.0897675 | ay: -0.140884 | az: 0.0209808
ax: -0.0730133 | ay: -0.0742035 | az: 0.0289764
ax: -0.00364685 | ay: 0.062149 | az: 0.000854492
ax: 0.0105286 | ay: 0.0695038 | az: -0.0742645
ax: -0.00401306 | ay: 0.0166626 | az: -0.056076
ax: -0.0196381 | ay: -0.0466614 | az: 0.0379791
ax: -0.0295715 | ay: -0.0589447 | az: 0.0388947
ax: -0.00897217 | ay: -0.0274811 | az: 0.00050354
ax: 0.011261 | ay: -0.0462799 | az: -0.0546112
ax: 0.035553 | ay: -0.0318604 | az: -0.0283813
ax: 0.0405121 | ay: 0.0248718 | az: -0.0080719
ax: 0.0252533 | ay: -0.0172729 | az: 0.0221405
ax: 0.00164795 | ay: -0.0201263 | az: 0.0500946
ax: 0.00358582 | ay: -0.0184937 | az: 0.0462952
ax: -0.00315857 | ay: -0.0092926 | az: 0.00993347
ax: -0.00575256 | ay: -0.0190887 | az: 0.0219574
ax: -0.0153656 | ay: -0.00906372 | az: 0.0332031
ax: -0.0256805 | ay: -0.0102539 | az: 0.0558319
ax: -0.0250702 | ay: -0.0192413 | az: 0.0575867
ax: -0.0444946 | ay: -0.00239563 | az: 0.0354767
ax: -0.0459595 | ay: 0.0502777 | az: 0.00950623
ax: -0.0711212 | ay: 0.0430145 | az: -0.0172882
ax: -0.0363159 | ay: -0.0045929 | az: 0.0301666
ax: -0.108978 | ay: -0.0100708 | az: 0.0426025
ax: -0.163101 | ay: 0.0288239 | az: 0.0378265
time: 3
[20210722070505.951]
> sum ax: -7.9328 | sum ay: -11.0484 | sum az: -5.76048
>> avg ax: -0.158656 | avg ay: -0.220968 | avg az: -0.11521
>>> vx: -0.777414 | vy: -1.08274 | vz: -0.564527
>>> sx: -0.590243 | sy: -0.82914 | sz: -0.458288
>>> a: 0.295418
>>> v: 1.44755
>>> s: 1.11619

ax: -0.19635 | ay: 0.115646 | az: -0.010788
ax: -0.335663 | ay: 0.0896454 | az: -3.05176e-05
ax: -0.492249 | ay: 0.131088 | az: 0.0335693
ax: -0.648224 | ay: 0.0600281 | az: 0.13089
ax: -0.81105 | ay: 0.117081 | az: 0.224121
ax: -0.807816 | ay: 0.651382 | az: 0.18782
ax: -0.460052 | ay: 0.916458 | az: 0.279373
ax: -0.473724 | ay: 0.508438 | az: 0.208313
ax: -0.338043 | ay: 0.626724 | az: -0.0797272
ax: -0.383316 | ay: 0.411911 | az: -0.106537
