steps: 1373
ax: 0.741394 | ay: 0.665787 | az: -0.0485992
ax: -0.831635 | ay: 0.0656281 | az: -0.159332
ax: -1.03052 | ay: 0.346436 | az: -0.416733
ax: -1.0383 | ay: 1.31619 | az: -0.815262
ax: -1.04141 | ay: 0.8237 | az: 0.00634766
ax: -0.627838 | ay: 1.12106 | az: -0.46524
ax: -0.437897 | ay: 0.444473 | az: -0.584213
ax: 0.646576 | ay: 0.526047 | az: -0.302979
ax: 0.292542 | ay: -0.652374 | az: -0.0988464
ax: 0.319397 | ay: -0.222961 | az: 0.139374
ax: 0.925049 | ay: 0.500366 | az: -0.00646973
ax: 0.82402 | ay: 0.813293 | az: 0.103302
ax: 0.853958 | ay: 0.659622 | az: 0.149414
ax: 0.802185 | ay: 0.518616 | az: 0.154465
ax: 0.728577 | ay: 0.277344 | az: 0.160995
ax: 0.664963 | ay: 0.156311 | az: 0.1306
ax: 0.57254 | ay: 0.0693512 | az: 0.164932
ax: 0.463058 | ay: 0.0256958 | az: 0.179291
ax: 0.320297 | ay: 0.0647583 | az: 0.220184
ax: -0.000152588 | ay: 0.0375977 | az: 0.315048
ax: -0.489059 | ay: -0.394226 | az: 0.278091
ax: -0.704422 | ay: -0.519669 | az: 0.272705
ax: -1.18173 | ay: -0.906189 | az: 0.42514
ax: -1.24855 | ay: -1.66852 | az: 0.243942
ax: -1.30463 | ay: -2.08769 | az: -0.093338
ax: -1.28062 | ay: -2.69212 | az: -0.458649
ax: -1.05983 | ay: -2.69321 | az: 0.665146
ax: -0.724289 | ay: -1.85115 | az: 0.374649
ax: -0.118469 | ay: 1.37752 | az: -0.680954
ax: -0.490524 | ay: 0.430588 | az: 0.714111
ax: -1.14304 | ay: -1.23579 | az: -0.00804138
ax: -0.503235 | ay: -0.76506 | az: -0.0576935
ax: -0.441742 | ay: -1.15283 | az: -0.208649
ax: -0.198578 | ay: -0.595856 | az: 0.0675507
ax: -0.0966034 | ay: -0.530777 | az: -0.0748291
ax: -0.0640869 | ay: -0.132553 | az: -0.00466919
ax: -0.0110168 | ay: -0.0746918 | az: -0.000396729
ax: -0.0827026 | ay: -0.186722 | az: -0.00849915
ax: -0.0375977 | ay: -0.188705 | az: 0.066864
ax: -0.0628967 | ay: -0.227997 | az: -0.0133514
ax: -0.0150604 | ay: -0.159058 | az: 0.0130615
ax: -0.00209045 | ay: -0.0813141 | az: 0.0243073
ax: 0.0128021 | ay: -0.108582 | az: 0.0798492
ax: 0.00631714 | ay: -0.173492 | az: -0.0195465
