steps: 0
ax: -0.0333557 | ay: -0.0753479 | az: 0.0537567
ax: 0.60463 | ay: 0.829697 | az: -0.00157166
ax: 0.609955 | ay: 0.663651 | az: 0.047348
ax: 0.591034 | ay: 0.590683 | az: 0.0996246
ax: 0.512558 | ay: 0.430176 | az: 0.113205
ax: 0.470398 | ay: 0.324188 | az: 0.090332
ax: 0.447983 | ay: 0.238724 | az: 0.038681
ax: 0.307144 | ay: 0.18605 | az: 0.0979462
ax: 0.168274 | ay: 0.112671 | az: 0.139542
ax: 0.0228882 | ay: -0.036499 | az: 0.142212
ax: -0.119797 | ay: -0.13414 | az: 0.144424
ax: -0.314346 | ay: -0.354156 | az: 0.0783844
ax: -0.510773 | ay: -0.651123 | az: 0.00134277
ax: -0.675903 | ay: -0.972122 | az: -0.0163422
ax: -0.812698 | ay: -1.22853 | az: -0.0335693
ax: -0.840607 | ay: -1.33533 | az: 0.00416565
ax: -0.738602 | ay: -1.37712 | az: 0.16124
ax: -0.593857 | ay: -1.44943 | az: 0.470016
ax: -0.742462 | ay: -1.30983 | az: 0.654099
ax: -0.303467 | ay: -1.79446 | az: 0.688477
ax: -0.487091 | ay: -1.46263 | az: 0.274673
ax: -0.460892 | ay: 1.66734 | az: 0.141144
ax: -0.655579 | ay: -0.771912 | az: 0.592896
ax: -0.52124 | ay: -0.430038 | az: 0.000518799
ax: -0.233032 | ay: -0.218887 | az: 0.18428
ax: -0.216064 | ay: -0.616135 | az: -0.134628
ax: 0.0132904 | ay: -0.317825 | az: 0.133148
ax: -0.0684814 | ay: -0.231918 | az: 0.0512695
ax: -0.0488281 | ay: 0.0153046 | az: 0.16124
ax: -0.120956 | ay: -0.0920105 | az: 0.178757
ax: -0.0295258 | ay: -0.0223083 | az: 0.0772705
ax: -0.0378723 | ay: -0.115692 | az: -0.0828857
ax: -0.0228424 | ay: 0.0103607 | az: -0.0343018
ax: -0.0476837 | ay: 0.00038147 | az: 0.099472
ax: -0.0449066 | ay: -0.00500488 | az: 0.154709
ax: -0.0410004 | ay: -0.0780182 | az: 0.0642548
