ax: -0.0248566 | ay: 0.240799 | az: -0.0799713
ax: -0.122406 | ay: -0.492615 | az: 0.302856
ax: -0.164154 | ay: -0.513916 | az: 0.354752
ax: -0.164963 | ay: -0.578278 | az: 0.386292
ax: -0.162094 | ay: -0.628036 | az: 0.41478
ax: -0.173981 | ay: -0.652588 | az: 0.414658
ax: -0.158508 | ay: -0.651672 | az: 0.352631
ax: -0.104019 | ay: -0.665329 | az: 0.306137
ax: -0.0362091 | ay: -0.633652 | az: 0.26918
ax: 0.042511 | ay: -0.561859 | az: 0.227814
ax: 0.113892 | ay: -0.447906 | az: 0.157196
ax: 0.204498 | ay: -0.348541 | az: 0.105057
ax: 0.420685 | ay: -0.278366 | az: 0.0722961
ax: 0.725967 | ay: -0.226074 | az: 0.0826569
ax: 0.578018 | ay: -0.142654 | az: 0.0212555
ax: 0.379196 | ay: -0.0226898 | az: -0.0534363
ax: 0.45871 | ay: -0.00799561 | az: -0.19397
ax: 0.57193 | ay: 0.110626 | az: -0.247391
ax: 0.658661 | ay: 0.121475 | az: -0.279846
ax: 0.855392 | ay: 0.204514 | az: -0.342072
ax: 0.874405 | ay: 0.214798 | az: -0.421249
ax: 0.652634 | ay: 0.280731 | az: -0.448547
ax: 0.448151 | ay: 0.371902 | az: -0.431091
ax: 0.246262 | ay: 0.463913 | az: -0.425858
ax: 0.0713806 | ay: 0.573563 | az: -0.437119
ax: -0.0078125 | ay: 0.592514 | az: -0.453552
ax: -0.010025 | ay: 0.603409 | az: -0.465759
ax: 0.0310364 | ay: 0.631088 | az: -0.442764
ax: 0.0225525 | ay: 0.586929 | az: -0.411057
ax: 0.00088501 | ay: 0.614624 | az: -0.427673
ax: -0.0460358 | ay: 0.618515 | az: -0.41629
ax: -0.0226898 | ay: 0.574081 | az: -0.368652
ax: 0.0301056 | ay: 0.488678 | az: -0.316406
ax: 0.0924988 | ay: 0.42128 | az: -0.227112
ax: 0.119736 | ay: 0.33577 | az: -0.177399
ax: 0.13298 | ay: 0.250427 | az: -0.131134
ax: 0.120285 | ay: 0.194839 | az: -0.0579681
ax: 0.100418 | ay: 0.159012 | az: -0.0025177
ax: 0.190567 | ay: 0.118896 | az: -0.0075531
ax: 0.544937 | ay: 0.0470276 | az: 0.000228882
ax: 0.634171 | ay: -0.16713 | az: 0.0793762
ax: 0.222504 | ay: -0.218079 | az: 0.164474
ax: 0.0707245 | ay: -0.267975 | az: 0.155289
ax: 0.156799 | ay: -0.422562 | az: 0.154221
ax: 0.368301 | ay: -0.497482 | az: 0.310028
ax: 0.534714 | ay: -0.587906 | az: 0.428482
ax: 0.710739 | ay: -0.746399 | az: 0.427948
ax: 0.622284 | ay: -0.875931 | az: 0.389618
ax: 0.329666 | ay: -0.809036 | az: 0.422592
ax: 0.10704 | ay: -0.591034 | az: 0.427032
1: [20200927203547.016]
> sum ax: 11.2475 | sum ay: -3.21629 | sum az: -0.839539
>> avg ax: 0.22495 | avg ay: -0.0643259 | avg az: -0.0167908
>>> vx: 2.20451 | vy: -0.630393 | vz: -0.164549
>>> sx: 0.883779 | sy: -0.459513 | sz: -0.0600521
>>> a: 0.234568
>>> v: 2.29877
>>> s: 0.99791

ax: -0.00160217 | ay: -0.459274 | az: 0.38295
ax: -0.0879059 | ay: -0.437271 | az: 0.311279
ax: -0.0880127 | ay: -0.45256 | az: 0.269882
ax: -0.103271 | ay: -0.431427 | az: 0.250534
ax: -0.133057 | ay: -0.483429 | az: 0.257278
ax: -0.133041 | ay: -0.536606 | az: 0.286545
ax: -0.138016 | ay: -0.551193 | az: 0.287399
ax: -0.149704 | ay: -0.51178 | az: 0.261963
ax: -0.139725 | ay: -0.480408 | az: 0.25119
ax: -0.135437 | ay: -0.454742 | az: 0.284637
ax: -0.124435 | ay: -0.401184 | az: 0.329468
ax: -0.104111 | ay: -0.353439 | az: 0.293076
ax: -0.0539246 | ay: -0.353287 | az: 0.20462
ax: 0.0121002 | ay: -0.370773 | az: 0.148941
ax: 0.0866699 | ay: -0.336685 | az: 0.0778198
ax: 0.234207 | ay: -0.311005 | az: 0.0171814
ax: 0.43895 | ay: -0.276352 | az: 0.0106964
ax: 0.607437 | ay: -0.210068 | az: 0.05159
ax: 0.476746 | ay: -0.0899048 | az: 0.0344391
ax: 0.179733 | ay: 0.0762177 | az: -0.0359344
ax: 0.186371 | ay: 0.147598 | az: -0.147934
ax: 0.397598 | ay: 0.0996246 | az: -0.23143
ax: 0.65712 | ay: 0.0735321 | az: -0.277878
ax: 0.951248 | ay: 0.115082 | az: -0.354965
ax: 0.998672 | ay: 0.159912 | az: -0.394791
ax: 0.691452 | ay: 0.226273 | az: -0.422256
ax: 0.432419 | ay: 0.281494 | az: -0.424484
ax: 0.230835 | ay: 0.319702 | az: -0.4189
ax: 0.0873871 | ay: 0.380493 | az: -0.392731
ax: 0.0296631 | ay: 0.441696 | az: -0.393616
ax: 0.00765991 | ay: 0.481354 | az: -0.411652
ax: 0.00640869 | ay: 0.548325 | az: -0.441391
ax: 0.05159 | ay: 0.602905 | az: -0.464066
ax: 0.0224762 | ay: 0.578522 | az: -0.476776
ax: -0.020401 | ay: 0.559387 | az: -0.469269
ax: -0.014389 | ay: 0.540649 | az: -0.472809
ax: 0.0574188 | ay: 0.528946 | az: -0.426636
ax: 0.105438 | ay: 0.495316 | az: -0.379227
ax: 0.085083 | ay: 0.44223 | az: -0.295258
ax: 0.0548248 | ay: 0.402069 | az: -0.206818
ax: 0.0335236 | ay: 0.320618 | az: -0.140686
ax: 0.0486603 | ay: 0.243774 | az: -0.0856781
ax: 0.130234 | ay: 0.176819 | az: -0.0786438
ax: 0.297501 | ay: 0.113205 | az: -0.125443
ax: 0.48436 | ay: -0.00701904 | az: -0.0899963
ax: 0.586548 | ay: -0.137177 | az: 0.0236511
ax: 0.549683 | ay: -0.259033 | az: 0.140564
ax: 0.466965 | ay: -0.374573 | az: 0.232361
ax: 0.425552 | ay: -0.502167 | az: 0.320694
ax: 0.394897 | ay: -0.619034 | az: 0.37999
2: [20200927203548.017]
> sum ax: 9.0804 | sum ay: -1.04465 | sum az: -2.95052
>> avg ax: 0.181608 | avg ay: -0.0208929 | avg az: -0.0590103
>>> vx: 1.77976 | vy: -0.204751 | vz: -0.578301
>>> sx: 0.584409 | sy: -0.690561 | sz: 0.0825252
>>> a: 0.192094
>>> v: 1.88252
>>> s: 0.908416

ax: 0.419159 | ay: -0.689697 | az: 0.376846
ax: 0.367966 | ay: -0.747696 | az: 0.373383
ax: 0.25296 | ay: -0.761688 | az: 0.392365
ax: 0.198746 | ay: -0.654907 | az: 0.384705
ax: 0.128464 | ay: -0.551743 | az: 0.357559
ax: 0.113953 | ay: -0.49202 | az: 0.35611
ax: 0.037796 | ay: -0.469864 | az: 0.387482
ax: -0.0163574 | ay: -0.443146 | az: 0.423553
ax: -0.0513153 | ay: -0.448105 | az: 0.431747
ax: -0.117554 | ay: -0.525543 | az: 0.450623
ax: -0.139893 | ay: -0.589783 | az: 0.418411
ax: -0.149765 | ay: -0.623047 | az: 0.369476
ax: -0.14064 | ay: -0.62149 | az: 0.330734
ax: -0.132782 | ay: -0.569885 | az: 0.314789
ax: -0.0922699 | ay: -0.491745 | az: 0.291382
ax: -0.0496521 | ay: -0.452606 | az: 0.264557
ax: -0.0109253 | ay: -0.391556 | az: 0.207825
ax: 0.0552216 | ay: -0.332794 | az: 0.151657
ax: 0.113297 | ay: -0.266418 | az: 0.0906372
ax: 0.223984 | ay: -0.209213 | az: 0.0324707
ax: 0.426117 | ay: -0.188599 | az: -0.0139923
ax: 0.574036 | ay: -0.137543 | az: -0.00151062
ax: 0.419983 | ay: -0.0707245 | az: -0.0594025
ax: 0.424393 | ay: -0.0200958 | az: -0.154221
ax: 0.509949 | ay: 0.0369263 | az: -0.246948
ax: 0.653458 | ay: 0.095459 | az: -0.317627
ax: 0.825989 | ay: 0.193268 | az: -0.403671
ax: 0.849472 | ay: 0.271606 | az: -0.439331
ax: 0.63353 | ay: 0.323364 | az: -0.450424
ax: 0.364853 | ay: 0.341721 | az: -0.437378
ax: 0.222549 | ay: 0.355118 | az: -0.401749
ax: 0.10939 | ay: 0.368484 | az: -0.359161
ax: 0.0888367 | ay: 0.429398 | az: -0.379425
ax: 0.0836487 | ay: 0.507324 | az: -0.406906
ax: 0.0866852 | ay: 0.52655 | az: -0.427002
ax: 0.07341 | ay: 0.591949 | az: -0.450714
ax: 0.00231934 | ay: 0.631927 | az: -0.445099
ax: -0.0207214 | ay: 0.634247 | az: -0.417511
ax: -0.0308838 | ay: 0.599625 | az: -0.381775
ax: 0.00611877 | ay: 0.575836 | az: -0.327881
ax: 0.0185089 | ay: 0.543671 | az: -0.25679
ax: 0.0677338 | ay: 0.473679 | az: -0.209091
ax: 0.0562592 | ay: 0.382263 | az: -0.162857
ax: 0.0561829 | ay: 0.282104 | az: -0.112061
ax: 0.0643768 | ay: 0.216248 | az: -0.0652466
ax: 0.119675 | ay: 0.17009 | az: -0.034256
ax: 0.380569 | ay: 0.12352 | az: -0.117126
ax: 0.690338 | ay: -0.0278015 | az: -0.0730286
ax: 0.585373 | ay: -0.193588 | az: 0.0360413
ax: 0.391968 | ay: -0.249588 | az: 0.120712
3: [20200927203549.016]
> sum ax: 9.74451 | sum ay: -2.54651 | sum az: -0.98912
>> avg ax: 0.19489 | avg ay: -0.0509302 | avg az: -0.0197824
>>> vx: 1.90992 | vy: -0.499116 | vz: -0.193868
>>> sx: 0.835908 | sy: -1.25493 | sz: 0.549995
>>> a: 0.202404
>>> v: 1.98356
>>> s: 1.60502

ax: 0.282211 | ay: -0.351639 | az: 0.161163
ax: 0.156479 | ay: -0.423691 | az: 0.243912
ax: 0.24675 | ay: -0.453278 | az: 0.299683
ax: 0.449768 | ay: -0.516342 | az: 0.330826
ax: 0.528137 | ay: -0.648331 | az: 0.353851
ax: 0.380692 | ay: -0.711563 | az: 0.359955
ax: 0.186661 | ay: -0.697784 | az: 0.378372
ax: 0.0825653 | ay: -0.559174 | az: 0.415726
ax: 0.0106354 | ay: -0.435165 | az: 0.394791
ax: -0.0288544 | ay: -0.395279 | az: 0.331543
ax: -0.0491943 | ay: -0.474457 | az: 0.300629
ax: -0.0714264 | ay: -0.502121 | az: 0.344955
ax: -0.11235 | ay: -0.524765 | az: 0.411957
ax: -0.138992 | ay: -0.54631 | az: 0.40036
ax: -0.170013 | ay: -0.594711 | az: 0.37439
ax: -0.144791 | ay: -0.616135 | az: 0.356369
ax: -0.111954 | ay: -0.610245 | az: 0.332626
ax: -0.05513 | ay: -0.574081 | az: 0.331009
ax: -0.00584412 | ay: -0.492462 | az: 0.293808
ax: 0.0431366 | ay: -0.431366 | az: 0.253174
ax: 0.100067 | ay: -0.380051 | az: 0.196945
ax: 0.137695 | ay: -0.299561 | az: 0.14624
ax: 0.19574 | ay: -0.224472 | az: 0.110672
ax: 0.346741 | ay: -0.171234 | az: 0.00163269
ax: 0.572784 | ay: -0.138245 | az: -0.0160065
ax: 0.498703 | ay: -0.0919189 | az: -0.0706177
ax: 0.474945 | ay: 0.0212555 | az: -0.163269
ax: 0.525116 | ay: 0.0765839 | az: -0.275528
ax: 0.555771 | ay: 0.111374 | az: -0.315308
ax: 0.67421 | ay: 0.197952 | az: -0.382462
ax: 0.671326 | ay: 0.228714 | az: -0.419266
ax: 0.540497 | ay: 0.248474 | az: -0.423111
ax: 0.355331 | ay: 0.214752 | az: -0.401459
ax: 0.231644 | ay: 0.226181 | az: -0.421555
ax: 0.129425 | ay: 0.287552 | az: -0.401794
ax: 0.120987 | ay: 0.371384 | az: -0.407562
ax: 0.0996399 | ay: 0.446365 | az: -0.42572
ax: 0.0401001 | ay: 0.521774 | az: -0.448624
ax: 0.0241241 | ay: 0.564529 | az: -0.452103
ax: 0.00546265 | ay: 0.565063 | az: -0.422821
ax: -0.0306396 | ay: 0.567596 | az: -0.378662
ax: -0.0423126 | ay: 0.579407 | az: -0.364517
ax: -0.0323334 | ay: 0.54953 | az: -0.334854
ax: -0.00506592 | ay: 0.483551 | az: -0.314346
