ax: -0.252228 | ay: 0.138641 | az: 0.119247
ax: -0.0316162 | ay: 0.0408478 | az: 0.0394897
ax: -0.0207977 | ay: 0.0500946 | az: 0.00279236
ax: -0.0599976 | ay: 0.10878 | az: -0.0107574
ax: -0.108337 | ay: 0.126297 | az: -0.0147247
ax: -0.107193 | ay: 0.163696 | az: -0.0318909
ax: -0.19162 | ay: 0.0893402 | az: 0.0115814
ax: -0.325546 | ay: 0.121628 | az: 0.0799866
ax: -0.358093 | ay: 0.16658 | az: 0.0408173
ax: -0.383942 | ay: 0.0614014 | az: 0.0191956
ax: -0.320404 | ay: 0.136078 | az: 0.0256042
ax: -0.212479 | ay: 0.235703 | az: -0.0709534
ax: -0.0858002 | ay: 0.0939789 | az: -0.232285
ax: 0.113434 | ay: 0.0537567 | az: -0.150665
ax: 0.241043 | ay: 0.0697327 | az: -0.0931702
ax: 0.347 | ay: 0.193115 | az: 0.0678406
ax: 0.313248 | ay: 0.459106 | az: 0.0779724
ax: 0.308136 | ay: 0.405716 | az: 0.108917
ax: 0.31076 | ay: 0.313751 | az: 0.145508
ax: 0.288315 | ay: 0.299805 | az: 0.142487
ax: 0.217422 | ay: 0.279617 | az: 0.137726
ax: 0.130127 | ay: 0.246857 | az: 0.103226
ax: 0.0822754 | ay: 0.15567 | az: 0.0663147
ax: 0.0193024 | ay: 0.0942078 | az: 0.0460205
ax: -0.0415039 | ay: 0.057251 | az: -0.0230408
ax: -0.0866241 | ay: 0.0387268 | az: -0.0664062
ax: -0.155167 | ay: 0.000259399 | az: -0.0848083
ax: -0.162384 | ay: -0.0897675 | az: -0.0730286
ax: -0.13327 | ay: -0.116028 | az: -0.0844574
ax: -0.218002 | ay: -0.144882 | az: -0.106369
ax: -0.269531 | ay: -0.207153 | az: -0.142593
ax: -0.264893 | ay: -0.310577 | az: -0.200882
ax: -0.220627 | ay: -0.3927 | az: -0.161011
ax: -0.187164 | ay: -0.394867 | az: -0.217636
ax: -0.138489 | ay: -0.514343 | az: -0.211594
ax: -0.106415 | ay: -0.562851 | az: -0.173996
ax: -0.00161743 | ay: -0.49469 | az: -0.247589
ax: 0.0118866 | ay: -0.565567 | az: -0.268707
ax: 0.0241547 | ay: -0.461792 | az: -0.171249
ax: 0.0604401 | ay: -0.409851 | az: -0.108917
ax: 0.0732269 | ay: -0.447769 | az: -0.117188
ax: 0.18129 | ay: -0.440567 | az: -0.094696
ax: -0.048584 | ay: -0.0699158 | az: -0.0902557
ax: -0.158554 | ay: 0.389175 | az: 0.488327
ax: -0.289795 | ay: 0.364426 | az: 0.376633
ax: -0.354752 | ay: -0.0281372 | az: -0.107208
ax: -0.225311 | ay: -0.0135956 | az: 0.151627
ax: -0.0611725 | ay: -0.0422974 | az: -0.0355682
ax: 0.0141907 | ay: -0.0721588 | az: -0.177673
ax: 0.0792694 | ay: 0.050354 | az: -0.259369
time: 1
[20210722065543.133]
> sum ax: -2.76639 | sum ay: -0.774918 | sum az: -1.57738
>> avg ax: -0.0553278 | avg ay: -0.0154984 | avg az: -0.0315475
>>> vx: -0.271106 | vy: -0.0759418 | vz: -0.154583
>>> sx: -0.136531 | sy: 0.145077 | sz: -0.0332745
>>> a: 0.0655485
>>> v: 0.321188
>>> s: 0.201978

ax: 0.0809326 | ay: -0.0148621 | az: -0.0868835
ax: 0.0161591 | ay: -0.145691 | az: 0.00662231
ax: -0.0675507 | ay: -0.0565948 | az: -0.0443878
ax: -0.049942 | ay: 0.0723114 | az: 0.0491333
ax: -0.0453033 | ay: 0.0022583 | az: 0.030365
ax: -0.0336914 | ay: 0.0232697 | az: 0.0299988
ax: -0.0172119 | ay: 0.00715637 | az: -0.0278931
ax: -0.00985718 | ay: 0.027771 | az: -0.055069
ax: -0.00535583 | ay: 0.0628052 | az: -0.0330505
ax: -0.00814819 | ay: 0.0606232 | az: 0.0239105
ax: 0.012558 | ay: 0.052124 | az: 0.0295563
ax: 0.01651 | ay: 0.0592804 | az: 0.0194702
ax: 0.0237732 | ay: 0.0970917 | az: 0.0260773
ax: 0.0438385 | ay: 0.0576477 | az: -0.0087738
ax: 0.0355988 | ay: 0.0907898 | az: -0.00192261
ax: 0.012085 | ay: 0.108124 | az: 0.00810242
ax: -0.00262451 | ay: 0.0744476 | az: 0.0387421
ax: 0.00546265 | ay: 0.0682831 | az: 0.0388794
ax: -0.00582886 | ay: 0.0313721 | az: 0.0103455
ax: -0.0113373 | ay: 0.0561371 | az: 0.0250397
ax: -0.0020752 | ay: 0.071228 | az: 0.0646973
ax: -0.0224762 | ay: 0.0557861 | az: 0.0438995
ax: -0.00531006 | ay: 0.0670471 | az: 0.0240173
ax: -0.017395 | ay: 0.0867462 | az: 0.0163269
