ax: -0.0935211 | ay: -0.00273132 | az: -0.00180054
ax: 0.000869751 | ay: -0.132278 | az: -0.0543365
ax: 0.00462341 | ay: -0.120361 | az: -0.041748
ax: -0.00628662 | ay: -0.112518 | az: -0.0315399
ax: -0.00692749 | ay: -0.106155 | az: -0.0273743
ax: -0.00515747 | ay: -0.106461 | az: -0.0384674
ax: 0.00343323 | ay: -0.101471 | az: -0.0416412
ax: 0.00566101 | ay: -0.0926208 | az: -0.0447388
ax: -0.00230408 | ay: -0.104187 | az: -0.0335693
ax: 0.0092926 | ay: -0.0805664 | az: -0.0144958
ax: 0.0106964 | ay: -0.0974579 | az: -0.00566101
ax: 0.0268097 | ay: -0.106308 | az: -0.0184937
ax: 0.0185547 | ay: -0.0503082 | az: 0.0250092
ax: -0.0166473 | ay: 0.0201416 | az: 0.0137024
ax: -0.0464935 | ay: 0.0225525 | az: 0.00514221
ax: -0.086319 | ay: 0.0875702 | az: -0.0543976
ax: -0.154205 | ay: 0.118027 | az: -0.06604
ax: -0.219513 | ay: 0.155991 | az: -0.0657654
ax: -0.381683 | ay: 0.151489 | az: -0.132065
ax: -0.436142 | ay: 0.129501 | az: 0.045105
ax: -0.588272 | ay: -0.0562592 | az: 0.0975342
ax: -0.471558 | ay: 0.432953 | az: 0.0704041
ax: -0.194458 | ay: 0.0935669 | az: -0.0700073
ax: -0.00563049 | ay: 0.122223 | az: -0.244583
ax: 0.27861 | ay: -0.0666046 | az: -0.196152
ax: 0.497421 | ay: 0.0591888 | az: 0.00120544
ax: 0.40361 | ay: 0.126709 | az: 0.198715
ax: 0.519821 | ay: 0.493561 | az: 0.142517
ax: 0.447983 | ay: 0.375717 | az: 0.234222
ax: 0.352798 | ay: 0.247849 | az: 0.30072
ax: 0.286346 | ay: 0.18985 | az: 0.230255
ax: 0.242447 | ay: 0.144028 | az: 0.164276
ax: 0.136932 | ay: 0.025177 | az: 0.156906
ax: 0.0536041 | ay: -0.0993195 | az: 0.0998077
ax: -0.0642242 | ay: -0.199356 | az: 0.0713501
ax: -0.193481 | ay: -0.22525 | az: 0.0272827
ax: -0.265381 | ay: -0.272842 | az: -0.0292664
ax: -0.308212 | ay: -0.277527 | az: -0.103012
ax: -0.321625 | ay: -0.341644 | az: -0.209076
ax: -0.305923 | ay: -0.445404 | az: -0.27684
ax: -0.295212 | ay: -0.507523 | az: -0.354752
ax: -0.242477 | ay: -0.598953 | az: -0.432388
ax: -0.156921 | ay: -0.655762 | az: -0.427856
ax: -0.0681763 | ay: -0.716217 | az: -0.428772
